osmid,ref,highway,oneway,reversed,length,lanes,maxspeed,junction,geometry
89965292,CW 76,secondary,False,False,55.008,,,,"LINESTRING (0.2459549 35.3787531, 0.2459077 35.3792463)"
89970908,CW 76,secondary,False,False,101.724,,,,"LINESTRING (0.2459549 35.3787531, 0.2460651 35.3778427)"
123263804,,secondary,False,False,71.011,2,80,,"LINESTRING (0.2459549 35.3787531, 0.2467344 35.3788155)"
123263804,,secondary,False,True,48.166,2,80,,"LINESTRING (0.2459549 35.3787531, 0.2454245 35.3787284)"
328234518,CW 76,secondary,False,False,45.905,,,,"LINESTRING (0.2455872 35.3798995, 0.2455465 35.380311)"
328234521,CW 76,secondary,True,False,41.45,,,,"LINESTRING (0.2455872 35.3798995, 0.2453408 35.3795855)"
190432069,CW 76,secondary,False,False,33.137,,,,"LINESTRING (0.2457982 35.377523, 0.2458406 35.377227)"
328234524,CW 76,secondary,True,False,43.003,,,,"LINESTRING (0.2457982 35.377523, 0.2460651 35.3778427)"
139070875,,trunk,True,False,26.706000000000003,,,roundabout,"LINESTRING (0.2463809 35.3738208, 0.2464132 35.3738747, 0.2464155 35.3739348, 0.2463873 35.3739902, 0.2463337 35.3740314)"
139070875,,trunk,True,False,22.107,,,roundabout,"LINESTRING (0.2460933 35.3739835, 0.2460682 35.3739205, 0.2460807 35.373855, 0.246128 35.3738011)"
139070875,,trunk,True,False,12.369,,,roundabout,"LINESTRING (0.2463337 35.3740314, 0.2462695 35.3740503, 0.2462014 35.3740479)"
190432069,CW 76,secondary,False,True,299.352,,,,"LINESTRING (0.2462014 35.3740479, 0.2459138 35.3767298)"
139070875,,trunk,True,False,12.373999999999999,,,roundabout,"LINESTRING (0.2462014 35.3740479, 0.2461395 35.3740244, 0.2460933 35.3739835)"
190432075,,residential,False,False,125.891,,,,"LINESTRING (0.2404234 35.3763727, 0.2418083 35.3764546)"
190432113,,residential,False,False,36.426,,,,"LINESTRING (0.2404234 35.3763727, 0.2403839 35.3766987)"
190432075,,residential,False,False,75.331,,,,"LINESTRING (0.2418083 35.3764546, 0.242637 35.3765036)"
190432075,,residential,False,True,125.891,,,,"LINESTRING (0.2418083 35.3764546, 0.2404234 35.3763727)"
190432140,,residential,False,False,39.687,,,,"LINESTRING (0.2418083 35.3764546, 0.2417754 35.3768105)"
190432075,,residential,False,False,127.6,,,,"LINESTRING (0.242637 35.3765036, 0.2440407 35.3765866)"
190432075,,residential,False,True,75.331,,,,"LINESTRING (0.242637 35.3765036, 0.2418083 35.3764546)"
190432160,,residential,False,False,42.73,,,,"LINESTRING (0.242637 35.3765036, 0.2426051 35.376887)"
190432075,,residential,False,False,71.812,,,,"LINESTRING (0.2440407 35.3765866, 0.2448304 35.3766365)"
190432075,,residential,False,True,127.6,,,,"LINESTRING (0.2440407 35.3765866, 0.242637 35.3765036)"
190432154,,residential,False,True,31.888,,,,"LINESTRING (0.2440407 35.3765866, 0.2440148 35.3768726)"
190432075,,residential,False,False,98.772,,,,"LINESTRING (0.2448304 35.3766365, 0.2459138 35.3767298)"
190432075,,residential,False,True,71.812,,,,"LINESTRING (0.2448304 35.3766365, 0.2440407 35.3765866)"
190432174,,residential,False,False,32.219,,,,"LINESTRING (0.2448304 35.3766365, 0.2448032 35.3769254)"
190432113,,residential,False,False,38.543,,,,"LINESTRING (0.2403839 35.3766987, 0.2403428 35.3770437)"
190432113,,residential,False,True,36.426,,,,"LINESTRING (0.2403839 35.3766987, 0.2404234 35.3763727)"
190432165,,residential,False,False,126.77,,,,"LINESTRING (0.2403839 35.3766987, 0.2417754 35.3768105)"
