osmid,highway,oneway,reversed,length,lanes,name,maxspeed,geometry,ref,bridge
23380783,residential,False,False,11.787,,,,"LINESTRING (3.5553737 36.7267619, 3.5552851 36.7268406)",,
1047839446,residential,False,False,73.48,2,Rue Yahia Boushaki,50,"LINESTRING (3.5553737 36.7267619, 3.5553352 36.7261018)",,
23380894,residential,False,False,121.377,,,,"LINESTRING (3.5553737 36.7267619, 3.5553952 36.7267531, 3.5554209 36.726746, 3.5554494 36.7267417, 3.5554711 36.7267408, 3.5561157 36.7267577, 3.5567294 36.726727)",,
23380783,residential,False,False,52.916,,,,"LINESTRING (3.553723 36.727274, 3.5531308 36.7273083)",,
23381122,residential,False,True,39.048,,,,"LINESTRING (3.553723 36.727274, 3.5537058 36.7269231)",,
23380783,residential,False,True,162.68900000000002,,,,"LINESTRING (3.553723 36.727274, 3.5547873 36.727274, 3.5550706 36.7271432, 3.5552851 36.7268406)",,
23380783,residential,False,False,51.04,,,,"LINESTRING (3.5522553 36.7273703, 3.5517146 36.7275216)",,
23380783,residential,False,True,44.602,,,,"LINESTRING (3.5522553 36.7273703, 3.5527531 36.727329)",,
23380788,residential,False,False,44.426,,,,"LINESTRING (3.5522553 36.7273703, 3.5522811 36.7277693)",,
23380788,residential,False,True,48.489,,,,"LINESTRING (3.5522553 36.7273703, 3.5521952 36.7269369)",,
23380783,residential,False,True,51.04,,,,"LINESTRING (3.5517146 36.7275216, 3.5522553 36.7273703)",,
23380797,residential,False,True,33.033,,,,"LINESTRING (3.5517146 36.7275216, 3.5517489 36.7278174)",,
23380797,residential,False,False,108.122,,,,"LINESTRING (3.5517146 36.7275216, 3.5516717 36.7269713, 3.5521952 36.7269369)",,
23380787,residential,False,False,41.373,,,,"LINESTRING (3.5527016 36.7265241, 3.5527274 36.7268956)",,
23380783,residential,False,False,44.602,,,,"LINESTRING (3.5527531 36.727329, 3.5522553 36.7273703)",,
23380787,residential,False,False,43.767,,,,"LINESTRING (3.5527531 36.727329, 3.552796 36.7277211)",,
23380787,residential,False,True,48.246,,,,"LINESTRING (3.5527531 36.727329, 3.5527274 36.7268956)",,
23380783,residential,False,True,33.794,,,,"LINESTRING (3.5527531 36.727329, 3.5527875 36.7273221, 3.5531308 36.7273083)",,
23380787,residential,False,True,84.641,,,,"LINESTRING (3.552899 36.7284778, 3.552796 36.7277211)",,
23380788,residential,False,False,20.674,,,,"LINESTRING (3.5521866 36.7267511, 3.5521952 36.7269369)",,
23380788,residential,False,True,60.597,,,,"LINESTRING (3.5523326 36.7283127, 3.5522811 36.7277693)",,
23380788,residential,False,False,48.489,,,,"LINESTRING (3.5521952 36.7269369, 3.5522553 36.7273703)",,
23380788,residential,False,True,20.674,,,,"LINESTRING (3.5521952 36.7269369, 3.5521866 36.7267511)",,
23380797,residential,False,False,47.653,,,,"LINESTRING (3.5521952 36.7269369, 3.5527274 36.7268956)",,
23380797,residential,False,True,108.122,,,,"LINESTRING (3.5521952 36.7269369, 3.5516717 36.7269713, 3.5517146 36.7275216)",,
23380787,residential,False,False,48.246,,,,"LINESTRING (3.5527274 36.7268956, 3.5527531 36.727329)",,
23380787,residential,False,True,41.373,,,,"LINESTRING (3.5527274 36.7268956, 3.5527016 36.7265241)",,
23380797,residential,False,True,47.653,,,,"LINESTRING (3.5527274 36.7268956, 3.5521952 36.7269369)",,
1047839446,residential,False,True,52.473,2,Rue Yahia Boushaki,50,"LINESTRING (3.5552754 36.7254296, 3.5553173 36.7259003)",,
23380894,residential,False,True,124.83999999999999,,,,"LINESTRING (3.5584923 36.7268436, 3.5584596 36.7267753, 3.5584141 36.7267373, 3.5583702 36.7267021, 3.5582907 36.7266885, 3.5571912 36.726724)",,
484438552,secondary,False,False,90.70500000000001,2,Ticemlal Said Street,50,"LINESTRING (3.5584923 36.7268436, 3.5584886 36.7266521, 3.5584851 36.7260279)",CW 25,
484438552,secondary,False,True,30.576999999999998,2,Ticemlal Said Street,50,"LINESTRING (3.5584923 36.7268436, 3.5584925 36.7269414, 3.5584613 36.7270273, 3.5584199 36.7271085)",CW 25,
23381045,primary,False,False,136.327,2,,50,"LINESTRING (3.5565567 36.7245234, 3.5550583 36.724277)",RN 12,
23381045,primary,False,True,9.377,2,,50,"LINESTRING (3.5565567 36.7245234, 3.5566597 36.7245406)",RN 12,
