osmid,highway,maxspeed,oneway,reversed,length,ref,geometry,junction
312020481,residential,40,False,False,48.112,,"LINESTRING (1.5491439 34.842955, 1.5486919 34.8427323)",
312020481,residential,40,False,True,8.108,,"LINESTRING (1.5491439 34.842955, 1.5492201 34.8429925)",
323049206,primary,40,True,False,111.163,RN 23,"LINESTRING (1.5491439 34.842955, 1.5497448 34.8420854)",
323049206,primary,40,True,False,36.788,RN 23,"LINESTRING (1.5469707 34.8464489, 1.547116 34.8461403)",
1095602115,residential,40,False,False,6.419,,"LINESTRING (1.5469707 34.8464489, 1.5470392 34.846462)",
1095602116,residential,40,False,True,72.292,,"LINESTRING (1.5469707 34.8464489, 1.5462451 34.846188)",
312022049,residential,40,False,False,9.287,,"LINESTRING (1.5455051 34.8492025, 1.5455988 34.8492351)",
1095602117,primary,40,True,False,334.122,RN 23,"LINESTRING (1.5455051 34.8492025, 1.5469707 34.8464489)",
312021043,residential,40,False,False,9.895,,"LINESTRING (1.5485284 34.843801, 1.5486185 34.8438505)",
312021043,residential,40,False,True,47.127,,"LINESTRING (1.5485284 34.843801, 1.5480838 34.8435854)",
323049206,primary,40,True,False,109.565,RN 23,"LINESTRING (1.5485284 34.843801, 1.5491439 34.842955)",
312020462,residential,40,False,False,10.162,,"LINESTRING (1.5475996 34.84513, 1.547692 34.845181)",
312020462,residential,40,False,True,48.586,,"LINESTRING (1.5475996 34.84513, 1.5471414 34.8449075)",
323049206,primary,40,True,False,110.35,RN 23,"LINESTRING (1.5475996 34.84513, 1.548196 34.8442667)",
312021067,residential,40,False,False,8.061,,"LINESTRING (1.5473849 34.8455696, 1.547471 34.8455858)",
323049206,primary,40,True,False,52.662,RN 23,"LINESTRING (1.5473849 34.8455696, 1.5475996 34.84513)",
312019649,primary,40,True,False,110.074,RN 23,"LINESTRING (1.5492201 34.8429925, 1.5486185 34.8438505)",
312020481,residential,40,False,False,8.108,,"LINESTRING (1.5492201 34.8429925, 1.5491439 34.842955)",
312020481,residential,40,False,True,50.328,,"LINESTRING (1.5492201 34.8429925, 1.5496972 34.8432195)",
312019649,primary,40,True,False,49.323,RN 23,"LINESTRING (1.547692 34.845181, 1.547471 34.8455858)",
312020462,residential,40,False,False,47.478,,"LINESTRING (1.547692 34.845181, 1.5481429 34.845394)",
312020462,residential,40,False,True,10.162,,"LINESTRING (1.547692 34.845181, 1.5475996 34.84513)",
312019649,primary,40,True,False,105.096,RN 23,"LINESTRING (1.547471 34.8455858, 1.5470392 34.846462)",
312021067,residential,40,False,False,54.077,,"LINESTRING (1.547471 34.8455858, 1.5480137 34.8457811)",
312021067,residential,40,False,True,8.061,,"LINESTRING (1.547471 34.8455858, 1.5473849 34.8455696)",
312019649,primary,40,True,False,59.554,RN 23,"LINESTRING (1.5486185 34.8438505, 1.5482947 34.8443155)",
312021043,residential,40,False,False,49.247,,"LINESTRING (1.5486185 34.8438505, 1.5490915 34.8440637)",
312021043,residential,40,False,True,9.895,,"LINESTRING (1.5486185 34.8438505, 1.5485284 34.843801)",
1095602115,residential,40,False,True,6.419,,"LINESTRING (1.5470392 34.846462, 1.5469707 34.8464489)",
312019649,primary,40,True,False,335.249,RN 23,"LINESTRING (1.5470392 34.846462, 1.5466394 34.8472908, 1.546079 34.8483396, 1.5455988 34.8492351)",
1095602114,residential,40,False,False,50.522,,"LINESTRING (1.5470392 34.846462, 1.5473826 34.846583, 1.5474313 34.8466002, 1.5475479 34.8466413)",
312019849,secondary,40,True,False,40.629,,"LINESTRING (1.5480422 34.8480943, 1.5482219 34.84776)",
312021627,residential,40,False,False,10.839,,"LINESTRING (1.5480422 34.8480943, 1.5481495 34.8481361)",
312021043,residential,40,False,False,10.396,,"LINESTRING (1.5502148 34.8445701, 1.5503167 34.8446119)",
