osmid,oneway,ref,highway,reversed,length,junction,geometry,lanes
349794713,True,CW 26,secondary,False,61.94,,"LINESTRING (6.3713552 35.6270277, 6.3706733 35.6270832)",
349794711,True,,secondary,False,27.852999999999998,roundabout,"LINESTRING (6.3713552 35.6270277, 6.3713213 35.6270185, 6.3712845 35.6269969, 6.3712586 35.6269666, 6.3712465 35.626931, 6.3712496 35.6268942, 6.3712676 35.6268603, 6.3712984 35.6268332)",
349794700,False,,tertiary,False,41.456,,"LINESTRING (6.3734228 35.6272906, 6.3732606 35.6271631, 6.3731795 35.6270933, 6.3731037 35.6270231)",
349794717,True,,secondary,False,4.428,roundabout,"LINESTRING (6.3734228 35.6272906, 6.3734466 35.6272859, 6.373471 35.6272877)",
349794700,False,,tertiary,False,30.266,,"LINESTRING (6.3731037 35.6270231, 6.3729879 35.6267677)",
349819879,False,,residential,False,54.393,,"LINESTRING (6.3731037 35.6270231, 6.3736685 35.6268542)",
349794700,False,,tertiary,True,41.455999999999996,,"LINESTRING (6.3731037 35.6270231, 6.3731795 35.6270933, 6.3732606 35.6271631, 6.3734228 35.6272906)",
349794700,False,,tertiary,True,64.057,,"LINESTRING (6.3712442 35.6229237, 6.3714894 35.6234642)",
349810587,False,,residential,True,106.597,,"LINESTRING (6.3712442 35.6229237, 6.3708472 35.622021)",
349883163,False,,tertiary,False,138.375,,"LINESTRING (6.3712442 35.6229237, 6.3698124 35.6233642)",
349810594,True,,tertiary,False,75.798,,"LINESTRING (6.3675374 35.6243365, 6.3680096 35.6241003, 6.3682342 35.6239588)",
349794711,True,,secondary,False,28.726,roundabout,"LINESTRING (6.3714672 35.626836, 6.3714966 35.6268641, 6.3715129 35.6268986, 6.3715141 35.6269355, 6.3715003 35.6269706, 6.3714728 35.627, 6.3714349 35.6270204, 6.3713909 35.6270293)",
349794716,True,CW 26,secondary,False,74.62,,"LINESTRING (6.3714672 35.626836, 6.3716432 35.6269146, 6.3718846 35.6270083, 6.3722199 35.6271086)",
349794711,True,,secondary,False,3.232,roundabout,"LINESTRING (6.3713909 35.6270293, 6.3713552 35.6270277)",
349805551,False,,tertiary,False,11.953,,"LINESTRING (6.3713834 35.6268104, 6.3713388 35.6267092)",
349794711,True,,secondary,False,8.208,roundabout,"LINESTRING (6.3713834 35.6268104, 6.371428 35.6268174, 6.3714672 35.626836)",
349794711,True,,secondary,False,8.207,roundabout,"LINESTRING (6.3712984 35.6268332, 6.3713385 35.6268159, 6.3713834 35.6268104)",
349794705,False,CW 26,secondary,True,3.262,,"LINESTRING (6.3704147 35.6271043, 6.3703794 35.6271104)",
