osmid,ref,highway,oneway,reversed,length,geometry,junction,bridge,name
423850458,CW 11,secondary,False,False,19.716,"LINESTRING (4.2031804 36.5266634, 4.2029911 36.5267545)",,,
423850458,CW 11,secondary,False,True,330.23499999999996,"LINESTRING (4.2031804 36.5266634, 4.2034619 36.5265633, 4.2036399 36.5264589, 4.2041206 36.5260458, 4.2041913 36.5259639, 4.2042071 36.5259121, 4.204201 36.5258685, 4.2041651 36.5257857, 4.2040737 36.5257126, 4.2034858 36.5254259, 4.2034066 36.5253751, 4.2033141 36.5252672, 4.2032231 36.5251488, 4.203183 36.5250556, 4.2031373 36.5247798, 4.2031674 36.5245502, 4.2031754 36.5245195, 4.2031828 36.5244958, 4.2031941 36.5244737)",,,
966314348,,residential,False,False,86.55699999999999,"LINESTRING (4.2031804 36.5266634, 4.2032413 36.5267332, 4.2035955 36.5267303, 4.2041036 36.5267164)",,,
401955531,CW 11,secondary,False,True,14.642,"LINESTRING (4.2061971 36.5263384, 4.2063412 36.5264011)",,,
304775828,,secondary,False,True,34.199,"LINESTRING (4.2061971 36.5263384, 4.2062517 36.5265134, 4.2063047 36.5266332)",,,
401955531,CW 11,secondary,False,False,68.15299999999999,"LINESTRING (4.2061971 36.5263384, 4.2060505 36.5262362, 4.2059766 36.5261322, 4.2058939 36.5260218, 4.205829 36.5258201)",,,
423850458,CW 11,secondary,False,True,9.458,"LINESTRING (4.2031941 36.5244737, 4.2032741 36.524418)",,,
348397049,,tertiary,False,False,502.98299999999995,"LINESTRING (4.2031941 36.5244737, 4.2030196 36.5244004, 4.2029073 36.524348, 4.2027287 36.5241953, 4.202649 36.5240002, 4.2026665 36.5238078, 4.2027358 36.5236741, 4.2029865 36.5234412, 4.2031434 36.5230822, 4.2032662 36.5228319, 4.2033867 36.5225572, 4.2034253 36.5224661, 4.2037239 36.5217606, 4.2037303 36.5215283, 4.2036859 36.5212829, 4.2034499 36.5204681, 4.203474 36.5203689)",,,
423850458,CW 11,secondary,False,False,330.2349999999999,"LINESTRING (4.2031941 36.5244737, 4.2031828 36.5244958, 4.2031754 36.5245195, 4.2031674 36.5245502, 4.2031373 36.5247798, 4.203183 36.5250556, 4.2032231 36.5251488, 4.2033141 36.5252672, 4.2034066 36.5253751, 4.2034858 36.5254259, 4.2040737 36.5257126, 4.2041651 36.5257857, 4.204201 36.5258685, 4.2042071 36.5259121, 4.2041913 36.5259639, 4.2041206 36.5260458, 4.2036399 36.5264589, 4.2034619 36.5265633, 4.2031804 36.5266634)",,,
401955531,CW 11,secondary,False,False,14.642,"LINESTRING (4.2063412 36.5264011, 4.2061971 36.5263384)",,,
401955533,,secondary,True,False,36.574000000000005,"LINESTRING (4.2063412 36.5264011, 4.2063796 36.5263897, 4.2064205 36.5263888, 4.2064596 36.5263984, 4.2064929 36.5264176, 4.2065168 36.5264443, 4.2065287 36.5264758, 4.2065276 36.5265086, 4.2065134 36.5265395, 4.2064877 36.5265651, 4.2064531 36.5265827)",roundabout,,
423850458,CW 11,secondary,False,False,6.822,"LINESTRING (4.2033461 36.5243976, 4.2032741 36.524418)",,,
"[423850457, 423850458, 401955531]",CW 11,secondary,False,True,123.66900000000001,"LINESTRING (4.2033461 36.5243976, 4.203688 36.5243318, 4.2040063 36.5242839, 4.2041077 36.5242761, 4.20441 36.5242122, 4.2047005 36.5241751)",,yes,Tiqenṭaṛt taqdimt
966312943,,residential,False,False,75.924,"LINESTRING (4.2033461 36.5243976, 4.2034141 36.5245824, 4.2040156 36.5245015)",,,
966311397,,residential,False,False,37.029,"LINESTRING (4.2049117 36.5226536, 4.2045066 36.5225835)",,,
966393309,,residential,False,False,254.13999999999996,"LINESTRING (4.2049117 36.5226536, 4.2051011 36.5223037, 4.2052951 36.521873, 4.2053458 36.5216998, 4.2053946 36.5213804, 4.205408 36.5212926, 4.2053881 36.5211553, 4.2053315 36.521037, 4.2051468 36.5207229, 4.205076 36.5206501, 4.205034 36.520607, 4.2049474 36.5205377)",,,
966393309,,residential,False,True,166.21,"LINESTRING (4.2049117 36.5226536, 4.2048772 36.5227701, 4.2048718 36.5228743, 4.2049045 36.5229875, 4.2052437 36.5237638, 4.2052927 36.5238758, 4.2053734 36.5240787)",,,
