osmid,oneway,lanes,ref,highway,reversed,length,maxspeed,name,geometry
183758444,False,2,CW 232,secondary,False,64.216,,,"LINESTRING (3.5508086 33.4174202, 3.5512215 33.4178836)"
183758444,False,2,CW 232,secondary,True,48.484,,,"LINESTRING (3.5508086 33.4174202, 3.5503017 33.4175256)"
296022174,False,,,residential,True,10.887,,,"LINESTRING (3.5508086 33.4174202, 3.5508873 33.4173476)"
183758444,False,2,CW 232,secondary,False,51.961,,,"LINESTRING (3.5497767 33.4176879, 3.5503017 33.4175256)"
537249912,False,2,CW 232,secondary,True,13.658,80,,"LINESTRING (3.5497767 33.4176879, 3.5496849 33.4175919)"
1189886253,True,2,,secondary,False,93.232,,طريق قصر الحيران - حاسي الدلاعة,"LINESTRING (3.5497767 33.4176879, 3.5488795 33.418065)"
275390894,False,,,residential,False,66.02,,,"LINESTRING (3.5488795 33.418065, 3.5486043 33.4186125)"
1189886253,True,2,,secondary,False,92.94399999999999,,طريق قصر الحيران - حاسي الدلاعة,"LINESTRING (3.5488795 33.418065, 3.5484769 33.4182344, 3.5479949 33.4184565)"
1011982575,False,,,residential,False,61.272,,,"LINESTRING (3.547432 33.4186227, 3.5476264 33.4191493)"
1189886253,True,2,,secondary,False,65.332,,طريق قصر الحيران - حاسي الدلاعة,"LINESTRING (3.547432 33.4186227, 3.5467438 33.4187462)"
1189886253,True,2,,secondary,False,55.416,,طريق قصر الحيران - حاسي الدلاعة,"LINESTRING (3.5479949 33.4184565, 3.547432 33.4186227)"
1011982574,False,,,residential,True,58.172,,,"LINESTRING (3.5479949 33.4184565, 3.5480556 33.4186053, 3.5482299 33.4189411)"
1011982576,False,,,residential,False,139.48000000000002,,,"LINESTRING (3.5467438 33.4187462, 3.5467976 33.4192187, 3.5468405 33.4192903, 3.5469425 33.4193172, 3.5471195 33.4193217, 3.5473233 33.4192903, 3.5476264 33.4191493)"
537249912,False,2,CW 232,secondary,False,132.532,80,,"LINESTRING (3.5478566 33.4157076, 3.5488215 33.4165862)"
537249912,False,2,CW 232,secondary,True,105.482,80,,"LINESTRING (3.5478566 33.4157076, 3.5472933 33.4148837)"
