osmid,highway,junction,oneway,reversed,length,geometry,maxspeed,ref,lanes,name
26322135,secondary,roundabout,True,False,10.3,"LINESTRING (2.9931762 36.7351909, 2.9931542 36.7351656, 2.993146 36.7351354, 2.9931528 36.735105)",,,,
26322167,secondary,,True,False,26.239,"LINESTRING (2.9933158 36.7351888, 2.9933086 36.7354247)",,,,
26322135,secondary,roundabout,True,False,13.73,"LINESTRING (2.9933158 36.7351888, 2.9932841 36.7352064, 2.9932465 36.735213, 2.9932086 36.7352076, 2.9931762 36.7351909)",,,,
26322135,secondary,roundabout,True,False,6.866,"LINESTRING (2.9933132 36.735077, 2.9933352 36.7351023, 2.9933434 36.7351325)",,,,
26322140,secondary,roundabout,True,False,4.083,"LINESTRING (2.9930619 36.7330203, 2.9930837 36.732988)",30,,,
26322140,secondary,roundabout,True,False,21.444,"LINESTRING (2.9933484 36.7331617, 2.9933036 36.7331885, 2.9932504 36.7332022, 2.9931945 36.7332013, 2.9931258 36.7331817)",30,,,
26322147,secondary,,True,False,213.26100000000002,"LINESTRING (2.9933484 36.7331617, 2.993325 36.7333337, 2.9933121 36.7334273, 2.9932981 36.7335212, 2.9933036 36.7336494, 2.9933049 36.7337361, 2.9933255 36.7344487, 2.9933132 36.735077)",40,,,
26322128,secondary,,True,False,211.186,"LINESTRING (2.9931736 36.7350791, 2.9931882 36.7346413, 2.9931612 36.7340937, 2.9931354 36.7337464, 2.9931326 36.733616, 2.9931409 36.7334098, 2.9931405 36.7333155, 2.9931258 36.7331817)",40,CW 111,,
26322135,secondary,roundabout,True,False,13.734,"LINESTRING (2.9931736 36.7350791, 2.9932053 36.7350614, 2.9932429 36.7350549, 2.9932808 36.7350603, 2.9933132 36.735077)",,,,
26322135,secondary,roundabout,True,False,3.425,"LINESTRING (2.9931528 36.735105, 2.9931736 36.7350791)",,,,
31250961,secondary,,True,False,183.18699999999998,"LINESTRING (2.9931528 36.735105, 2.9930387 36.7349885, 2.9929178 36.7348092, 2.9927248 36.7343948, 2.9926031 36.7341844, 2.9924918 36.7340759, 2.9923316 36.7339559, 2.9921494 36.7338649, 2.9919968 36.7338125)",40,CW 116,2,
1050381823,residential,,False,True,54.091,"LINESTRING (2.9933178 36.7362926, 2.9935579 36.7362808, 2.9938664 36.7361223)",,,,
26322140,secondary,roundabout,True,False,18.625,"LINESTRING (2.9933424 36.7329684, 2.9933822 36.7330142, 2.9933957 36.733069, 2.9933806 36.7331235)",30,,,
26322167,secondary,,True,False,96.51100000000001,"LINESTRING (2.9933086 36.7354247, 2.9933098 36.7355345, 2.9933113 36.7356809, 2.9933135 36.7358853, 2.993316 36.7361193, 2.9933178 36.7362926)",,,,
31250998,residential,,False,True,48.979,"LINESTRING (2.9919968 36.7338125, 2.9914645 36.7337028)",,,,Rue du Bassin
266335593,residential,,True,False,91.75,"LINESTRING (2.9919968 36.7338125, 2.9920368 36.732988)",,,,
31312211,residential,,False,True,49.239999999999995,"LINESTRING (2.9919968 36.7338125, 2.9919833 36.7339376, 2.9919209 36.7342509)",,,,
