osmid,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,lanes
770984170,residential,False,True,655.837,"LINESTRING (5.5471797 35.5085191, 5.5472414 35.5082932, 5.5473675 35.5080748, 5.5475847 35.5078466, 5.5479817 35.5075541, 5.5481842 35.5074001, 5.5486965 35.5070803, 5.5489419 35.5069449, 5.5491418 35.5068783, 5.5493791 35.5067997, 5.5500041 35.5065737, 5.5510515 35.5061938, 5.5523805 35.5057353, 5.5531188 35.5054656)",,,,
325793928,primary,False,False,263.07300000000004,"LINESTRING (5.5531188 35.5054656, 5.5529344 35.5051301, 5.5526703 35.5046534, 5.5520527 35.5035288, 5.5519209 35.5033102)",RN 78,80,,
770984170,residential,False,False,655.8369999999999,"LINESTRING (5.5531188 35.5054656, 5.5523805 35.5057353, 5.5510515 35.5061938, 5.5500041 35.5065737, 5.5493791 35.5067997, 5.5491418 35.5068783, 5.5489419 35.5069449, 5.5486965 35.5070803, 5.5481842 35.5074001, 5.5479817 35.5075541, 5.5475847 35.5078466, 5.5473675 35.5080748, 5.5472414 35.5082932, 5.5471797 35.5085191)",,,,
771257877,residential,False,True,109.413,"LINESTRING (5.548254 35.5015636, 5.5484042 35.5015855, 5.5485651 35.5016925, 5.5489728 35.5019545, 5.549241 35.5021095)",,,,
771257877,residential,False,False,109.41300000000001,"LINESTRING (5.549241 35.5021095, 5.5489728 35.5019545, 5.5485651 35.5016925, 5.5484042 35.5015855, 5.548254 35.5015636)",,,,
771257878,residential,False,True,186.122,"LINESTRING (5.549241 35.5021095, 5.5493067 35.5020418, 5.5494381 35.5019709, 5.5496111 35.5018966, 5.5498606 35.5018115, 5.5500926 35.5017765, 5.5502804 35.5017601, 5.5504869 35.5017853, 5.5506317 35.5018453, 5.5508302 35.5019217, 5.5509831 35.5019359, 5.5511327 35.5018978)",,,,
"[325793928, 770984171, 770984172]",primary,False,True,172.593,"LINESTRING (5.5511327 35.5018978, 5.5511807 35.5019866, 5.5514277 35.502484, 5.55148 35.5025787, 5.5519209 35.5033102)",RN 78,80,yes,
771257878,residential,False,False,186.12199999999999,"LINESTRING (5.5511327 35.5018978, 5.5509831 35.5019359, 5.5508302 35.5019217, 5.5506317 35.5018453, 5.5504869 35.5017853, 5.5502804 35.5017601, 5.5500926 35.5017765, 5.5498606 35.5018115, 5.5496111 35.5018966, 5.5494381 35.5019709, 5.5493067 35.5020418, 5.549241 35.5021095)",,,,
"[325793928, 770984171, 770984172]",primary,False,False,172.59300000000002,"LINESTRING (5.5519209 35.5033102, 5.55148 35.5025787, 5.5514277 35.502484, 5.5511807 35.5019866, 5.5511327 35.5018978)",RN 78,80,yes,
325793928,primary,False,True,263.073,"LINESTRING (5.5519209 35.5033102, 5.5520527 35.5035288, 5.5526703 35.5046534, 5.5529344 35.5051301, 5.5531188 35.5054656)",RN 78,80,,
622825755,residential,False,True,154.924,"LINESTRING (5.5519209 35.5033102, 5.5524194 35.502972, 5.5531919 35.5023781)",,50,,2
622825755,residential,False,False,154.924,"LINESTRING (5.5531919 35.5023781, 5.5524194 35.502972, 5.5519209 35.5033102)",,50,,2
