osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,junction
462193534,residential,False,False,53.895,"LINESTRING (2.0241653 35.8709543, 2.0239155 35.8713947)",,,,,
311176759,residential,False,True,158.368,"LINESTRING (2.0241653 35.8709543, 2.0245809 35.8706937, 2.0255779 35.8701071)",,,,,
311176773,residential,False,False,316.226,"LINESTRING (2.0241653 35.8709543, 2.0238605 35.8710983, 2.0219454 35.8722633, 2.0214037 35.8726976)",,,,,
311268403,primary,False,False,122.92599999999999,"LINESTRING (2.0241653 35.8709543, 2.0242525 35.8705866, 2.0243699 35.8702722, 2.0245634 35.8699014)",2,RN 14,,,
311268403,primary,False,True,193.928,"LINESTRING (2.0241653 35.8709543, 2.0241373 35.8712954, 2.0241609 35.8718687, 2.0242791 35.8725638, 2.0243161 35.8726871)",2,RN 14,,,
241848898,residential,False,True,26.275,"LINESTRING (2.0261266 35.8752614, 2.0262699 35.8750556)",,,,,
311268403,primary,False,True,90.095,"LINESTRING (2.0261266 35.8752614, 2.0267829 35.8758727)",2,RN 14,,,
311268403,primary,False,False,112.01499999999999,"LINESTRING (2.0261266 35.8752614, 2.0256382 35.8747876, 2.0252997 35.8745103)",2,RN 14,,,
527111503,residential,False,False,27.329,"LINESTRING (2.0224926 35.8779907, 2.0227785 35.8780728)",,,,,
527111503,residential,False,True,14.239,"LINESTRING (2.0224926 35.8779907, 2.0224292 35.878108)",,,,,
241848905,residential,False,False,127.727,"LINESTRING (2.0224926 35.8779907, 2.0231419 35.8778584, 2.0238661 35.8777063)",,,,,
241848905,residential,False,True,202.508,"LINESTRING (2.0224926 35.8779907, 2.0216908 35.8776998, 2.0215023 35.877615, 2.0204597 35.8772151)",,,,,
241848905,residential,False,True,24.656,"LINESTRING (2.0249068 35.8758242, 2.0247641 35.8760134)",,,,,
241848896,residential,False,False,31.322,"LINESTRING (2.0249068 35.8758242, 2.0250087 35.8756503, 2.0251107 35.8756168)",,,,,
241848896,residential,False,True,114.27199999999999,"LINESTRING (2.0249068 35.8758242, 2.0249819 35.8759893, 2.0253306 35.8761762, 2.0259368 35.876324)",,,,,
241848899,residential,False,False,118.21199999999999,"LINESTRING (2.020813 35.8782387, 2.0205134 35.877402, 2.0204597 35.8772151)",,,,,
241848900,residential,False,False,146.578,"LINESTRING (2.020813 35.8782387, 2.0212912 35.8781757, 2.0218867 35.8781627, 2.0224292 35.878108)",,,,,
241848905,residential,False,False,27.412,"LINESTRING (2.0242623 35.8769434, 2.0243789 35.8767157)",,,,,
241848905,residential,False,True,10.75,"LINESTRING (2.0242623 35.8769434, 2.024216 35.8770325)",,,,,
241848902,residential,False,True,154.057,"LINESTRING (2.0242623 35.8769434, 2.0230454 35.876411, 2.0232082 35.8761813)",,,,,
241848900,residential,False,True,51.756,"LINESTRING (2.0230025 35.8782757, 2.0230615 35.8782322, 2.0230285 35.8780388, 2.0229005 35.8780605, 2.0227785 35.8780728)",,,,,
241848905,residential,False,False,8.163,"LINESTRING (2.0245903 35.8763027, 2.0246284 35.8762361)",,,,,
241848905,residential,False,True,23.223,"LINESTRING (2.0245903 35.8763027, 2.0244915 35.8764956)",,,,,
241848897,residential,False,False,156.469,"LINESTRING (2.0245903 35.8763027, 2.0252501 35.8766022, 2.0257383 35.8766805, 2.0259368 35.876324)",,,,,
241848906,residential,False,False,87.75399999999999,"LINESTRING (2.0209264 35.8762154, 2.0215211 35.8758872, 2.0217379 35.8757793)",,,,,
241848906,residential,False,True,136.82399999999998,"LINESTRING (2.0209264 35.8762154, 2.0201218 35.8766848, 2.0200735 35.8768239, 2.0200298 35.8771043)",,,,,
462193532,residential,False,False,140.55,"LINESTRING (2.0209264 35.8762154, 2.0210552 35.8759068, 2.0210069 35.875559, 2.0208728 35.8749809)",,,,,
462193532,residential,False,True,118.91499999999999,"LINESTRING (2.0209264 35.8762154, 2.0205938 35.8768804, 2.0204597 35.8772151)",,,,,
241848902,residential,False,False,26.661,"LINESTRING (2.0234799 35.8757981, 2.0233325 35.876006)",,,,,
