osmid,oneway,lanes,ref,highway,reversed,length,geometry,junction
207636041,True,1,RN 53A,primary,False,453.535,"LINESTRING (9.1667995 31.5991871, 9.166526 31.5991258, 9.1658326 31.5987575, 9.1630112 31.5971761, 9.1627209 31.5970806)",
207637779,False,,,residential,True,11.876,"LINESTRING (9.1595273 31.5952054, 9.1596361 31.5951523)",
"[207636394, 207637779]",False,,,residential,False,213.312,"LINESTRING (9.1595273 31.5952054, 9.1588633 31.5960623, 9.159727 31.5965661)",
207636048,True,1,RN 53A,primary,False,25.19,"LINESTRING (9.1626067 31.5970029, 9.1623863 31.5968761)",
207636050,True,2,,primary,False,17.505,"LINESTRING (9.1626067 31.5970029, 9.1625997 31.596964, 9.1626086 31.5969254, 9.1626323 31.5968916, 9.162668 31.5968666)",roundabout
207636050,True,2,,primary,False,5.442,"LINESTRING (9.1626362 31.5970449, 9.1626067 31.5970029)",roundabout
"[207637756, 207637788]",False,,,residential,True,206.22500000000002,"LINESTRING (9.1626362 31.5970449, 9.161624 31.5982017, 9.1612338 31.5979584)",
293121104,False,,,unclassified,False,115.76,"LINESTRING (9.165893 31.5986845, 9.166675 31.5978844)",
207636040,True,1,RN 53A,primary,False,102.467,"LINESTRING (9.165893 31.5986845, 9.1666072 31.5990703, 9.1667995 31.5991871)",
207637748,False,,,residential,False,13.652,"LINESTRING (9.1613295 31.5961396, 9.1612098 31.596208)",
207637748,False,,,residential,True,44.905,"LINESTRING (9.1613295 31.5961396, 9.1615895 31.5958019)",
293121103,True,1,RN 53A,primary,False,76.27,"LINESTRING (9.1613295 31.5961396, 9.1620024 31.5965164)",
207636040,True,1,RN 53A,primary,False,351.781,"LINESTRING (9.1628362 31.5968914, 9.1631211 31.5971027, 9.165893 31.5986845)",
207636050,True,2,,primary,False,30.254999999999995,"LINESTRING (9.1628362 31.5968914, 9.1628598 31.5969247, 9.1628689 31.5969628, 9.1628626 31.5970013, 9.1628416 31.5970358, 9.1628083 31.5970623, 9.1627664 31.5970778, 9.1627209 31.5970806)",roundabout
207637779,False,,,residential,False,11.876,"LINESTRING (9.1596361 31.5951523, 9.1595273 31.5952054)",
207637779,False,,,residential,True,56.923,"LINESTRING (9.1596361 31.5951523, 9.1600201 31.5947585)",
293121103,True,1,RN 53A,primary,False,112.892,"LINESTRING (9.1596361 31.5951523, 9.1606195 31.595726)",
207637766,False,,,residential,True,13.909,"LINESTRING (9.1623863 31.5968761, 9.1624723 31.5967747)",
293121102,True,1,RN 53A,primary,False,133.922,"LINESTRING (9.1623863 31.5968761, 9.1612098 31.596208)",
207637766,False,,,residential,False,115.08,"LINESTRING (9.1623863 31.5968761, 9.1619836 31.5972731, 9.1615653 31.5976384)",
207636050,True,2,,primary,False,9.096,"LINESTRING (9.1627209 31.5970806, 9.1626748 31.5970693, 9.1626362 31.5970449)",roundabout
207636050,True,2,,primary,False,13.118,"LINESTRING (9.162668 31.5968666, 9.1627115 31.5968534, 9.1627577 31.5968535, 9.1628011 31.5968668)",roundabout
207636050,True,2,,primary,False,4.305,"LINESTRING (9.1628011 31.5968668, 9.1628362 31.5968914)",roundabout
207636395,False,,,residential,False,194.833,"LINESTRING (9.1628011 31.5968668, 9.1636529 31.5952719)",
207636380,False,,,residential,True,53.354,"LINESTRING (9.1593802 31.5938735, 9.1590689 31.5942734)",
207637749,False,,,residential,False,109.61,"LINESTRING (9.1593802 31.5938735, 9.1603506 31.5944106)",
207637749,False,,,residential,True,18.228,"LINESTRING (9.1593802 31.5938735, 9.1592222 31.5937799)",
207636389,False,,,residential,True,10.587,"LINESTRING (9.1594152 31.5969498, 9.1594788 31.5968715)",
207636383,False,,,residential,False,24.999,"LINESTRING (9.160398 31.5940047, 9.1605726 31.5941733)",
207636383,False,,,residential,True,108.257,"LINESTRING (9.160398 31.5940047, 9.1594153 31.5935075)",
207637746,False,,,residential,False,31.047,"LINESTRING (9.160398 31.5940047, 9.1605685 31.5940072, 9.1607241 31.5940267)",
207636382,False,,,residential,True,51.563,"LINESTRING (9.1610414 31.5951636, 9.1605948 31.5948984)",
207636392,False,,,residential,False,74.213,"LINESTRING (9.1610414 31.5951636, 9.1606195 31.595726)",
207636382,False,,,residential,False,81.054,"LINESTRING (9.1610414 31.5951636, 9.1613978 31.5953802, 9.1617689 31.595544)",
207636380,False,,,residential,False,53.354,"LINESTRING (9.1590689 31.5942734, 9.1593802 31.5938735)",
207636386,False,,,residential,False,5.889,"LINESTRING (9.1590689 31.5942734, 9.1591207 31.5943027)",
207636375,False,,,residential,True,50.274,"LINESTRING (9.1621451 31.5937828, 9.1624251 31.5933987)",
207637750,False,,,residential,False,43.151,"LINESTRING (9.1621451 31.5937828, 9.1617711 31.5935612)",
207637750,False,,,residential,True,49.335,"LINESTRING (9.1621451 31.5937828, 9.1625578 31.5940535)",
207637748,False,,,residential,False,53.977,"LINESTRING (9.1621451 31.5937828, 9.1618892 31.5941689, 9.1618914 31.5942109)",
207636385,False,,,residential,False,46.2,"LINESTRING (9.1617144 31.5928746, 9.1621173 31.5931088)",
207637779,False,,,residential,False,59.605,"LINESTRING (9.1617144 31.5928746, 9.1613488 31.5933109)",
207637779,False,,,residential,True,26.213,"LINESTRING (9.1617144 31.5928746, 9.161868 31.5926785)",
207636383,False,,,residential,False,108.257,"LINESTRING (9.1594153 31.5935075, 9.160398 31.5940047)",
207636391,False,,,residential,False,35.383,"LINESTRING (9.1594153 31.5935075, 9.1592222 31.5937799)",
207636391,False,,,residential,True,15.287,"LINESTRING (9.1594153 31.5935075, 9.1594897 31.5933855)",
207636389,False,,,residential,False,41.301,"LINESTRING (9.159727 31.5965661, 9.1594788 31.5968715)",
207636394,False,,,residential,False,69.527,"LINESTRING (9.159727 31.5965661, 9.1603326 31.5969195)",
760136567,False,,,residential,True,57.903,"LINESTRING (9.159727 31.5965661, 9.1600489 31.5961234)",
"[207636394, 207637779]",False,,,residential,True,213.312,"LINESTRING (9.159727 31.5965661, 9.1588633 31.5960623, 9.1595273 31.5952054)",
207636375,False,,,residential,False,10.197,"LINESTRING (9.1624819 31.5933208, 9.1624251 31.5933987)",
207636385,False,,,residential,True,41.812,"LINESTRING (9.1624819 31.5933208, 9.1621173 31.5931088)",
293115953,False,,,residential,False,29.561,"LINESTRING (9.1624819 31.5933208, 9.162637 31.5930901)",
207636379,False,,,residential,False,38.699,"LINESTRING (9.1591207 31.5943027, 9.1588927 31.5945915)",
207636386,False,,,residential,False,99.122,"LINESTRING (9.1591207 31.5943027, 9.1600201 31.5947585)",
207636386,False,,,residential,True,5.889,"LINESTRING (9.1591207 31.5943027, 9.1590689 31.5942734)",
207637750,False,,,residential,False,21.611,"LINESTRING (9.1593688 31.5921892, 9.1591646 31.5921025)",
207636381,False,,,residential,False,193.185,"LINESTRING (9.1593688 31.5921892, 9.1596706 31.5917496, 9.1596557 31.5916915, 9.1596086 31.591645, 9.1584764 31.5911011)",
207637750,False,,,residential,True,78.428,"LINESTRING (9.1593688 31.5921892, 9.1597613 31.5923801, 9.1600804 31.5925496)",
207636377,False,,,residential,False,100.866,"LINESTRING (9.1585833 31.5929093, 9.1594897 31.5933855)",
207636387,False,,,residential,False,6.364,"LINESTRING (9.1585833 31.5929093, 9.158548 31.592958)",
207636387,False,,,residential,True,40.746,"LINESTRING (9.1585833 31.5929093, 9.1588023 31.5925939)",
207636379,False,,,residential,True,38.699,"LINESTRING (9.1588927 31.5945915, 9.1591207 31.5943027)",
207636376,False,,,residential,True,92.783,"LINESTRING (9.1605948 31.5948984, 9.1611978 31.5942408)",
207636382,False,,,residential,False,51.563,"LINESTRING (9.1605948 31.5948984, 9.1610414 31.5951636)",
207636382,False,,,residential,True,51.865,"LINESTRING (9.1605948 31.5948984, 9.1601564 31.5946189)",
207636378,False,,,residential,False,45.348,"LINESTRING (9.1607778 31.5939583, 9.1611558 31.5942086)",
207637779,False,,,residential,False,9.15,"LINESTRING (9.1607778 31.5939583, 9.1607241 31.5940267)",
