osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,ref,bridge,junction,tunnel,access,est_width
133830534,True,2,Bartholomäusstraße,tertiary,30,False,11.899,"LINESTRING (11.1028896 49.4596793, 11.1028695 49.4597204, 11.1028587 49.4597427, 11.1028398 49.4597813)",,,,,,,
"[134151192, 83974764]",True,,"['Sulzbacher Straße', 'Äußere Sulzbacher Straße']",secondary,50,False,139.949,"LINESTRING (11.1028896 49.4596793, 11.1030789 49.4597095, 11.1033559 49.4597538, 11.1040429 49.4599026, 11.1047235 49.4600778)",,,,,,,
5048095,False,,Krellerstraße,residential,30,True,86.675,"LINESTRING (11.0941082 49.458326, 11.0941021 49.4583796, 11.0941013 49.458387, 11.0940197 49.4590312, 11.0940106 49.4591029)",,,,,,,
105342410,True,,Sulzbacher Straße,secondary,50,False,114.888,"LINESTRING (11.0941082 49.458326, 11.0940113 49.4583024, 11.0927803 49.4579995, 11.0926215 49.4579604)",,,,,,,
"[248976033, 58996591]",True,"['3', '4']",Rathenauplatz,secondary,50,False,156.274,"LINESTRING (11.0890448 49.4576691, 11.0890121 49.457444, 11.0890085 49.4574142, 11.0889967 49.4572281, 11.0889977 49.4567933, 11.0890017 49.4565826, 11.0890157 49.4563785, 11.0890241 49.4562653)",,,,,,,
"[135376700, 135383902]",True,"['1', '2']",Laufer Tor,tertiary,30,False,64.874,"LINESTRING (11.0890448 49.4576691, 11.0888105 49.4576268, 11.0887499 49.4576159, 11.088707 49.4576085, 11.0884541 49.4575669, 11.0883781 49.4575563, 11.0883511 49.4575525, 11.0881743 49.4575276)",,,,,,,
137438973,True,1,Maxtorgraben,residential,30,False,233.03,"LINESTRING (11.0890448 49.4576691, 11.08888 49.4577254, 11.0888553 49.4577354, 11.0888341 49.457744, 11.0887999 49.4577594, 11.0887693 49.4577737, 11.0887361 49.4577922, 11.0886964 49.4578147, 11.0886343 49.457853, 11.0885969 49.4578786, 11.0885129 49.4579359, 11.0883868 49.4580341, 11.0881172 49.4582917, 11.0880059 49.4583711, 11.087503 49.45873, 11.0868535 49.459188)",4,,,,,,
4443812,True,4,Äußere Cramer-Klett-Straße,secondary,50,False,30.509,"LINESTRING (11.0889145 49.455675, 11.0891227 49.4556633, 11.0891631 49.455661, 11.0893348 49.4556498)",,,,,,,
137860351,True,2,Laufertorgraben,secondary,50,False,35.048,"LINESTRING (11.0889145 49.455675, 11.0888713 49.4556044, 11.0888399 49.4555592, 11.0888209 49.4555327, 11.0887969 49.4554975, 11.088742 49.4554361, 11.0886955 49.4553952)",,,,,,,
50433744,False,2,Würzburger Straße,secondary,70,True,13.746,"LINESTRING (11.0327474 49.5232392, 11.0325627 49.5232091)",,N 3,,,,,
