osmid,oneway,lanes,highway,reversed,length,maxspeed,geometry,ref,bridge,name,width,junction,tunnel,access
"[965649065, 475675801, 4276835, 475675802]",True,"['3', '2']",motorway_link,False,366.4,80,"LINESTRING (9.8903915 52.363482, 9.8897416 52.362955, 9.8889446 52.3621873, 9.8885818 52.3618503, 9.8874309 52.3607293)",,,,,,,
"[1088209440, 12641603, 789214647]",True,"['1', '2']",motorway_link,False,296.467,60,"LINESTRING (9.622623 52.4209101, 9.6234233 52.420805, 9.624007 52.4207499, 9.6244866 52.4207177, 9.6252392 52.4206819, 9.6263256 52.420662, 9.6269638 52.4206664)",,,,,,,
239250784,True,3,motorway,False,1865.451,none,"LINESTRING (9.622623 52.4209101, 9.6237171 52.4208552, 9.6244868 52.420824, 9.6254023 52.4208027, 9.6263067 52.4208006, 9.6277134 52.4208195, 9.6288031 52.4208611, 9.6293962 52.4208897, 9.630619 52.4209674, 9.6317353 52.4210647, 9.6325877 52.4211555, 9.6334392 52.4212602, 9.6341233 52.4213501, 9.6349011 52.4214614, 9.6360097 52.4216406, 9.6372011 52.4218499, 9.6383357 52.4220606, 9.6493618 52.424185)",A 2,,,,,,
"[239253026, 239253027, 4762435, 239255189, 4762102]",True,"['3', '4']",motorway,False,3008.4799999999996,none,"LINESTRING (9.7756332 52.4274321, 9.7779277 52.4276879, 9.7805811 52.4280672, 9.782979 52.4284912, 9.7853394 52.4289413, 9.7885076 52.4296279, 9.791292 52.4301528, 9.7923647 52.430328, 9.7941077 52.4306042, 9.7958676 52.4308181, 9.7972941 52.4309476, 9.7987497 52.4310206, 9.7999361 52.4310507, 9.8012768 52.4310452, 9.8016704 52.4310376, 9.8033009 52.4309684, 9.8050672 52.4308142, 9.8060247 52.4307105, 9.8069945 52.4305764, 9.8080149 52.4304194, 9.8089671 52.4302461, 9.8099017 52.430057, 9.8108054 52.4298572, 9.8119765 52.4295788, 9.8131399 52.4292658, 9.8145944 52.4288592, 9.8159335 52.4284623, 9.8182004 52.4277601)",A 2,yes,,,,,
"[5000425, 575643329]",True,4,motorway,False,403.325,none,"LINESTRING (9.6493618 52.424185, 9.6501062 52.4243279, 9.6550369 52.4252713)",A 2,,,,,,
30045495,True,2,motorway_link,False,128.449,,"LINESTRING (9.6302242 52.4208054, 9.6311595 52.420875, 9.6321004 52.4209631)",,,,,,,
"[270482242, 239253028, 270482226, 270482229, 270482231, 270482236, 270482238]",True,"['3', '4']",motorway,False,2013.7570000000003,none,"LINESTRING (9.741878 52.4273611, 9.7433983 52.4273537, 9.746942 52.4273242, 9.7500497 52.4272486, 9.7522467 52.4271993, 9.7584872 52.4270599, 9.7606875 52.4270056, 9.7654848 52.4269314, 9.7671109 52.4269311, 9.7696717 52.4269926, 9.7715576 52.427088)",A 2,,,,,,
25075023,True,1,motorway_link,False,119.572,,"LINESTRING (9.7310988 52.4276723, 9.730698 52.4276738, 9.7295747 52.4276782, 9.7293353 52.4276791)",,,,,,,
"[782267537, 5009501]",True,1,motorway_link,False,237.22699999999998,,"LINESTRING (9.7310988 52.4276723, 9.7308181 52.4277187, 9.7306883 52.4277575, 9.7305785 52.4278101, 9.7304976 52.4278665, 9.7304357 52.4279226, 9.7303807 52.4279968, 9.7303581 52.4280761, 9.730355 52.4281555, 9.7303702 52.428239, 9.7304089 52.4283086, 9.730476 52.4283894, 9.7305771 52.428463, 9.7306884 52.4285144, 9.7308202 52.4285555, 9.7309686 52.4285799, 9.7311071 52.4285867, 9.7312483 52.4285782, 9.7313875 52.4285471, 9.7315053 52.4285051, 9.7316047 52.4284556, 9.731686 52.4283998, 9.7317723 52.4283075, 9.7318672 52.4281352)",,,,,,,
"[575643336, 270484555, 575643341, 4435198]",True,4,motorway,False,1350.9859999999999,none,"LINESTRING (9.6593607 52.4262621, 9.6505792 52.4245768, 9.6495326 52.4243748, 9.6483974 52.4241593, 9.6403592 52.4226083)",A 2,,,,,,
4435197,True,3,motorway,False,1253.2859999999998,none,"LINESTRING (9.6403592 52.4226083, 9.6382593 52.4222064, 9.637114 52.4219922, 9.635942 52.4217866, 9.6348247 52.4216086, 9.6340522 52.4214974, 9.6333321 52.4214021, 9.6325368 52.4213035, 9.6316884 52.4212151, 9.6305385 52.421117, 9.6293685 52.4210431, 9.6287616 52.4210124, 9.6276985 52.4209728, 9.6262856 52.4209533, 9.6253294 52.4209604, 9.6244957 52.4209787, 9.623717 52.4210091, 9.6222145 52.4211022)",A 2,,,,,,
