osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,bridge,tunnel,access,width,service,est_width
80182338,1,K 2,Kohlenstraße,tertiary,50,roundabout,True,False,14.045,"LINESTRING (7.1916517 51.472129, 7.1917187 51.4721516, 7.1917569 51.4721713, 7.1918055 51.4722085)",,,,,,
"[96857285, 377731078]",1,K 2,Kohlenstraße,tertiary,50,,True,False,47.900999999999996,"LINESTRING (7.1916517 51.472129, 7.1917556 51.4720836, 7.191803 51.4720368, 7.1918404 51.4719965, 7.1919288 51.4717528)",,,,,,
"[96857281, 377731075]",1,K 2,Kohlenstraße,tertiary,50,,True,False,52.07599999999999,"LINESTRING (7.1919288 51.4717528, 7.1919171 51.4719516, 7.1919122 51.4720349, 7.1918869 51.4720858, 7.1918665 51.4721161, 7.191838 51.4721582, 7.1918055 51.4722085)",,,,,,
"[377731074, 377731076, 377731077]","['3', '2']",K 2,Kohlenstraße,tertiary,50,,False,True,167.99899999999997,"LINESTRING (7.1919288 51.4717528, 7.1919478 51.4714937, 7.1919516 51.4714414, 7.1919784 51.4713427, 7.1920155 51.471244, 7.1920804 51.4711286, 7.1921313 51.471038, 7.1922894 51.4708691, 7.192502 51.4707038, 7.1929435 51.4704532)",,,,,,
"[8177323, 163666867, 1026184253, 163666871]",2,,Am Umweltpark,residential,,,False,False,412.37800000000004,"LINESTRING (7.1929435 51.4704532, 7.1931634 51.4705393, 7.1934467 51.4706552, 7.1935574 51.4706988, 7.1937535 51.4707743, 7.1944285 51.4709919, 7.1948399 51.4711167, 7.1951988 51.4712256, 7.1956163 51.4713522, 7.1960516 51.4714796, 7.196261 51.4715051, 7.1963287 51.4714928, 7.1964059 51.4714787, 7.1966142 51.4713642, 7.1966917 51.4712929, 7.1967553 51.4712088, 7.1968429 51.4710617, 7.1970628 51.4706919, 7.197129 51.4705992, 7.197188 51.4705323, 7.1972749 51.4704589, 7.1973737 51.4703615)",yes,,,,,
"[221874088, 80182345, 80182330]",2,K 2,Kohlenstraße,tertiary,50,,False,True,178.76899999999998,"LINESTRING (7.1929435 51.4704532, 7.1933343 51.4702224, 7.1934835 51.4701002, 7.1936124 51.4699721, 7.193704 51.469876, 7.1937883 51.4697499, 7.1938609 51.46963, 7.1939139 51.469494, 7.1939396 51.4694029, 7.1939625 51.4692871, 7.1939691 51.4691659, 7.1939722 51.4691075, 7.1939708 51.4690453)",yes,,,,,
"[377731074, 377731076, 377731077]","['3', '2']",K 2,Kohlenstraße,tertiary,50,,False,False,167.999,"LINESTRING (7.1929435 51.4704532, 7.192502 51.4707038, 7.1922894 51.4708691, 7.1921313 51.471038, 7.1920804 51.4711286, 7.1920155 51.471244, 7.1919784 51.4713427, 7.1919516 51.4714414, 7.1919478 51.4714937, 7.1919288 51.4717528)",,,,,,
"[8177323, 163666867, 1026184253, 163666871]",2,,Am Umweltpark,residential,,,False,True,412.378,"LINESTRING (7.1973737 51.4703615, 7.1972749 51.4704589, 7.197188 51.4705323, 7.197129 51.4705992, 7.1970628 51.4706919, 7.1968429 51.4710617, 7.1967553 51.4712088, 7.1966917 51.4712929, 7.1966142 51.4713642, 7.1964059 51.4714787, 7.1963287 51.4714928, 7.196261 51.4715051, 7.1960516 51.4714796, 7.1956163 51.4713522, 7.1951988 51.4712256, 7.1948399 51.4711167, 7.1944285 51.4709919, 7.1937535 51.4707743, 7.1935574 51.4706988, 7.1934467 51.4706552, 7.1931634 51.4705393, 7.1929435 51.4704532)",yes,,,,,
26116281,,,Sinterstraße,residential,50,,False,False,363.36799999999994,"LINESTRING (7.1944697 51.468117, 7.1942562 51.4680537, 7.1928869 51.4676406, 7.1923471 51.4674777, 7.1920578 51.4673904, 7.191892 51.4673404, 7.1916927 51.4672802, 7.1911441 51.4671147, 7.1908814 51.4670373, 7.1904978 51.4669218, 7.1903217 51.4668497, 7.1901945 51.4667715, 7.1901331 51.4667138, 7.1900897 51.466646, 7.1900633 51.4665713, 7.1900675 51.4665127)",,,,,,
"[24661568, 135321697, 135321698, 1211767435, 1141462265]",,,Hüttenstraße,residential,"['30', '50']",,False,True,1055.9840000000004,"LINESTRING (7.1944697 51.468117, 7.1946277 51.4681678, 7.1951249 51.468342, 7.1952801 51.4683797, 7.1953813 51.4683976, 7.1955435 51.4684146, 7.1956379 51.468411, 7.1957428 51.4683988, 7.1958653 51.4683715, 7.1960107 51.4683198, 7.1961425 51.4682356, 7.196254 51.4681494, 7.1963539 51.4680392, 7.1963865 51.4680032, 7.1964415 51.4679362, 7.1965951 51.4677524, 7.1967088 51.4675659, 7.1969372 51.4671457, 7.1969492 51.4671237, 7.1970056 51.4670244, 7.197119 51.4668445, 7.197201 51.4667457, 7.1972508 51.4666859, 7.1973338 51.4666022, 7.1974277 51.4665193, 7.197572 51.4664138, 7.1976947 51.4663509, 7.197804 51.4663043, 7.1980284 51.4662399, 7.1981547 51.4662253, 7.1982904 51.4662182, 7.1984387 51.4662292, 7.1985393 51.4662481, 7.1985783 51.4662554, 7.1987084 51.4662922, 7.1988295 51.4663372, 7.1997592 51.4666784, 7.2004034 51.4669118, 7.2011176 51.4671594, 7.2014651 51.4672586, 7.2019402 51.4673649, 7.2021851 51.4674122, 7.2025611 51.4674848, 7.202989 51.4675641, 7.2032642 51.4676156, 7.2034787 51.4676484, 7.2036755 51.4676694, 7.2038672 51.4676864, 7.2039928 51.4676923, 7.2040136 51.4676933, 7.2042482 51.4677044, 7.2046316 51.4677061, 7.2047049 51.4677013, 7.2048535 51.4676916, 7.2050474 51.467668, 7.2050825 51.4676637, 7.2051469 51.4676542, 7.2052632 51.4676375, 7.20551 51.4676012, 7.2055612 51.4675929, 7.2057584 51.4675573, 7.2059578 51.4675124, 7.2060867 51.4674829, 7.206405 51.4674102, 7.2066262 51.4673575, 7.2068127 51.4673128, 7.2069434 51.4672822)",,,,,,
