osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,width,bridge,junction,access,tunnel
44503497,True,L 143,Kaiserstraße,secondary,50,False,153.90699999999998,"LINESTRING (6.637228 49.7500944, 6.6371073 49.750117, 6.6369169 49.7501499, 6.6368043 49.7501672, 6.6363992 49.7502227, 6.6362613 49.7502418, 6.6359121 49.7502951, 6.6355731 49.7503457, 6.6354792 49.7503596, 6.6351405 49.7504036)",,,,,,
113363975,True,,,secondary_link,50,False,36.47,"LINESTRING (6.637228 49.7500944, 6.6371691 49.7500582, 6.6371316 49.750024, 6.6370976 49.7499817, 6.6370621 49.749933, 6.6370571 49.7498914, 6.6370585 49.7498546, 6.6370719 49.7498018)",1,,,,,
"[620480498, 1216112757, 6073765]",True,,"['Germanstraße', 'Neustraße']","['living_street', 'residential']",50,False,249.95600000000002,"LINESTRING (6.637228 49.7500944, 6.6372412 49.7501465, 6.6372513 49.7501731, 6.637395 49.7504293, 6.6375542 49.7507613, 6.6376091 49.7510077, 6.6376129 49.7510248, 6.6376813 49.7513635, 6.63777 49.7513474, 6.638395 49.7512479, 6.6384178 49.751243, 6.6390615 49.751074)",1,,,,,
6073363,False,,,residential,,False,28.04,"LINESTRING (6.6401482 49.7495184, 6.6400825 49.7493814, 6.6400603 49.7492736)",,,,,,
"[348744826, 44181036]",True,L 143,Kaiserstraße,secondary,50,False,219.652,"LINESTRING (6.6401482 49.7495184, 6.6400462 49.749549, 6.6399623 49.7495759, 6.6396246 49.7496592, 6.6387377 49.7498238, 6.6382644 49.7499058, 6.6374296 49.7500533, 6.6373887 49.7500605, 6.637228 49.7500944)",3,,,,,
329619113,False,,Weberbach,residential,50,True,47.081999999999994,"LINESTRING (6.6401482 49.7495184, 6.6401994 49.7496365, 6.6402217 49.7496878, 6.6403251 49.7499261)",4,,,,,
"[453390163, 5583924, 1221798079]",False,,Weberbach,residential,50,False,44.617999999999995,"LINESTRING (6.6425003 49.7538613, 6.6423439 49.75376, 6.6422526 49.7536927, 6.6421626 49.753578, 6.6421356 49.7535419)",2,,,,,
"[76357832, 5583937]",False,,Konstantinstraße,residential,"['30', '50']",False,79.614,"LINESTRING (6.6425003 49.7538613, 6.6424238 49.7539009, 6.6423862 49.7539204, 6.6423057 49.7539463, 6.6421287 49.7540035, 6.6420074 49.7540408, 6.6415182 49.7541882)",,,,,,
"[6073353, 1217863438]",False,,Konstantinplatz,residential,20,False,70.1,"LINESTRING (6.6425003 49.7538613, 6.6426551 49.7538962, 6.6427848 49.7539209, 6.6428624 49.7539507, 6.6429526 49.7540112, 6.6429841 49.7540405, 6.643079 49.7541328, 6.6431945 49.754261)",2,,,,,
"[13882763, 894069991]",False,,Mustorstraße,residential,50,False,59.839000000000006,"LINESTRING (6.64423 49.7543476, 6.644502 49.7542142, 6.6445912 49.7541757, 6.6448445 49.7540662, 6.6449133 49.7540406)",2,,,,,
