osmid,oneway,lanes,ref,highway,maxspeed,width,reversed,length,geometry,bridge,name,access,junction,tunnel
318050720,True,1,B 38,secondary_link,50,,False,10.984,"LINESTRING (8.5432385 49.518813, 8.5433824 49.5188451)",,,,,
"[5173035, 162504500, 318050719]",True,2,K 9751,secondary,50,,False,217.75,"LINESTRING (8.5432385 49.518813, 8.5440062 49.517922, 8.5444334 49.5174202, 8.5447012 49.5171004)",yes,Magdeburger Straße,,,
318160018,True,2,,secondary_link,50,,False,11.689,"LINESTRING (8.546972 49.5134446, 8.5470979 49.5135107)",,,,,
159547841,True,2,K 9751,secondary,60,,False,34.746,"LINESTRING (8.546972 49.5134446, 8.5470316 49.5133443, 8.5471629 49.5131579)",,Magdeburger Straße,,,
318186149,True,1,,secondary_link,60,,False,13.074,"LINESTRING (8.5505798 49.5107213, 8.5507125 49.5108013)",,,,,
"[150102816, 183861352]",True,"['3', '2']",K 9751,secondary,60,,False,116.78800000000001,"LINESTRING (8.5505798 49.5107213, 8.5507541 49.5106611, 8.5509736 49.5105906, 8.5513028 49.5104917, 8.5520576 49.5102964)",,Magdeburger Straße,,,
"[383254664, 144375756, 384711102]",True,2,,trunk_link,"['70', '100']",,False,153.313,"LINESTRING (8.5480444 49.5191295, 8.5477087 49.519098, 8.5472103 49.5189341, 8.5467474 49.5187689, 8.5464265 49.5186544, 8.546136 49.5185507)",,,,,
"[378959222, 379420210, 144375758]",True,3,B 38,trunk,"['70', '90', '100']",,False,891.5059999999999,"LINESTRING (8.5480444 49.5191295, 8.5470548 49.5187739, 8.5439013 49.5176294, 8.5405184 49.5164023, 8.5372565 49.5152272)",,,,,
"[336347865, 129381361]",True,1,B 38,secondary_link,100,,False,88.462,"LINESTRING (8.5450154 49.5188181, 8.5451163 49.5186582, 8.5451553 49.5185939, 8.5451799 49.5184982, 8.5451631 49.5183872, 8.5450959 49.5182801, 8.544871 49.5181031)",,,,,
"[1214212281, 336347867, 336347861, 182528817]",False,"['3', '4', '2']",B 38,secondary_link,50,,True,85.82600000000001,"LINESTRING (8.5450154 49.5188181, 8.5448898 49.5189072, 8.5447197 49.5190278, 8.5446323 49.5190729, 8.544539 49.5191062, 8.5444337 49.5191279, 8.544331 49.5191368, 8.5442269 49.5191357, 8.5441299 49.519128, 8.5440159 49.519111)",,,,,
144377805,True,2,,secondary_link,50,,False,39.19,"LINESTRING (8.5438062 49.5190701, 8.5437245 49.5190448, 8.5434627 49.5189439, 8.5433527 49.5188797)",,,,,
144377806,True,1,,secondary_link,50,,False,55.522,"LINESTRING (8.5438062 49.5190701, 8.5434666 49.5190966, 8.5433138 49.519123, 8.5430747 49.519203)",,,,,
"[143481941, 144376949]",True,4,"['A 659', 'B 38']","['motorway', 'trunk']",100,,False,387.343,"LINESTRING (8.5503769 49.519821, 8.5538307 49.521083, 8.5540749 49.5211691, 8.5550616 49.5215196)",,,,,
"[184958601, 172303196, 181220943]",True,"['1', '2']",,secondary_link,50,,False,122.99700000000001,"LINESTRING (8.5521983 49.4916138, 8.5519088 49.4916846, 8.5517038 49.4917551, 8.5515771 49.491855, 8.5515114 49.4919784, 8.5515174 49.4921119, 8.5515863 49.4922468, 8.5516993 49.4923333, 8.5518352 49.4923909)",,,,,
"[456940649, 31233414, 386807159]",False,2,L 597,secondary,70,,True,70.465,"LINESTRING (8.5521983 49.4916138, 8.5517307 49.4916138, 8.55143 49.4916203, 8.551223 49.4916248)",,Sudetenstraße,,,
34571535,True,1,,secondary_link,50,,False,36.088,"LINESTRING (8.5526554 49.4923373, 8.5529142 49.4922634, 8.5531239 49.4922273)",,,,,
172303389,True,1,,secondary_link,50,,False,56.253,"LINESTRING (8.5526554 49.4923373, 8.5528023 49.4921765, 8.5528355 49.4920694, 8.5528118 49.4918603)",,,,,
34571707,False,4,K 9751,secondary,70,,False,103.035,"LINESTRING (8.5528118 49.4918603, 8.5521322 49.4910456)",,Siebenbürger Straße,,,
34571537,False,3,K 9751,secondary,70,,True,46.621,"LINESTRING (8.5528118 49.4918603, 8.5530547 49.4921467, 8.5531239 49.4922273)",,Siebenbürger Straße,,,
34571707,False,4,K 9751,secondary,70,,True,103.035,"LINESTRING (8.5521322 49.4910456, 8.5528118 49.4918603)",,Siebenbürger Straße,,,
184509631,True,2,K 9751,secondary,70,,False,34.852,"LINESTRING (8.5521322 49.4910456, 8.551876 49.49078)",,Siebenbürger Straße,,,
"[145471777, 184645866, 152927853]",True,2,"['B 38a', 'L 538']","['trunk_link', 'secondary']",70,,False,445.495,"LINESTRING (8.5308593 49.4799609, 8.5305518 49.4800274, 8.5301224 49.4801268, 8.5295007 49.4802856, 8.5285835 49.4805489, 8.5279246 49.4807495, 8.5273874 49.4809364, 8.5269953 49.4810739, 8.5265865 49.4812162, 8.5262313 49.4813289, 8.5258862 49.4814285, 8.5255358 49.481515, 8.5252286 49.4815771)",,Banater Straße,,,
"[603098990, 152927855]",True,1,B 38a,trunk_link,70,,False,413.8289999999999,"LINESTRING (8.5252286 49.4815771, 8.5247212 49.4816839, 8.5239105 49.4818293, 8.52351 49.4819167, 8.5231657 49.4820081, 8.5229024 49.4820881, 8.5226173 49.4821851, 8.5223155 49.4822964, 8.5219331 49.4824636, 8.5209639 49.4829306, 8.5204831 49.483177, 8.5202056 49.4832806)",,,,,
"[101265730, 101265731, 239883845, 183693766]",True,1,B 38a,trunk_link,"['60', '70', '40']",,False,501.71,"LINESTRING (8.5252286 49.4815771, 8.5247015 49.4816198, 8.5242188 49.4816385, 8.5240699 49.4816369, 8.5237642 49.4816259, 8.5234437 49.481605, 8.523093 49.4815764, 8.5226349 49.4815454, 8.5224793 49.4815395, 8.5223225 49.4815398, 8.5220606 49.4815507, 8.521827 49.4815708, 8.5216193 49.4815971, 8.5213452 49.4816466, 8.5211938 49.4816771, 8.5209746 49.481738, 8.52076 49.4818082, 8.5206111 49.4818632, 8.5204674 49.4819277, 8.5203771 49.4819816, 8.5202922 49.4820447, 8.5202292 49.4821103, 8.5201771 49.4821799, 8.5201609 49.4822579, 8.5201623 49.4823276, 8.5201742 49.4823753, 8.5201992 49.4824263, 8.520251 49.4824899, 8.5203213 49.482544, 8.5204103 49.4825903, 8.5205143 49.4826249, 8.5206398 49.4826464, 8.5207856 49.4826479, 8.5209074 49.4826302, 8.52121 49.4825569)",,,,,
4094432,True,3,B 38a,trunk,100,,False,157.761,"LINESTRING (8.5199081 49.4693488, 8.5195692 49.4689347, 8.5191195 49.4684204, 8.5188404 49.4681115)",,,,,
"[343029971, 5116621]",True,1,,motorway_link,"['70', '100']",,False,353.9429999999999,"LINESTRING (8.5199081 49.4693488, 8.5195684 49.4691727, 8.5194395 49.4691071, 8.5193022 49.4690526, 8.519205 49.4690205, 8.5189722 49.4689764, 8.5187845 49.4689531, 8.5185366 49.468942, 8.5182767 49.4689359, 8.5180693 49.4689294, 8.517912 49.4689027, 8.5177621 49.4688632, 8.5175839 49.4688083, 8.5174016 49.4687319, 8.5172282 49.4686612, 8.5170554 49.4686106, 8.5168679 49.4685722, 8.5166717 49.4685595, 8.5164887 49.4685682, 8.5163158 49.4685909, 8.5161592 49.4686214, 8.5160157 49.4686552, 8.5158222 49.4687085, 8.5153814 49.4688097)",,,,,
"[53573997, 169603191]",True,"['1', '2']",,motorway_link,70,,False,188.117,"LINESTRING (8.5153814 49.4688097, 8.5150665 49.4689194, 8.5144462 49.4691294, 8.5142536 49.46919, 8.5139204 49.4692879, 8.5134952 49.469432, 8.513321 49.4694971, 8.5130426 49.4695409)",,,,,
"[69423518, 169603176, 169603178, 53573999, 270684595, 143786392, 94586329, 94586334]",True,"['3', '2']","['B 37', 'A 656']","['motorway', 'primary']","['70', '100']",,False,782.1490000000001,"LINESTRING (8.5130426 49.4695409, 8.5122029 49.46987, 8.5116517 49.4700861, 8.5108945 49.4703829, 8.5103521 49.4705955, 8.5100228 49.4707246, 8.5091532 49.4710654, 8.5089172 49.4711579, 8.5089029 49.4711635, 8.5088838 49.471171, 8.5088339 49.4711906, 8.5087215 49.4712347, 8.5084137 49.4713553, 8.5081752 49.4714488, 8.5067725 49.4719986, 8.5053696 49.4725671, 8.5047193 49.4728422, 8.5038201 49.4732223)",,Wilhelm-Varnholt-Allee,,,
"[253498075, 4083006]",True,2,,primary_link,50,,False,49.331,"LINESTRING (8.5008378 49.4744222, 8.5006338 49.4744334, 8.5005683 49.4744355, 8.5005094 49.474432, 8.5004509 49.4744225, 8.5003902 49.4744047, 8.5003348 49.4743801, 8.5002698 49.4743285, 8.5002337 49.4743001)",,,,,
"[151785792, 253498053, 169603174, 818899846, 253498056, 253498059, 343029968, 25968381]",True,"['3', '4', '2']",B 37,primary,50,,False,733.357,"LINESTRING (8.5008378 49.4744222, 8.5006533 49.4744988, 8.5003361 49.4746073, 8.5001583 49.4746676, 8.4999479 49.4747436, 8.4996037 49.4748753, 8.4990186 49.4751073, 8.4975458 49.4756891, 8.4973257 49.4757761, 8.4960822 49.4762673, 8.495756 49.4764004, 8.4955579 49.4764942, 8.4954943 49.4765288, 8.4954116 49.4765789, 8.4953128 49.4766448, 8.4950078 49.4768976, 8.4948866 49.477013, 8.494752 49.4771341, 8.4946551 49.4772114, 8.4945728 49.4772715, 8.4944949 49.4773256, 8.4943952 49.4773841, 8.4942748 49.4774452, 8.4941356 49.4775004, 8.494038 49.4775333, 8.4939167 49.4775686, 8.4937959 49.4775957, 8.4936679 49.4776157, 8.4935091 49.4776344, 8.4933306 49.4776506, 8.4930933 49.4776621, 8.4929292 49.4776633, 8.4928195 49.4776662, 8.4927408 49.4776685, 8.492671 49.4776744, 8.4925931 49.4776864, 8.4924647 49.4777162, 8.4923363 49.4777526)",,Wilhelm-Varnholt-Allee,,,
"[270684576, 270684579, 4400844]",False,2,,residential,50,,False,273.491,"LINESTRING (8.4992728 49.4732689, 8.499101 49.4733389, 8.498792 49.4734646, 8.4987344 49.473487, 8.4984953 49.4735873, 8.4982048 49.4737055, 8.4980697 49.4737575, 8.4961432 49.4744933, 8.4960302 49.4745372)",,Gottlieb-Daimler-Straße,,,
"[53573984, 638123367]",False,3,,unclassified,50,,False,278.685,"LINESTRING (8.4992728 49.4732689, 8.4991693 49.473171, 8.4991445 49.4731464, 8.4991096 49.4731107, 8.4990502 49.473053, 8.499001 49.4730009, 8.4989391 49.4729304, 8.4987529 49.472722, 8.4985762 49.4725253, 8.4978461 49.4717417, 8.4975259 49.471462, 8.4971001 49.4712153)",,Fahrlachstraße,,,
"[183972017, 1178199969, 129556185]",False,"['3', '4']",,unclassified,50,14,True,107.568,"LINESTRING (8.4992728 49.4732689, 8.4997965 49.4737821, 8.4998779 49.4738661, 8.5000812 49.4740811)",,Fahrlachstraße,,,
"[175553144, 130540617, 270666283, 175556157]",True,"['1', '2']",,unclassified,50,,False,79.83699999999999,"LINESTRING (8.4921981 49.470422, 8.4919749 49.4704837, 8.4918454 49.4705067, 8.491691 49.4705419, 8.4915608 49.4705803, 8.4913439 49.4706571, 8.4911956 49.4707168)",,"['Schlachthofstraße', 'Fahrlachstraße']",,,
270684568,False,2,,unclassified,50,,True,367.021,"LINESTRING (8.4921981 49.470422, 8.4925067 49.4704167, 8.4927353 49.4704258, 8.4930636 49.4704608, 8.4934136 49.4705182, 8.493581 49.4705457, 8.4936545 49.4705583, 8.4941542 49.4706439, 8.4945176 49.4707062, 8.4949369 49.4707781, 8.495643 49.4708983, 8.4957238 49.4709121, 8.4965365 49.4710505, 8.4968232 49.4711201, 8.4971001 49.4712153)",,Fahrlachstraße,,,
"[151785784, 253489003]",True,"['3', '2']",B 37,primary,50,,False,286.486,"LINESTRING (8.4919482 49.4775134, 8.4920183 49.4774753, 8.4920422 49.4774611, 8.4921906 49.4773654, 8.4923356 49.4772438, 8.4924556 49.4771114, 8.492691 49.4768689, 8.4928105 49.4767619, 8.4928268 49.47675, 8.4929079 49.4766873, 8.4929804 49.4766378, 8.4930627 49.4765901, 8.4931552 49.4765458, 8.4932329 49.4765167, 8.4933995 49.4764585, 8.4935557 49.4764187, 8.4937059 49.4763822, 8.4939249 49.4763565, 8.4941472 49.4763332, 8.4944367 49.4763089, 8.4947156 49.4762874, 8.4949605 49.4762577, 8.4951116 49.4762302)",,Wilhelm-Varnholt-Allee,,,
"[4084041, 253498071]",True,"['1', '2']",,motorway_link,120,,False,127.267,"LINESTRING (8.5134499 49.4692478, 8.5135855 49.4691175, 8.5140018 49.4689464, 8.5143181 49.4688033, 8.514594 49.4686828, 8.5148572 49.4685779)",,,,,
