osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,name,width,tunnel,access,junction
231788517,True,1,motorway_link,80,False,90.463,"LINESTRING (6.7786639 51.4451075, 6.7787775 51.4455196, 6.778853 51.4459122)",,,,,,,
231890756,True,2,motorway_link,80,False,142.026,"LINESTRING (6.7821902 51.4467316, 6.7831028 51.4468814, 6.7834568 51.4469603, 6.784104 51.4471704)",,,,,,,
"[23615769, 39953668]",True,"['1', '2']",motorway_link,,False,758.98,"LINESTRING (6.6973043 51.4355312, 6.6980633 51.4353403, 6.698514 51.4353102, 6.6991684 51.4352717, 6.6995817 51.4352329, 6.6998005 51.4352061, 6.7001095 51.4351473, 6.7004142 51.435075, 6.700912 51.4349145, 6.7013573 51.4347622, 6.7016845 51.4346791, 6.7020516 51.4346201, 6.702184 51.4346035, 6.7024405 51.4345885, 6.7027736 51.4345884, 6.7031951 51.4345988, 6.7066392 51.4348608, 6.707323 51.4349084, 6.7077072 51.4349226, 6.7078204 51.4349307, 6.7079435 51.4349445)",,,,,,,
627397888,True,2,motorway,80,False,448.66700000000003,"LINESTRING (6.6973043 51.4355312, 6.6979628 51.4354849, 6.6993295 51.4354362, 6.6999276 51.4354385, 6.7005099 51.4354459, 6.7010608 51.4354562, 6.7017556 51.4354882, 6.7025153 51.4355308, 6.7030814 51.4355676, 6.7037611 51.4355457)",A 40,,,,,,
"[12196562, 9859899]",True,1,motorway_link,100,False,322.55100000000004,"LINESTRING (6.7474469 51.4349954, 6.7479833 51.4349705, 6.7482154 51.4349327, 6.7484483 51.4348576, 6.7486462 51.4347607, 6.7489362 51.4345561, 6.7490736 51.4344613, 6.7492255 51.4343866, 6.7494532 51.4343255, 6.7496667 51.4343127, 6.7498476 51.4343264, 6.7499909 51.4343648, 6.7501775 51.4344297, 6.7503705 51.4345086, 6.7505473 51.4345612, 6.7506765 51.4345909, 6.7508304 51.4346004, 6.7509017 51.4345981, 6.7510679 51.4345611, 6.7512907 51.4344811, 6.7515197 51.4343735)",L 60,yes,,,,,
38320317,True,3,motorway,100,False,226.01,"LINESTRING (6.7474469 51.4349954, 6.7483473 51.4351185, 6.7490642 51.4352005, 6.7497374 51.4353341, 6.7506198 51.4354545)",A 40,,,,,,
"[23457898, 289084593, 103625203, 289084595, 1190402774, 4469820]",True,"['3', '4']",motorway,none,False,1777.4070000000002,"LINESTRING (6.6988884 51.480078, 6.6978724 51.4802942, 6.6968069 51.4804795, 6.6961345 51.4805613, 6.6955877 51.4806283, 6.6948137 51.48069, 6.6940394 51.4807358, 6.6932541 51.4807694, 6.6924865 51.4807913, 6.691669 51.4808052, 6.6887696 51.4808703, 6.6827057 51.4810064, 6.6775799 51.4810409, 6.6761088 51.4810808, 6.6752768 51.4811033, 6.6747875 51.4811233, 6.6743376 51.4811473, 6.6739442 51.4811772, 6.6733766 51.4812311)",A 42,yes,,,,,
732159381,True,3,motorway,100,False,33.103,"LINESTRING (6.8152544 51.4417494, 6.8147817 51.4417068)",A 40,,,,,,
"[29593434, 29494253]",True,"['1', '2']",motorway_link,,False,235.781,"LINESTRING (6.8152544 51.4417494, 6.8149446 51.4417873, 6.81461 51.4418094, 6.8143889 51.4418562, 6.8141863 51.4419315, 6.8140378 51.4420309, 6.813726 51.4423592, 6.8136027 51.4424889, 6.8134766 51.4425698, 6.8133419 51.4426302, 6.8131557 51.4427037, 6.8125857 51.4428867)",,,,,,,
26978735,False,2,residential,30,False,112.14800000000001,"LINESTRING (6.7999945 51.433291, 6.7999948 51.4333465, 6.8000944 51.4341906, 6.8000576 51.4342948)",,,Wilhelmshöhe,6.5,,,
"[155269529, 231111844]",True,2,secondary,50,False,21.945,"LINESTRING (6.7999945 51.433291, 6.7999162 51.4332922, 6.7998353 51.433295, 6.7996781 51.4332961)",L 78,,Mülheimer Straße,,,,
