osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,tunnel,junction,width,access,service
"[31349076, 4370663]",yes,True,3,A 565,motorway,100,False,1040.2610000000002,"LINESTRING (7.096464 50.7548497, 7.0965509 50.7548892, 7.0968844 50.7550479, 7.0971738 50.7551857, 7.0997444 50.75654, 7.1033398 50.7584505, 7.103794 50.7586736, 7.103913 50.758732, 7.1046313 50.7590474, 7.1052618 50.7592842, 7.1063248 50.7596251, 7.1074262 50.7599086, 7.1085192 50.7601289)",,,,,,
4748776,,False,,,residential,30,False,59.881,"LINESTRING (7.0942317 50.7533995, 7.0935615 50.7530675)",Bataverweg,,,,,
210532947,,False,2,,tertiary,30,False,25.249000000000002,"LINESTRING (7.0942317 50.7533995, 7.0941502 50.7534665, 7.0940043 50.7535751)",Römerstraße,,,,,
"[1215534122, 1215534124]",,False,2,,tertiary,30,True,133.204,"LINESTRING (7.0942317 50.7533995, 7.0944116 50.7532509, 7.0945676 50.7531246, 7.0946027 50.7530962, 7.0946203 50.7530817, 7.0949896 50.752783, 7.0953769 50.7524457)",Römerstraße,,,,,
4748776,,False,,,residential,30,False,18.006,"LINESTRING (7.0935615 50.7530675, 7.0933575 50.7529697)",Bataverweg,,,,,
4748776,,False,,,residential,30,True,59.881,"LINESTRING (7.0935615 50.7530675, 7.0942317 50.7533995)",Bataverweg,,,,,
4748782,,False,,,residential,30,True,211.909,"LINESTRING (7.0935615 50.7530675, 7.094449 50.7523382, 7.0948803 50.7519417, 7.0950768 50.7517304, 7.0952699 50.7515022)",Gallierweg,,,,,
4748782,,False,,,residential,30,True,177.561,"LINESTRING (7.0952699 50.7515022, 7.0964519 50.7500913)",Gallierweg,,,,,
4748783,,False,,,residential,30,False,426.05400000000003,"LINESTRING (7.0952699 50.7515022, 7.0946976 50.7512934, 7.0941983 50.7511093, 7.0938472 50.7509781, 7.0937142 50.7509294, 7.0935977 50.7508593, 7.0935721 50.7507961, 7.0935881 50.7507293, 7.0942287 50.7500506, 7.0943604 50.7499109, 7.0944388 50.7498248, 7.0944874 50.7497867, 7.0945531 50.7497551, 7.0946475 50.749729, 7.0947462 50.7497093, 7.0948337 50.7496958, 7.0949132 50.7496889, 7.0950331 50.7496885, 7.0951705 50.7497025, 7.0952661 50.749715, 7.0953766 50.7497431, 7.0955983 50.7497994, 7.0957701 50.7498582, 7.0959406 50.7499165, 7.0961138 50.7499757, 7.0964519 50.7500913)",Arminiusstraße,,,,,
4748783,,False,,,residential,30,True,57.72,"LINESTRING (7.0952699 50.7515022, 7.0959944 50.7517458)",Arminiusstraße,,,,,
4748782,,False,,,residential,30,False,211.909,"LINESTRING (7.0952699 50.7515022, 7.0950768 50.7517304, 7.0948803 50.7519417, 7.094449 50.7523382, 7.0935615 50.7530675)",Gallierweg,,,,,
4748783,,False,,,residential,30,False,57.72,"LINESTRING (7.0959944 50.7517458, 7.0952699 50.7515022)",Arminiusstraße,,,,,
68748750,,False,2,,tertiary,30,False,89.169,"LINESTRING (7.0959944 50.7517458, 7.0959465 50.7518043, 7.0956914 50.7521072, 7.0955586 50.7522591, 7.0954175 50.7523999, 7.0953769 50.7524457)",Römerstraße,,,,,
68748750,,False,2,,tertiary,30,True,176.99900000000002,"LINESTRING (7.0959944 50.7517458, 7.0961 50.7516269, 7.0961253 50.7515944, 7.0961467 50.7515668, 7.0961725 50.7515355, 7.0962694 50.7514178, 7.0966051 50.7510194, 7.0969845 50.7505621, 7.0970324 50.7505048, 7.0970935 50.750429, 7.0971671 50.7503376)",Römerstraße,,,,,
4365044,,False,2,,tertiary,30,False,2.295,"LINESTRING (7.0910909 50.7554121, 7.091068 50.7554268)",Römerstraße,,,,,
