osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge,junction,width,tunnel,access,service
"[5980313, 240952241, 240952244]",L 357,Westring,primary,50,False,False,194.82300000000004,3,"LINESTRING (7.0513168 51.2101648, 7.0515268 51.2102653, 7.05173 51.2103458, 7.0522126 51.2105143, 7.0526834 51.21063, 7.053086 51.2107084, 7.0533894 51.2107533, 7.05356 51.2107768, 7.0538836 51.2108008)",,,,,,
"[25669976, 27212186, 236629806, 236629807]",,Westring,unclassified,,False,"[False, True]",336.144,2,"LINESTRING (7.0513168 51.2101648, 7.0511933 51.2102334, 7.0511277 51.2102683, 7.0510455 51.2103042, 7.0509843 51.2103221, 7.0509114 51.2103367, 7.0508003 51.2103481, 7.0504668 51.21036, 7.0500372 51.2103626, 7.0499554 51.2103626, 7.0495257 51.2103648, 7.0491036 51.2103729, 7.0487547 51.2103871, 7.0486119 51.210396, 7.0475996 51.2104616, 7.0474376 51.2104731, 7.0472489 51.2104846, 7.0470409 51.2104948, 7.0468513 51.2104989, 7.0465931 51.2105031)",,,,,,
24696860,,Bremkamp,residential,30,False,False,29.009,,"LINESTRING (7.060192 51.2196458, 7.0600562 51.21965, 7.0600338 51.2196558, 7.0597967 51.2197168)",,,,,,
"[45765385, 45765381, 313428390, 313428389]",,Westring,primary,50,False,False,211.442,2,"LINESTRING (7.060192 51.2196458, 7.0601751 51.2194259, 7.0601471 51.2192229, 7.060045 51.2189083, 7.0599455 51.2186615, 7.0597501 51.218277, 7.0595082 51.2179264, 7.0594037 51.2178299)",,,,,,
45765381,,Westring,primary,50,False,True,258.659,2,"LINESTRING (7.060192 51.2196458, 7.0602021 51.2197937, 7.0601881 51.2201197, 7.0601462 51.2204709, 7.0597988 51.2216645, 7.0597559 51.2219498)",,,,,,
5980660,B 224,Gräfrather Straße,primary,50,False,False,19.526,2,"LINESTRING (7.0695729 51.226552, 7.0695313 51.22647, 7.0695162 51.2264484, 7.0694451 51.2263997)",,,,,,
10293460,,Westring,primary,50,False,False,28.92,3,"LINESTRING (7.0695729 51.226552, 7.069678 51.2265306, 7.0698001 51.2265021, 7.0699656 51.2264675)",,,,,,
"[27390688, 240958058]",B 224,Gräfrather Straße,primary,50,False,True,101.529,"['3', '2']","LINESTRING (7.0695729 51.226552, 7.0696229 51.2266619, 7.0696678 51.2267688, 7.0697095 51.2269142, 7.0697252 51.2270157, 7.0697241 51.2270677, 7.0697034 51.2271259, 7.0696778 51.22717, 7.0696493 51.2272036, 7.0696019 51.2272452, 7.0695445 51.227277, 7.0694581 51.2273143, 7.0693523 51.2273538)",,,,,,
"[256872273, 240957389]",,Westring,primary,50,False,True,277.445,"['3', '2']","LINESTRING (7.0695729 51.226552, 7.0693575 51.2266054, 7.0691106 51.2266556, 7.0687684 51.2266897, 7.0686354 51.226692, 7.0683532 51.2266845, 7.0681453 51.2266798, 7.0679413 51.2266633, 7.0677279 51.2266258, 7.067496 51.2265777, 7.0673261 51.2265306, 7.0668259 51.2263548, 7.0661147 51.2260758, 7.066065 51.2260531, 7.0659075 51.2259852)",,,,,,
7919914,,,motorway_link,120,True,False,371.0130000000001,1,"LINESTRING (7.2375018 51.2258949, 7.2372454 51.2261107, 7.2370311 51.2262509, 7.2368665 51.226397, 7.2367692 51.2265062, 7.2366868 51.2266209, 7.2366046 51.2267782, 7.2365466 51.2269251, 7.2365226 51.2270717, 7.2365178 51.2272098, 7.2365289 51.227313, 7.2365547 51.22743, 7.2366097 51.2276087, 7.2366478 51.2277625, 7.2366482 51.2278638, 7.2366263 51.227938, 7.236573 51.2280398, 7.2365149 51.2281182, 7.236426 51.2281932, 7.236312 51.2282582, 7.2361793 51.2283152, 7.2360344 51.2283553, 7.2358666 51.2283863, 7.2356721 51.2284133, 7.2352206 51.2284673)",,,,,,
