osmid,oneway,lanes,ref,highway,reversed,length,bridge,maxspeed,access,geometry,junction,name
6179692,False,3,CG-1a,secondary,False,9.535,,,,"LINESTRING (1.5007425 42.4939108, 1.5008543 42.4938872)",,
6179270,True,,CG-1a,secondary,False,26.367,yes,50,yes,"LINESTRING (1.5007425 42.4939108, 1.5007055 42.4939394, 1.5005207 42.4940825)",,
6179692,False,3,CG-1a,secondary,True,9.535,,,,"LINESTRING (1.5008543 42.4938872, 1.5007425 42.4939108)",,
181919651,False,3,CG-1,primary,False,277.712,,,,"LINESTRING (1.5008543 42.4938872, 1.5010778 42.4939961, 1.5013379 42.4941202, 1.5014249 42.4941617, 1.5020514 42.4944085, 1.5029269 42.4948009, 1.5035286 42.4950557, 1.5037701 42.49508, 1.5038032 42.4950833)",,
23878463,False,,CG-1a,secondary,False,110.44800000000001,,,,"LINESTRING (1.5005207 42.4940825, 1.5004858 42.4940957, 1.5004606 42.4941052, 1.5004274 42.4941118, 1.5003768 42.4941219, 1.500262 42.4941093, 1.4999672 42.4941122, 1.4998586 42.4941227, 1.4995861 42.4941545, 1.499194 42.4941977)",,
23878462,True,2,CG-1a,secondary,False,45.0,,30,,"LINESTRING (1.4982477 42.4946155, 1.4983268 42.4944607, 1.4983713 42.4944131, 1.498408 42.4943889, 1.4984403 42.4943732, 1.4984777 42.4943645, 1.4985152 42.4943601, 1.498596 42.4943642)",roundabout,
176490620,True,1,CG-1a,secondary,False,60.29600000000001,,50,yes,"LINESTRING (1.4982477 42.4946155, 1.4982836 42.4944796, 1.4983122 42.494371, 1.4983412 42.4942827, 1.4984227 42.4940895)",,
23878462,True,2,CG-1a,secondary,False,47.475,,30,,"LINESTRING (1.4981833 42.4950385, 1.4981785 42.4949673, 1.4981868 42.4948929, 1.4981956 42.4948526, 1.4982477 42.4946155)",roundabout,
25769974,False,,,residential,False,257.34,,,,"LINESTRING (1.4981833 42.4950385, 1.4980787 42.4950144, 1.4979607 42.4949873, 1.4977343 42.4950391, 1.497598 42.4951424, 1.4974913 42.4953301, 1.4974387 42.4954529, 1.4972699 42.4955682, 1.4971676 42.4956119, 1.4968938 42.4955998, 1.4967651 42.4955268, 1.4967387 42.4954149, 1.496841 42.4951863, 1.4970818 42.4949382, 1.4973194 42.4947557)",,Carrer de la Tartera
23878462,True,2,CG-1a,secondary,False,8.647,,30,,"LINESTRING (1.4983059 42.4952062, 1.4982929 42.4951931, 1.4982437 42.4951434)",roundabout,
25770088,False,,,residential,True,98.47699999999999,,,,"LINESTRING (1.4983059 42.4952062, 1.4982871 42.4952605, 1.4982845 42.4952924, 1.4982959 42.4953551, 1.4983036 42.4954272, 1.4983177 42.495503, 1.4983592 42.4955872, 1.498427 42.495663, 1.4985278 42.4957463, 1.4985948 42.4958007, 1.498635 42.4958466, 1.4986518 42.4958886, 1.4986661 42.4959511, 1.4986903 42.4960065)",,Cami Ral
23878462,True,2,CG-1a,secondary,False,6.772,,30,,"LINESTRING (1.4983671 42.4952471, 1.4983059 42.4952062)",roundabout,
6185032,False,2,,residential,False,144.679,,,,"LINESTRING (1.5025583 42.4973074, 1.5026335 42.4973151, 1.5026989 42.4973125, 1.5027745 42.4972723, 1.5034774 42.4964771, 1.5036108 42.4963276)",,Carrer Prat Salit
444542966,False,2,,secondary,True,381.69300000000004,,30,,"LINESTRING (1.5025583 42.4973074, 1.5027391 42.4973932, 1.5027579 42.4974023, 1.5030663 42.4975518, 1.5031175 42.4975766, 1.5032381 42.497635, 1.5037521 42.4978901, 1.5037754 42.4979016, 1.5050556 42.4985164, 1.5052013 42.4985863, 1.5052511 42.4986104, 1.505314 42.4986409, 1.5054023 42.4986843, 1.5054817 42.4987226, 1.5057866 42.498873, 1.506071 42.4990078, 1.5061571 42.4990495, 1.50645 42.4991914)",,Avinguda de Santa Coloma
1175440106,False,3,,secondary,False,11.498000000000001,,30,,"LINESTRING (1.5025583 42.4973074, 1.5025194 42.4972879, 1.5024788 42.4972676, 1.5024423 42.4972493)",,Avinguda de Santa Coloma
6185060,False,,,residential,True,201.867,,,,"LINESTRING (1.5080067 42.4999458, 1.5080313 42.4999111, 1.5080652 42.4998632, 1.5086715 42.4990066, 1.5091216 42.4983273)",,
444542966,False,2,,secondary,False,139.30899999999997,,30,,"LINESTRING (1.5080067 42.4999458, 1.5076788 42.4997869, 1.5070183 42.4994669, 1.5067173 42.499321, 1.5066353 42.4992812, 1.5065867 42.4992577)",,Avinguda de Santa Coloma
444542966,False,2,,secondary,True,24.331000000000003,,30,,"LINESTRING (1.5080067 42.4999458, 1.5080788 42.4999807, 1.5082547 42.500066)",,Avinguda de Santa Coloma
6185060,False,,,residential,False,201.86700000000002,,,,"LINESTRING (1.5091216 42.4983273, 1.5086715 42.4990066, 1.5080652 42.4998632, 1.5080313 42.4999111, 1.5080067 42.4999458)",,
444542966,False,2,,secondary,False,20.274,,30,,"LINESTRING (1.5084614 42.5001661, 1.5082547 42.500066)",,Avinguda de Santa Coloma
23878462,True,2,CG-1a,secondary,False,74.811,,30,,"LINESTRING (1.4989198 42.4945389, 1.4988361 42.4948397, 1.4987841 42.4950322, 1.4987617 42.4951028, 1.4987349 42.4951529, 1.4987041 42.4951895)",roundabout,
23878462,True,2,CG-1a,secondary,False,5.538,,30,,"LINESTRING (1.498596 42.4943642, 1.4986634 42.4943675)",roundabout,
6185336,True,,CG-1a,secondary,False,47.903999999999996,,,,"LINESTRING (1.4986634 42.4943675, 1.4987445 42.4943556, 1.4988004 42.4943297, 1.4988281 42.4943175, 1.498969 42.4942556, 1.4990348 42.4942321, 1.4991071 42.4942127, 1.499194 42.4941977)",,
23878462,True,2,CG-1a,secondary,False,31.174,,30,,"LINESTRING (1.4986634 42.4943675, 1.4987485 42.4943845, 1.4988105 42.4944058, 1.4988203 42.4944092, 1.4988561 42.4944278, 1.4988874 42.4944583, 1.4989168 42.4944965, 1.4989198 42.4945389)",roundabout,
23878463,False,,CG-1a,secondary,True,110.44800000000001,,,,"LINESTRING (1.499194 42.4941977, 1.4995861 42.4941545, 1.4998586 42.4941227, 1.4999672 42.4941122, 1.500262 42.4941093, 1.5003768 42.4941219, 1.5004274 42.4941118, 1.5004606 42.4941052, 1.5004858 42.4940957, 1.5005207 42.4940825)",,
113717722,True,,CG-1a,secondary,False,47.204,,,,"LINESTRING (1.499194 42.4941977, 1.4991074 42.4942257, 1.499053 42.4942537, 1.4990068 42.4942989, 1.4989672 42.4943723, 1.4989525 42.4944208, 1.4989346 42.494477, 1.4989198 42.4945389)",,
308685890,False,,,residential,False,92.919,,,,"LINESTRING (1.5011845 42.4971303, 1.502126 42.4975955)",,
6185353,False,,,residential,True,115.64099999999999,,,,"LINESTRING (1.5011845 42.4971303, 1.5012462 42.4972431, 1.5012952 42.4973362, 1.5013009 42.4973471, 1.5013489 42.497481, 1.5013748 42.4976245, 1.5013969 42.497734, 1.5014274 42.4978185, 1.5014598 42.4979059, 1.5014866 42.4980007, 1.5015019 42.4981382)",,
25769803,False,,,residential,False,108.387,,,,"LINESTRING (1.5011845 42.4971303, 1.5011055 42.4971805, 1.5008513 42.4972777, 1.5007496 42.497282, 1.5006809 42.4972987, 1.5006386 42.4973748, 1.5006285 42.4974709, 1.5006237 42.4975159, 1.5006231 42.4978504)",,Carrer Mossèn Lluis Pujol
25769803,False,,,residential,True,47.102,,,,"LINESTRING (1.5011845 42.4971303, 1.5010055 42.4968073, 1.5009943 42.4967707, 1.5009874 42.4967339)",,Carrer Mossèn Lluis Pujol
308685890,False,,,residential,True,92.919,,,,"LINESTRING (1.502126 42.4975955, 1.5011845 42.4971303)",,
