osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,ref
305483837,Avenida José Maurício de Vasconcelos,primary,40,False,False,114.487,"LINESTRING (-41.4696797 -19.1695213, -41.4704439 -19.1702555)",,,
305483840,Avenida José Maurício de Vasconcelos,primary,40,True,False,33.665,"LINESTRING (-41.4696797 -19.1695213, -41.4694113 -19.1693558)",,,
305484465,Avenida João Siqueira,secondary,40,True,False,112.70400000000001,"LINESTRING (-41.4734868 -19.171236, -41.4734416 -19.1713181, -41.4733364 -19.1713922, -41.472636 -19.1718368)",,,
"[300594264, 305484466, 300594260]",Avenida João Siquerira,secondary,,False,False,73.71300000000001,"LINESTRING (-41.4734868 -19.171236, -41.4736379 -19.171145, -41.4738828 -19.1710069, -41.4740898 -19.1708971)",yes,,
300594260,Avenida João Siquerira,secondary,,False,False,11.21,"LINESTRING (-41.4754955 -19.1701185, -41.4755743 -19.1700505)",,,
300594260,Avenida João Siquerira,secondary,,False,True,114.301,"LINESTRING (-41.4754955 -19.1701185, -41.4745603 -19.1706442)",,,
310740955,Rua Antônio Aprigio,residential,,True,False,141.60000000000002,"LINESTRING (-41.4754955 -19.1701185, -41.4754111 -19.1703402, -41.4753266 -19.1705099, -41.4751495 -19.1707278, -41.4748666 -19.1710014, -41.4747338 -19.1711483)",,,
329323782,Rua Antônio Aprígio,secondary,,False,True,89.93,"LINESTRING (-41.4761943 -19.1694927, -41.4755743 -19.1700505)",,,
332120706,Rua Walter Barreiros,residential,,False,True,73.593,"LINESTRING (-41.4761943 -19.1694927, -41.4764772 -19.1688872)",,,
835254852,,residential,,False,False,11.982,"LINESTRING (-41.4673198 -19.1685058, -41.4673397 -19.1683997)",,,
305483841,Rua Nilo de Morais Pinheiro,residential,40,False,False,31.756999999999998,"LINESTRING (-41.4673198 -19.1685058, -41.4673632 -19.1685651, -41.4673921 -19.1686, -41.4675005 -19.1687347)",,,
305483836,Avenida José Maurício de Vasconcelos,primary,40,True,False,101.428,"LINESTRING (-41.4683924 -19.1689201, -41.4674983 -19.1685754)",,,
310669201,,residential,,False,True,9.52,"LINESTRING (-41.4683924 -19.1689201, -41.4684255 -19.1688404)",,,
310669202,Rua J. Carlos Magno,residential,,False,False,48.289,"LINESTRING (-41.4683924 -19.1689201, -41.4682039 -19.1693162)",,,
305484776,Rua José Bichara,residential,40,False,False,115.422,"LINESTRING (-41.4694113 -19.1693558, -41.4689362 -19.1702918)",,,
305484823,,residential,30,False,True,6.797,"LINESTRING (-41.4694113 -19.1693558, -41.4694428 -19.1693024)",,,
305483836,Avenida José Maurício de Vasconcelos,primary,40,True,False,117.502,"LINESTRING (-41.4694113 -19.1693558, -41.4687757 -19.1690709, -41.4683924 -19.1689201)",,,
305484771,Avenida José Maurício de Vasconcelos,primary,40,True,False,118.555,"LINESTRING (-41.4684255 -19.1688404, -41.4694428 -19.1693024)",,,
310669201,,residential,,False,False,9.52,"LINESTRING (-41.4684255 -19.1688404, -41.4683924 -19.1689201)",,,
305483839,Avenida José Maurício de Vasconcelos,primary,40,True,False,34.807,"LINESTRING (-41.4694428 -19.1693024, -41.4696797 -19.1695213)",,,
305484823,,residential,30,False,False,6.797,"LINESTRING (-41.4694428 -19.1693024, -41.4694113 -19.1693558)",,,
305484775,Rua Nilo de Morais Pinheiro,residential,40,False,False,58.603,"LINESTRING (-41.4681067 -19.1695421, -41.4684942 -19.1699213)",,,
310669202,Rua J. Carlos Magno,residential,,False,True,27.114,"LINESTRING (-41.4681067 -19.1695421, -41.4682039 -19.1693162)",,,
305483841,Rua Nilo de Morais Pinheiro,residential,40,False,True,58.367999999999995,"LINESTRING (-41.4681067 -19.1695421, -41.4680222 -19.1694667, -41.467717 -19.169168)",,,
390183317,Rua Maria Francisca de Jesus,residential,,False,False,104.878,"LINESTRING (-41.4703106 -19.1714644, -41.4709859 -19.1707696)",,,
305484463,Rua Agenor de Andrade,residential,40,False,False,181.367,"LINESTRING (-41.4703106 -19.1714644, -41.4708006 -19.1718506, -41.4709318 -19.1719375, -41.4711101 -19.1720046, -41.4713244 -19.1720549, -41.4717895 -19.1720918, -41.4718383 -19.1720953)",,,
"[305484775, 305484463]","['Rua Nilo de Morais Pinheiro', 'Rua Agenor de Andrade']",residential,40,False,True,121.437,"LINESTRING (-41.4703106 -19.1714644, -41.469758 -19.1709972, -41.4694493 -19.1707358)",,,
305483837,Avenida José Maurício de Vasconcelos,primary,40,False,True,165.227,"LINESTRING (-41.4719711 -19.1719246, -41.4719507 -19.1718759, -41.4713199 -19.1711332, -41.4709859 -19.1707696)",,,
305484462,,secondary,40,True,False,16.65,"LINESTRING (-41.4719711 -19.1719246, -41.4720239 -19.1719266, -41.4720729 -19.1719452, -41.4721125 -19.1719783)",,roundabout,
305484462,,secondary,40,True,False,20.981,"LINESTRING (-41.4719748 -19.172216, -41.4719266 -19.1722035, -41.4718852 -19.1721772, -41.4718547 -19.1721399, -41.4718383 -19.1720953)",,roundabout,
309402001,Rua Olinto Henrique,tertiary,,False,False,85.041,"LINESTRING (-41.4719748 -19.172216, -41.47195 -19.1722482, -41.4714279 -19.1727796)",,,LMG-788
305484462,,secondary,40,True,False,12.038,"LINESTRING (-41.4721125 -19.1719783, -41.472138 -19.1720219, -41.4721447 -19.17208)",,roundabout,
305484467,Rua João Luis da Silva,secondary,40,False,False,52.722,"LINESTRING (-41.4721125 -19.1719783, -41.4721516 -19.1719565, -41.4725448 -19.1717373)",,,
305484462,,secondary,40,True,False,26.113999999999997,"LINESTRING (-41.4721447 -19.17208, -41.4721373 -19.1721202, -41.4721111 -19.1721635, -41.472071 -19.172196, -41.4720246 -19.1722134, -41.4719748 -19.172216)",,roundabout,
310740956,Rua Dezessete de Dezembro,tertiary,,True,False,122.18599999999999,"LINESTRING (-41.4721447 -19.17208, -41.4722303 -19.1721961, -41.4727966 -19.1729901)",,,
305484462,,secondary,40,True,False,26.208,"LINESTRING (-41.4718383 -19.1720953, -41.4718377 -19.1720482, -41.471853 -19.1720033, -41.4718825 -19.1719653, -41.4719233 -19.1719381, -41.4719711 -19.1719246)",,roundabout,
305484463,Rua Agenor de Andrade,residential,40,False,True,181.36700000000002,"LINESTRING (-41.4718383 -19.1720953, -41.4717895 -19.1720918, -41.4713244 -19.1720549, -41.4711101 -19.1720046, -41.4709318 -19.1719375, -41.4708006 -19.1718506, -41.4703106 -19.1714644)",,,
305484468,Rua Moacir de Albuquerque,secondary,40,True,False,14.634,"LINESTRING (-41.472636 -19.1718368, -41.4725448 -19.1717373)",,,
305484467,Rua João Luis da Silva,secondary,40,False,True,52.722,"LINESTRING (-41.4725448 -19.1717373, -41.4721516 -19.1719565, -41.4721125 -19.1719783)",,,
309402000,Avenida João Siquerira,secondary,40,True,False,115.809,"LINESTRING (-41.4725448 -19.1717373, -41.4732385 -19.1713023, -41.4733585 -19.1712313, -41.4734868 -19.171236)",,,
305484775,Rua Nilo de Morais Pinheiro,residential,40,False,False,13.924,"LINESTRING (-41.4689362 -19.1702918, -41.4690363 -19.1703739)",,,
305484775,Rua Nilo de Morais Pinheiro,residential,40,False,True,62.067,"LINESTRING (-41.4689362 -19.1702918, -41.4684942 -19.1699213)",,,
305484776,Rua José Bichara,residential,40,False,True,115.422,"LINESTRING (-41.4689362 -19.1702918, -41.4694113 -19.1693558)",,,
318844914,Rua Olinto Henriques,residential,,False,False,74.791,"LINESTRING (-41.4714279 -19.1727796, -41.4710357 -19.173341)",,,
309402001,Rua Olinto Henrique,tertiary,,False,True,85.041,"LINESTRING (-41.4714279 -19.1727796, -41.47195 -19.1722482, -41.4719748 -19.172216)",,,LMG-788
310740953,Avenida Getúlio Vargas,residential,,False,False,266.716,"LINESTRING (-41.4714279 -19.1727796, -41.4704101 -19.1719407, -41.4701164 -19.1717076, -41.4696269 -19.1713472, -41.4695477 -19.171313, -41.4694525 -19.171294)",,,
305483836,Avenida José Maurício de Vasconcelos,primary,40,True,False,20.282,"LINESTRING (-41.4674983 -19.1685754, -41.4673198 -19.1685058)",,,
310669200,,residential,,False,False,12.465,"LINESTRING (-41.4674983 -19.1685754, -41.4674991 -19.1684633)",,,
310669199,,residential,,False,False,17.750999999999998,"LINESTRING (-41.4674983 -19.1685754, -41.4674945 -19.168606, -41.4675005 -19.1687347)",,,
305483841,Rua Nilo de Morais Pinheiro,residential,40,False,False,13.995,"LINESTRING (-41.4675005 -19.1687347, -41.4675572 -19.1688486)",,,
305483841,Rua Nilo de Morais Pinheiro,residential,40,False,True,31.756999999999998,"LINESTRING (-41.4675005 -19.1687347, -41.4673921 -19.1686, -41.4673632 -19.1685651, -41.4673198 -19.1685058)",,,
310669199,,residential,,False,True,17.750999999999998,"LINESTRING (-41.4675005 -19.1687347, -41.4674945 -19.168606, -41.4674983 -19.1685754)",,,
305484771,Avenida José Maurício de Vasconcelos,primary,40,True,False,105.951,"LINESTRING (-41.4674991 -19.1684633, -41.4684255 -19.1688404)",,,
310669200,,residential,,False,True,12.465,"LINESTRING (-41.4674991 -19.1684633, -41.4674983 -19.1685754)",,,
310740954,Rua Doutor Lívio de Freitas Silva,residential,,False,False,218.41,"LINESTRING (-41.4702009 -19.1730345, -41.4702478 -19.1727305, -41.4702518 -19.1725468, -41.4702331 -19.1724328, -41.4701808 -19.1723289, -41.4699219 -19.171978, -41.4696148 -19.1715347, -41.4694525 -19.171294)",,,
321157441,Rua Levina Gonçalves Muniz,residential,,False,False,178.678,"LINESTRING (-41.4702009 -19.1730345, -41.4701942 -19.1736248, -41.4701995 -19.1738262, -41.4702331 -19.174058, -41.4703082 -19.1743101, -41.4704114 -19.1746141)",,,
321157441,Rua Levina Gonçalves Muniz,residential,,False,True,282.196,"LINESTRING (-41.4702009 -19.1730345, -41.4698831 -19.1727309, -41.4696725 -19.1725785, -41.4694539 -19.1724532, -41.4690207 -19.1722719, -41.4680631 -19.1719565, -41.4679371 -19.1718944, -41.4678727 -19.1718438)",,,
310740953,Avenida Getúlio Vargas,residential,,False,True,266.716,"LINESTRING (-41.4694525 -19.171294, -41.4695477 -19.171313, -41.4696269 -19.1713472, -41.4701164 -19.1717076, -41.4704101 -19.1719407, -41.4714279 -19.1727796)",,,
