osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,bridge,junction,lanes
392516421,False,MG-040,Rua Presidente Vargas,tertiary,False,93.128,"LINESTRING (-44.201215 -20.1427925, -44.2012078 -20.1433508, -44.2011904 -20.1436295)",,,,
"[392516421, 392531702]",False,MG-040,Rua Presidente Vargas,tertiary,True,88.328,"LINESTRING (-44.201215 -20.1427925, -44.2012111 -20.1426842, -44.2011211 -20.1421401, -44.2011036 -20.142055, -44.2010921 -20.1420075)",,,,
392516421,False,MG-040,Rua Presidente Vargas,tertiary,False,18.386,"LINESTRING (-44.2011585 -20.144168, -44.2011626 -20.1443333)",,,,
392531709,True,,Rua Agostinho Antônio de Paula,residential,False,82.384,"LINESTRING (-44.2011585 -20.144168, -44.2003705 -20.1441276)",,,,
392516421,False,MG-040,Rua Presidente Vargas,tertiary,True,59.971,"LINESTRING (-44.2011585 -20.144168, -44.2011676 -20.1439919, -44.2011904 -20.1436295)",,,,
534607855,True,MG-040,Rua Presidente Vargas,tertiary,False,169.457,"LINESTRING (-44.200745 -20.1454882, -44.1998972 -20.1467878)",,,,
888066540,False,,Rua Tocantins,tertiary,True,68.942,"LINESTRING (-44.200745 -20.1454882, -44.2001809 -20.1451658)",,,,
229298082,False,,Rua República da Bolívia,residential,True,206.082,"LINESTRING (-44.2014949 -20.1392806, -44.2030543 -20.140417)",,,,
392531700,False,MG-040,Rua Padre Eustáquio,secondary,True,72.093,"LINESTRING (-44.2014949 -20.1392806, -44.2010711 -20.1397925)",,,,
229298088,False,,Rua República da Argentina,residential,False,23.131,"LINESTRING (-44.2030261 -20.1395748, -44.2028539 -20.1394439)",,,,
229298088,False,,Rua República da Argentina,residential,True,108.872,"LINESTRING (-44.2030261 -20.1395748, -44.2038479 -20.1401776)",,,,
229298097,False,,Rua Coronel Alberto Cambraia,residential,False,73.349,"LINESTRING (-44.2006006 -20.1395462, -44.2007495 -20.1400626, -44.200792 -20.1401807)",,,,
392531700,False,MG-040,Rua Padre Eustáquio,secondary,False,72.093,"LINESTRING (-44.2010711 -20.1397925, -44.2014949 -20.1392806)",,,,
229298073,False,,Rua República do Chile,residential,True,226.66899999999998,"LINESTRING (-44.2010711 -20.1397925, -44.2013824 -20.1400288, -44.2016934 -20.1402649, -44.201843 -20.1402922, -44.2030543 -20.140417)",,,,
"[392531697, 392531700]",False,MG-040,Rua Padre Eustáquio,secondary,"[False, True]",52.487,"LINESTRING (-44.2010711 -20.1397925, -44.2009602 -20.1399173, -44.2008199 -20.1401043, -44.200792 -20.1401807)",,,,
229298088,False,,Rua República da Argentina,residential,False,108.872,"LINESTRING (-44.2038479 -20.1401776, -44.2030261 -20.1395748)",,,,
229298073,False,,Rua República do Chile,residential,False,89.77100000000002,"LINESTRING (-44.2038479 -20.1401776, -44.203781 -20.140234, -44.2036182 -20.1403348, -44.2033257 -20.1404108, -44.2030543 -20.140417)",,,,
229298082,False,,Rua República da Bolívia,residential,False,206.082,"LINESTRING (-44.2030543 -20.140417, -44.2014949 -20.1392806)",,,,
229298073,False,,Rua República do Chile,residential,False,226.669,"LINESTRING (-44.2030543 -20.140417, -44.201843 -20.1402922, -44.2016934 -20.1402649, -44.2013824 -20.1400288, -44.2010711 -20.1397925)",,,,
229298073,False,,Rua República do Chile,residential,True,89.77100000000002,"LINESTRING (-44.2030543 -20.140417, -44.2033257 -20.1404108, -44.2036182 -20.1403348, -44.203781 -20.140234, -44.2038479 -20.1401776)",,,,
229331534,False,MG-040,Rua Presidente Vargas,secondary,False,25.931,"LINESTRING (-44.201034 -20.1416193, -44.2010717 -20.1418498)",,,,
392531701,False,MG-040,Rua Presidente Vargas,secondary,True,36.2,"LINESTRING (-44.201034 -20.1416193, -44.2009708 -20.1412992)",,,,
392531703,False,BMO-010,Rua Quintino Bocaiúva,secondary,False,91.767,"LINESTRING (-44.2016321 -20.1418003, -44.2024878 -20.1416114)",,,,
392531703,False,BMO-010,Rua Quintino Bocaiúva,secondary,True,10.296,"LINESTRING (-44.2016321 -20.1418003, -44.2015369 -20.1418245)",,,,
229298102,True,,Avenida Vigilato Rodrigues Braga,tertiary,False,96.316,"LINESTRING (-44.2016321 -20.1418003, -44.2016462 -20.1418462, -44.2016754 -20.1419004, -44.2017061 -20.1419716, -44.2017559 -20.1421577, -44.2017881 -20.1422845, -44.2018002 -20.14235, -44.2018102 -20.1425043, -44.2018149 -20.1425823, -44.2018081 -20.1426414)",30,,,
392531703,False,BMO-010,Rua Quintino Bocaiúva,secondary,False,10.296,"LINESTRING (-44.2015369 -20.1418245, -44.2016321 -20.1418003)",,,,
462233821,False,BMO-010,Rua Quintino Bocaiúva,secondary,True,40.993,"LINESTRING (-44.2015369 -20.1418245, -44.201152 -20.1418975)",,,,
229298074,True,,,tertiary,False,12.465,"LINESTRING (-44.2016616 -20.1443346, -44.2016937 -20.1443567, -44.2017085 -20.1443914, -44.2017017 -20.1444282)",,,,
229298099,True,,Avenida Vigilato Rodrigues Braga,tertiary,False,35.346,"LINESTRING (-44.201592 -20.1443446, -44.2015845 -20.1440268)",30,,,
229298074,True,,,tertiary,False,7.59,"LINESTRING (-44.201592 -20.1443446, -44.2016254 -20.1443312, -44.2016616 -20.1443346)",,,,
392516425,False,,Rua José da Silva Fernandes,tertiary,False,42.431,"LINESTRING (-44.201564 -20.1443933, -44.2011626 -20.1443333)",,,,
392531717,True,,,tertiary,False,6.48,"LINESTRING (-44.201564 -20.1443933, -44.2015694 -20.1443647, -44.201592 -20.1443446)",,,,
229298074,True,,,tertiary,False,4.425,"LINESTRING (-44.2017017 -20.1444282, -44.2016729 -20.1444574)",,,,
229298103,False,,Rua José da Silva Fernandes,residential,True,26.598,"LINESTRING (-44.2017017 -20.1444282, -44.2017525 -20.1444718, -44.2017954 -20.1444881, -44.2018426 -20.1444977, -44.201932 -20.1444799)",,,,
229298074,True,,,tertiary,False,7.571,"LINESTRING (-44.2015931 -20.1444533, -44.2015703 -20.1444268, -44.201564 -20.1443933)",,,,
229298074,True,,,tertiary,False,8.710999999999999,"LINESTRING (-44.2016729 -20.1444574, -44.2016324 -20.1444666, -44.2015931 -20.1444533)",,,,
462233824,True,,Avenida Vigilato Rodrigues Braga,tertiary,False,114.787,"LINESTRING (-44.2016729 -20.1444574, -44.2017019 -20.1445454, -44.2016965 -20.1448279, -44.2016514 -20.1451269, -44.2015497 -20.1454695)",30,,,
229320024,False,,Rua Lysio Pacífico Homem de Andrade,residential,False,39.151,"LINESTRING (-44.2029822 -20.1460789, -44.2033304 -20.1459481)",,,,
229298103,False,,Rua José da Silva Fernandes,residential,False,211.20799999999997,"LINESTRING (-44.2029822 -20.1460789, -44.2029099 -20.1459909, -44.2023775 -20.1453138, -44.2023104 -20.1452024, -44.2022678 -20.1451136, -44.2022359 -20.1450248, -44.2021589 -20.144762, -44.202112 -20.1446797, -44.2020309 -20.144593, -44.201932 -20.1444799)",,,,
229320024,False,,Rua Lysio Pacífico Homem de Andrade,residential,True,162.409,"LINESTRING (-44.2029822 -20.1460789, -44.2029512 -20.146143, -44.2029385 -20.1461807, -44.2028949 -20.1463216, -44.2029084 -20.1465016, -44.2033539 -20.1474357)",,,,
229298068,False,MG-040,Rua Presidente Vargas,tertiary,False,24.939,"LINESTRING (-44.1994693 -20.1474566, -44.1995829 -20.1472593)",40,,,
229320106,False,,Rua Aníbal Coelho,residential,False,45.278,"LINESTRING (-44.1994693 -20.1474566, -44.1997074 -20.1475826, -44.199828 -20.1476819)",,,,
392531703,False,BMO-010,Rua Quintino Bocaiúva,secondary,False,93.225,"LINESTRING (-44.2036025 -20.1414643, -44.204018 -20.1414457, -44.204493 -20.141487)",,,,
392531703,False,BMO-010,Rua Quintino Bocaiúva,secondary,True,117.51499999999999,"LINESTRING (-44.2036025 -20.1414643, -44.2027944 -20.1415735, -44.2024878 -20.1416114)",,,,
229320047,False,,Rua Presidente Kenedy,residential,True,5.63,"LINESTRING (-44.204493 -20.141487, -44.2044868 -20.1415373)",,,,
392531703,False,BMO-010,Rua Quintino Bocaiúva,secondary,True,93.225,"LINESTRING (-44.204493 -20.141487, -44.204018 -20.1414457, -44.2036025 -20.1414643)",,,,
229320058,True,,Rua Governador Valadares,residential,False,65.873,"LINESTRING (-44.2024878 -20.1416114, -44.2026638 -20.1421803)",,,,
392531703,False,BMO-010,Rua Quintino Bocaiúva,secondary,True,91.767,"LINESTRING (-44.2024878 -20.1416114, -44.2016321 -20.1418003)",,,,
392531703,False,BMO-010,Rua Quintino Bocaiúva,secondary,False,117.51499999999999,"LINESTRING (-44.2024878 -20.1416114, -44.2027944 -20.1415735, -44.2036025 -20.1414643)",,,,
495525780,False,,Rua Governador Valadares,residential,False,8.195,"LINESTRING (-44.2026638 -20.1421803, -44.2026856 -20.1422511)",,,,
495525781,True,,Rua Eurico de Oliveira Porto,residential,False,99.883,"LINESTRING (-44.2026638 -20.1421803, -44.2028293 -20.1421386, -44.202966 -20.1421424, -44.2031631 -20.1421914, -44.2032234 -20.1422179, -44.203336 -20.1422858, -44.2034955 -20.1424596)",,,,
229319998,False,,Rua Maestro Geraldo Cordeiro,residential,False,131.62900000000002,"LINESTRING (-44.2034955 -20.1424596, -44.2036456 -20.1428635, -44.2038587 -20.1431051, -44.2039995 -20.1432334, -44.2042099 -20.1433995)",,,,
435487127,False,,Rua Eurico de Oliveira Porto,residential,True,42.787,"LINESTRING (-44.2034955 -20.1424596, -44.2036256 -20.1424797, -44.2037448 -20.1424797, -44.2039003 -20.1424494)",,,,
229320012,True,,Rua Tarcísio Gomes da Costa,residential,False,113.865,"LINESTRING (-44.2039003 -20.1424494, -44.2036025 -20.1414643)",,,,
435487127,False,,Rua Eurico de Oliveira Porto,residential,False,42.787000000000006,"LINESTRING (-44.2039003 -20.1424494, -44.2037448 -20.1424797, -44.2036256 -20.1424797, -44.2034955 -20.1424596)",,,,
435487127,False,,Rua Eurico de Oliveira Porto,residential,True,122.808,"LINESTRING (-44.2039003 -20.1424494, -44.2039693 -20.1423872, -44.2040276 -20.1422934, -44.204088 -20.1421801, -44.2041644 -20.1419611, -44.2042086 -20.1417762, -44.2043131 -20.1416478, -44.2043823 -20.1415931, -44.2044868 -20.1415373)",,,,
229320031,True,,Rua Barão do Rio Branco,residential,False,63.396,"LINESTRING (-44.1999402 -20.1424438, -44.2000455 -20.1430053)",,,,
"[392516429, 495962213]",False,,"['Rua Quintino Bocaiúva', 'Rua Barão do Rio Branco']",residential,False,53.019999999999996,"LINESTRING (-44.1999402 -20.1424438, -44.1998803 -20.1421977, -44.1998937 -20.1421651, -44.1999199 -20.1421469, -44.2000857 -20.1421153)",,,,
229320028,True,,Rua Doutor José Vitor de Freitas,residential,False,108.16,"LINESTRING (-44.1989221 -20.1426239, -44.1998259 -20.1424673, -44.1999402 -20.1424438)",,,,
229320015,False,,Rua José Santana Andrade,residential,False,173.501,"LINESTRING (-44.1982879 -20.1428852, -44.1966422 -20.1431031)",,,,
