osmid,highway,oneway,reversed,length,lanes,name,geometry,junction,ref,maxspeed
217328169,residential,False,False,143.289,,,"LINESTRING (-41.7702045 -13.1534152, -41.770453 -13.1521495)",,,
235334429,tertiary,False,False,45.731,2,Avenida Castro Alves,"LINESTRING (-41.7702045 -13.1534152, -41.7706057 -13.1535437)",,,
217328169,residential,False,True,143.289,,,"LINESTRING (-41.770453 -13.1521495, -41.7702045 -13.1534152)",,,
394735741,tertiary,False,True,50.623,2,Rua Thiago Fernandes,"LINESTRING (-41.770453 -13.1521495, -41.7709013 -13.1520203)",,,
938611890,residential,False,True,99.134,,,"LINESTRING (-41.770453 -13.1521495, -41.7702581 -13.1512784)",,,
217329743,residential,False,True,69.536,,Rua Marechal Deodoro,"LINESTRING (-41.7709013 -13.1520203, -41.7707866 -13.1526356)",,,
394735741,tertiary,False,False,50.623,2,Rua Thiago Fernandes,"LINESTRING (-41.7709013 -13.1520203, -41.770453 -13.1521495)",,,
235243520,tertiary,False,True,101.877,2,Rua Major Telesphoro Hermínio Pereira,"LINESTRING (-41.7709013 -13.1520203, -41.7709716 -13.1519578, -41.7717896 -13.1517488)",,,
235243520,tertiary,False,True,40.195,2,Rua Major Telesphoro Hermínio Pereira,"LINESTRING (-41.7717896 -13.1517488, -41.7721523 -13.1516718)",,,
355518248,residential,False,False,224.144,,Rua Manoel Nascimeto,"LINESTRING (-41.7717896 -13.1517488, -41.7715255 -13.1497495)",,,
235243520,tertiary,False,False,101.877,2,Rua Major Telesphoro Hermínio Pereira,"LINESTRING (-41.7717896 -13.1517488, -41.7709716 -13.1519578, -41.7709013 -13.1520203)",,,
217328216,tertiary,True,False,107.10199999999999,2,Rua Major Telesphoro Hermínio Pereira,"LINESTRING (-41.774596 -13.1511215, -41.7754435 -13.1509647, -41.7755241 -13.150946, -41.775563 -13.1509268)",,,
355511903,residential,False,False,68.479,,,"LINESTRING (-41.774596 -13.1511215, -41.7745045 -13.1507187, -41.7744977 -13.1505155)",,,
231133229,residential,False,True,148.753,,Rua José Lisboa Xavier,"LINESTRING (-41.7721523 -13.1516718, -41.772346 -13.1529962)",,,
235243520,tertiary,False,False,40.195,2,Rua Major Telesphoro Hermínio Pereira,"LINESTRING (-41.7721523 -13.1516718, -41.7717896 -13.1517488)",,,
235243520,tertiary,False,True,6.199,2,Rua Major Telesphoro Hermínio Pereira,"LINESTRING (-41.7721523 -13.1516718, -41.772208 -13.1516589)",,,
851602891,tertiary,True,False,9.503,1,,"LINESTRING (-41.7758162 -13.1510658, -41.7757311 -13.1510867)",roundabout,,
289919394,residential,False,False,181.54,,,"LINESTRING (-41.7758162 -13.1510658, -41.7758608 -13.1512142, -41.7758525 -13.1513526, -41.7758325 -13.1516864, -41.7757971 -13.1520414, -41.7757794 -13.1524101, -41.7757934 -13.152689)",,,
235240943,tertiary,True,False,18.067,1,Rua Otávio Jardim,"LINESTRING (-41.7758498 -13.1508948, -41.7759187 -13.1509309, -41.776003 -13.1509575)",roundabout,,
851602891,tertiary,True,False,19.998,1,,"LINESTRING (-41.7758498 -13.1508948, -41.7758592 -13.1509588, -41.7758417 -13.1510136, -41.7758162 -13.1510658)",roundabout,,
231133233,residential,False,True,202.89100000000002,,Rua João Antônio de Brito,"LINESTRING (-41.7755614 -13.1510162, -41.7755741 -13.1511005, -41.7755812 -13.1513555, -41.7755352 -13.151838, -41.7754565 -13.1522135, -41.7753546 -13.152822)",,,
242846629,tertiary,True,False,10.003,1,,"LINESTRING (-41.7755614 -13.1510162, -41.7755573 -13.1509642, -41.775563 -13.1509268)",roundabout,,
355518249,tertiary,True,False,183.198,2,Rua Major Telesphoro Hermínio Pereira,"LINESTRING (-41.7755614 -13.1510162, -41.7754857 -13.151013, -41.7751237 -13.1510852, -41.7741827 -13.1512625, -41.7738996 -13.1513149)",,,
235243279,tertiary,False,False,103.494,2,Rua Otávio Jardim,"LINESTRING (-41.776003 -13.1509575, -41.7766175 -13.1508607, -41.7769475 -13.150815)",,,
355519194,tertiary,True,False,23.767,1,Rua Otávio Jardim,"LINESTRING (-41.776003 -13.1509575, -41.775886 -13.1510084, -41.7758526 -13.1510359, -41.7758162 -13.1510658)",roundabout,,
231133231,residential,False,True,94.029,,,"LINESTRING (-41.7745375 -13.1551851, -41.7746734 -13.1543499)",,,
356646782,tertiary,True,False,19.007,2,Avenida Castro Alves,"LINESTRING (-41.7745375 -13.1551851, -41.7746757 -13.1552905)",,,
355511068,tertiary,True,False,13.094,2,Avenida Castro Alves,"LINESTRING (-41.7720706 -13.1540397, -41.7719515 -13.1540193)",,,
722192055,tertiary,False,False,34.281,2,Avenida Castro Alves,"LINESTRING (-41.7720706 -13.1540397, -41.7723639 -13.1541558)",,,
355511063,tertiary,True,False,27.6,2,Avenida Castro Alves,"LINESTRING (-41.773885 -13.1549836, -41.7736318 -13.154955)",,,
355519659,tertiary,False,False,15.176,2,Avenida Castro Alves,"LINESTRING (-41.773885 -13.1549836, -41.7740162 -13.1550316)",,,
242846652,residential,False,True,20.944,,,"LINESTRING (-41.773885 -13.1549836, -41.7737937 -13.1550135, -41.7737077 -13.1550574)",,,
217328533,tertiary,False,False,10.866,2,Avenida Castro Alves,"LINESTRING (-41.7746757 -13.1552905, -41.7747743 -13.1553087)",,,
355519660,tertiary,True,False,17.364,2,Avenida Castro Alves,"LINESTRING (-41.7746757 -13.1552905, -41.7745684 -13.1552905, -41.7745156 -13.1552853)",,,
355519659,tertiary,False,True,15.176,2,Avenida Castro Alves,"LINESTRING (-41.7740162 -13.1550316, -41.773885 -13.1549836)",,,
356646776,tertiary,True,False,21.932000000000002,2,Avenida Castro Alves,"LINESTRING (-41.7740162 -13.1550316, -41.7741875 -13.155045, -41.7742182 -13.155045)",,,
217328505,tertiary,True,False,15.694,1,,"LINESTRING (-41.7751885 -13.1553074, -41.7753039 -13.155222)",,,
242846656,tertiary,True,False,12.531,1,,"LINESTRING (-41.7751885 -13.1553074, -41.7752479 -13.1553153, -41.775278 -13.1553246, -41.7753002 -13.155334)",,,
242846615,tertiary,True,False,90.263,2,Avenida Castro Alves,"LINESTRING (-41.7723639 -13.1541558, -41.7731165 -13.1545049)",,,
