osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge
228605924,Rua José de Oliveira Barros,residential,False,True,12.177,,,"LINESTRING (-36.3080824 -9.5814256, -36.3081568 -9.5813443)",
276657029,,trunk,False,True,63.17,BR-316,50,"LINESTRING (-36.3080824 -9.5814256, -36.3077002 -9.5810005)",
276657029,,trunk,False,False,16.57,BR-316,50,"LINESTRING (-36.3080824 -9.5814256, -36.3081164 -9.5814619, -36.3081849 -9.5815351)",
276657044,Rua Frei Damião,residential,False,True,43.209,,,"LINESTRING (-36.3079543 -9.5816842, -36.3081374 -9.5820283)",
825136270,,residential,False,False,30.235,,,"LINESTRING (-36.3079543 -9.5816842, -36.3081849 -9.5815351)",
276657043,Rua Frei Damião,residential,False,False,81.905,,,"LINESTRING (-36.3079543 -9.5816842, -36.3077626 -9.581298, -36.3077223 -9.5811962, -36.3077062 -9.5811116, -36.3077002 -9.5810005)",
276657044,Rua Frei Damião,residential,False,False,43.209,,,"LINESTRING (-36.3081374 -9.5820283, -36.3079543 -9.5816842)",
276657044,Rua Frei Damião,residential,False,True,17.516,,,"LINESTRING (-36.3081374 -9.5820283, -36.3082159 -9.5821655)",
228605588,Travessa Frei Damião,residential,False,False,87.287,,,"LINESTRING (-36.3081374 -9.5820283, -36.3078095 -9.5821933, -36.3077867 -9.5822125, -36.3077646 -9.5822402, -36.3077418 -9.58227, -36.3077237 -9.582311, -36.3076184 -9.5825658)",
228605588,Travessa Frei Damião,residential,False,True,87.287,,,"LINESTRING (-36.3076184 -9.5825658, -36.3077237 -9.582311, -36.3077418 -9.58227, -36.3077646 -9.5822402, -36.3077867 -9.5822125, -36.3078095 -9.5821933, -36.3081374 -9.5820283)",
276657079,,residential,False,False,8.641,,,"LINESTRING (-36.3085994 -9.5826971, -36.3085371 -9.5827447)",
276657079,,residential,False,True,8.641,,,"LINESTRING (-36.3085371 -9.5827447, -36.3085994 -9.5826971)",
228605586,Rua Frei Damião,residential,True,False,74.643,,,"LINESTRING (-36.3085371 -9.5827447, -36.3082326 -9.5822951, -36.3082159 -9.5821655)",
228605922,Travessa João Teixeira Sobrinho,residential,False,False,60.798,,,"LINESTRING (-36.3085337 -9.5783147, -36.3080469 -9.5785765)",
228605922,Travessa João Teixeira Sobrinho,residential,False,True,60.798,,,"LINESTRING (-36.3080469 -9.5785765, -36.3085337 -9.5783147)",
