osmid,oneway,ref,highway,reversed,length,geometry,name
355160590,False,,residential,True,98.557,"LINESTRING (-52.5442163 -25.3097297, -52.5445688 -25.3096108, -52.5451537 -25.3094738)",Rua Guerino Carelli
355160593,False,,residential,True,88.983,"LINESTRING (-52.5442163 -25.3097297, -52.544171 -25.3095845, -52.5440787 -25.3089405)",Rua Estanilau Kuratkowski
355160588,True,,residential,False,83.798,"LINESTRING (-52.54588 -25.3087665, -52.5450487 -25.3088228)",
355160591,False,,residential,False,66.433,"LINESTRING (-52.54588 -25.3087665, -52.5459874 -25.309356)",
355160590,False,,residential,False,84.822,"LINESTRING (-52.5459874 -25.309356, -52.5451537 -25.3094738)",Rua Guerino Carelli
355160590,False,,residential,True,65.824,"LINESTRING (-52.5459874 -25.309356, -52.5466397 -25.3093041)",Rua Guerino Carelli
355160591,False,,residential,True,66.433,"LINESTRING (-52.5459874 -25.309356, -52.54588 -25.3087665)",
355160588,True,,residential,False,98.381,"LINESTRING (-52.5450487 -25.3088228, -52.5440787 -25.3089405)",
355160592,False,,residential,False,12.978,"LINESTRING (-52.5450487 -25.3088228, -52.5450714 -25.3087079)",Rua João Passarin
355160592,False,,residential,True,73.153,"LINESTRING (-52.5450487 -25.3088228, -52.5451537 -25.3094738)",Rua João Passarin
355160587,True,,residential,False,136.904,"LINESTRING (-52.5450714 -25.3087079, -52.5464225 -25.308553)",
355160592,False,,residential,False,116.746,"LINESTRING (-52.5450714 -25.3087079, -52.5450888 -25.3076581)",Rua João Passarin
355160592,False,,residential,True,12.978,"LINESTRING (-52.5450714 -25.3087079, -52.5450487 -25.3088228)",Rua João Passarin
355160567,False,,residential,False,50.145,"LINESTRING (-52.5441204 -25.3074794, -52.54363 -25.3073968)",Rua Rio Grande do Sul
355160567,False,,residential,True,99.354,"LINESTRING (-52.5441204 -25.3074794, -52.5450888 -25.3076581)",Rua Rio Grande do Sul
355160593,False,,residential,False,149.893,"LINESTRING (-52.5441204 -25.3074794, -52.5440791 -25.3088269)",Rua Estanilau Kuratkowski
355160587,True,,residential,False,100.622,"LINESTRING (-52.5440791 -25.3088269, -52.5450714 -25.3087079)",
355160593,False,,residential,False,12.632,"LINESTRING (-52.5440791 -25.3088269, -52.5440787 -25.3089405)",Rua Estanilau Kuratkowski
355160593,False,,residential,True,149.893,"LINESTRING (-52.5440791 -25.3088269, -52.5441204 -25.3074794)",Rua Estanilau Kuratkowski
355160588,True,,residential,False,99.757,"LINESTRING (-52.5440787 -25.3089405, -52.5430903 -25.3090209)",
355160593,False,,residential,True,12.632,"LINESTRING (-52.5440787 -25.3089405, -52.5440791 -25.3088269)",Rua Estanilau Kuratkowski
355160593,False,,residential,False,88.983,"LINESTRING (-52.5440787 -25.3089405, -52.544171 -25.3095845, -52.5442163 -25.3097297)",Rua Estanilau Kuratkowski
355160593,False,,residential,True,6.454,"LINESTRING (-52.5441713 -25.3097711, -52.5442163 -25.3097297)",Rua Estanilau Kuratkowski
355160567,False,,residential,False,83.032,"LINESTRING (-52.54363 -25.3073968, -52.5428149 -25.3072759)",Rua Rio Grande do Sul
355160567,False,,residential,True,50.145,"LINESTRING (-52.54363 -25.3073968, -52.5441204 -25.3074794)",Rua Rio Grande do Sul
355160594,False,,residential,False,92.425,"LINESTRING (-52.54363 -25.3073968, -52.5435981 -25.3082275)",
355160594,False,,residential,True,92.425,"LINESTRING (-52.5435981 -25.3082275, -52.54363 -25.3073968)",
937488814,False,BR-277,trunk,True,475.99699999999996,"LINESTRING (-52.5478858 -25.3083478, -52.5472144 -25.3081129, -52.545867 -25.307618, -52.5452599 -25.3074322, -52.5446773 -25.3073033, -52.5433767 -25.3070986)",
355160615,False,,tertiary,True,114.071,"LINESTRING (-52.539961 -25.3057979, -52.5402093 -25.3067989)",Rua Joaquim Prudente
355161491,False,,tertiary,False,121.344,"LINESTRING (-52.539961 -25.3057979, -52.5411625 -25.3056929)",Estrada Vereador João Wolff
952934640,False,,residential,False,76.648,"LINESTRING (-52.539961 -25.3057979, -52.5397786 -25.3051286)",Rua Joaquim Prudente
355161491,False,,tertiary,False,9.781,"LINESTRING (-52.544467 -25.302441, -52.5444834 -25.3023543)",Estrada Vereador João Wolff
355160604,False,,residential,False,109.43,"LINESTRING (-52.544467 -25.302441, -52.5449856 -25.3026318, -52.5454657 -25.3028319)",
355161491,False,,tertiary,True,194.076,"LINESTRING (-52.544467 -25.302441, -52.5444188 -25.3025777, -52.5442203 -25.303053, -52.5437644 -25.3038532, -52.5436711 -25.3040276)",Estrada Vereador João Wolff
355160604,False,,residential,False,5.392,"LINESTRING (-52.5454657 -25.3028319, -52.5455086 -25.302861)",
693740547,False,,residential,True,56.949,"LINESTRING (-52.5454657 -25.3028319, -52.5455998 -25.3023343)",
355160604,False,,residential,True,109.43,"LINESTRING (-52.5454657 -25.3028319, -52.5449856 -25.3026318, -52.544467 -25.302441)",
