osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,junction,bridge
474591483,Travessa Marcelo Ferreira,residential,False,False,68.088,"LINESTRING (-43.0245735 -6.7531927, -43.0239609 -6.753123)",,,,
755214036,Rua Doutor Paulo Ramos,tertiary,False,False,107.67,"LINESTRING (-43.0245735 -6.7531927, -43.0246763 -6.7522298)",,,,
755214036,Rua Doutor Paulo Ramos,tertiary,False,True,177.583,"LINESTRING (-43.0245735 -6.7531927, -43.024363 -6.754776)",,,,
474591483,Travessa Marcelo Ferreira,residential,False,True,144.132,"LINESTRING (-43.0245735 -6.7531927, -43.0246929 -6.7531879, -43.0248922 -6.7531458, -43.0258401 -6.752891)",,,,
231110741,Travessa Tonico Soares,residential,False,False,91.879,"LINESTRING (-43.0248602 -6.7509441, -43.0240296 -6.7508952)",,,,
754181082,,residential,False,True,91.306,"LINESTRING (-43.0248602 -6.7509441, -43.0256823 -6.7510321)",,,,
755214036,Rua Doutor Paulo Ramos,tertiary,False,False,64.625,"LINESTRING (-43.0248602 -6.7509441, -43.0249336 -6.7503675)",,,,
755214036,Rua Doutor Paulo Ramos,tertiary,False,True,144.424,"LINESTRING (-43.0248602 -6.7509441, -43.0246952 -6.7520345, -43.0246763 -6.7522298)",,,,
373426322,,primary,False,False,53.887,"LINESTRING (-43.0298638 -6.7529859, -43.0303279 -6.7528361)",2,BR-230,,
231109290,,primary_link,True,False,66.611,"LINESTRING (-43.0298638 -6.7529859, -43.02969 -6.7531019, -43.0293383 -6.7532779)",,,,
"[373426322, 756493647]",Avenida BR-230,primary,False,True,151.578,"LINESTRING (-43.0298638 -6.7529859, -43.0291467 -6.7532381, -43.0285667 -6.7534319)",2,BR-230,,
231106620,Rua João Negreiro,residential,False,False,20.158,"LINESTRING (-43.027402 -6.7538388, -43.0274166 -6.7540195)",,,,
231106620,Rua João Negreiro,residential,False,True,19.508,"LINESTRING (-43.027402 -6.7538388, -43.0273677 -6.7536667)",,,,
756493647,Avenida BR-230,primary,False,False,136.337,"LINESTRING (-43.027402 -6.7538388, -43.0285667 -6.7534319)",2,BR-230,,
756493647,Avenida BR-230,primary,False,True,96.611,"LINESTRING (-43.027402 -6.7538388, -43.0266237 -6.7540968, -43.0265722 -6.7541142)",2,BR-230,,
756493650,,primary,False,True,32.237,"LINESTRING (-43.0265722 -6.7541142, -43.026294 -6.7542021)",2,BR-230,,
756467851,Avenida Mário Bezerra,primary_link,True,False,28.933999999999997,"LINESTRING (-43.0265722 -6.7541142, -43.026519 -6.7542106, -43.0264593 -6.7543487)",,,,
756493647,Avenida BR-230,primary,False,False,96.611,"LINESTRING (-43.0265722 -6.7541142, -43.0266237 -6.7540968, -43.027402 -6.7538388)",2,BR-230,,
166398164,Avenida BR-230,primary,False,True,127.924,"LINESTRING (-43.0260992 -6.7542669, -43.0250083 -6.7546541)",2,BR-230,,
756493648,,primary,False,False,22.685,"LINESTRING (-43.0260992 -6.7542669, -43.026294 -6.7542021)",2,BR-230,,
769234331,,residential,True,False,3.264,"LINESTRING (-43.0262798 -6.7544093, -43.0262692 -6.7543819)",,,circular,
166398164,Avenida BR-230,primary,False,False,127.924,"LINESTRING (-43.0250083 -6.7546541, -43.0260992 -6.7542669)",2,BR-230,,
166398164,Avenida BR-230,primary,False,True,75.418,"LINESTRING (-43.0250083 -6.7546541, -43.0243593 -6.7548654)",2,BR-230,,
231106644,Rua Cícero Neiva,residential,False,True,103.098,"LINESTRING (-43.0250083 -6.7546541, -43.0250513 -6.7555803)",,,,
231106633,Avenida Mário Bezerra,residential,False,False,94.16399999999999,"LINESTRING (-43.0262953 -6.7546494, -43.0262028 -6.7549048, -43.0261714 -6.7550915, -43.0261664 -6.7554776)",,,,
756467849,Avenida Mário Bezerra,residential,True,False,26.773,"LINESTRING (-43.0262953 -6.7546494, -43.0262893 -6.7544874, -43.0262798 -6.7544093)",,,,
166398164,Avenida BR-230,primary,False,True,14.453,"LINESTRING (-43.0237619 -6.7550599, -43.0236359 -6.7550951)",2,BR-230,,
231106617,,residential,False,True,20.527,"LINESTRING (-43.0237619 -6.7550599, -43.0237346 -6.7552425)",,,,
166398164,Avenida BR-230,primary,False,False,58.033,"LINESTRING (-43.0237619 -6.7550599, -43.0239213 -6.755008, -43.0242613 -6.7548973)",2,BR-230,,
754148404,Rua Sebastião Ribeiro,residential,False,True,216.631,"LINESTRING (-43.0237619 -6.7550599, -43.0238272 -6.7541071, -43.0238864 -6.7536, -43.0239609 -6.753123)",,,,
231109284,Rua Padre José de Almeida,residential,False,False,99.952,"LINESTRING (-43.0291 -6.7551869, -43.0290734 -6.7560854)",,,,
560740203,Rua do Sol,residential,False,False,44.525,"LINESTRING (-43.0291 -6.7551869, -43.028698 -6.7552181)",,,,
560740203,Rua do Sol,residential,False,True,105.163,"LINESTRING (-43.0291 -6.7551869, -43.0300488 -6.7551052)",,,,
231109284,Rua Padre José de Almeida,residential,False,True,190.994,"LINESTRING (-43.0291 -6.7551869, -43.0291646 -6.7544467, -43.029245 -6.7534753)",,,,
560740203,Rua do Sol,residential,False,False,52.163,"LINESTRING (-43.028698 -6.7552181, -43.0282273 -6.7552578)",,,,
560740203,Rua do Sol,residential,False,True,44.525,"LINESTRING (-43.028698 -6.7552181, -43.0291 -6.7551869)",,,,
231106623,Travessa Mariano José de Moraes,residential,False,True,180.645,"LINESTRING (-43.028698 -6.7552181, -43.0286983 -6.7540221, -43.0286314 -6.7535987)",,,,
