osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,lanes,bridge
151734076,True,Avenida Antônio Januário do Nascimento,trunk,40,False,29.627999999999997,"LINESTRING (-45.4036609 -23.8041054, -45.403651 -23.804203, -45.403643 -23.8042815, -45.4036114 -23.8043663)",,,
789776601,True,Avenida Remo Correa da Silva,trunk_link,30,False,22.528,"LINESTRING (-45.4036609 -23.8041054, -45.4037167 -23.8041932, -45.4037517 -23.8042279, -45.4038029 -23.8042544)",SP-055;BR-101,,
147380704,True,Rua Pará,trunk,,False,15.715,"LINESTRING (-45.4029495 -23.8050817, -45.4028582 -23.8049677)",SP-055;BR-101,,
42433644,True,Avenida Antônio Januário do Nascimento,secondary,40,False,76.796,"LINESTRING (-45.4029495 -23.8050817, -45.4029023 -23.8051281, -45.4024355 -23.8055875)",,2,
147380704,True,Rua Pará,trunk,,False,11.566,"LINESTRING (-45.4041061 -23.8068321, -45.4040412 -23.8067467)",SP-055;BR-101,,
170143327,True,Rua do Cais,secondary,,False,102.59,"LINESTRING (-45.4041061 -23.8068321, -45.403938 -23.8069122, -45.4038472 -23.8069695, -45.4037753 -23.8070094, -45.4036329 -23.8069681, -45.4033952 -23.8068817, -45.4031912 -23.806808)",,,
147380704,True,Rua Pará,trunk,,False,150.007,"LINESTRING (-45.4040412 -23.8067467, -45.4033191 -23.8055705)",SP-055;BR-101,,
824379685,True,Rua do Outeiro,trunk,,False,60.81699999999999,"LINESTRING (-45.4040412 -23.8067467, -45.4042207 -23.8066587, -45.4045701 -23.8064918)",,,
1227792088,True,,trunk,,False,8.793000000000001,"LINESTRING (-45.4051568 -23.806285, -45.4051497 -23.8063055, -45.4051365 -23.8063189, -45.4051185 -23.8063296, -45.4050974 -23.8063344)",,,
151734074,True,Avenida Antônio Januário do Nascimento,trunk,,False,68.669,"LINESTRING (-45.4028582 -23.8049677, -45.4033316 -23.8045275)",SP-055;BR-101,,
"[170143328, 170143334]",False,Rua Capitão Luiz Soares,residential,,False,67.98,"LINESTRING (-45.4028582 -23.8049677, -45.4028169 -23.8049121, -45.4025562 -23.8045672, -45.4024767 -23.8044658)",,,yes
151734073,True,Avenida Antônio Januário do Nascimento,trunk,40,False,126.018,"LINESTRING (-45.4038029 -23.8042544, -45.4043253 -23.8042338, -45.404443 -23.8042532, -45.4045246 -23.8042812, -45.4046413 -23.8043391, -45.4048545 -23.8046228)",SP-055;BR-101,,
488563667,True,Praça Rotary,residential,,False,80.694,"LINESTRING (-45.4038029 -23.8042544, -45.4040802 -23.804187, -45.4044318 -23.8040984, -45.4044945 -23.8040879, -45.4045362 -23.8040925, -45.4045677 -23.8041081)",,,
870694793,True,,trunk,,False,23.117,"LINESTRING (-45.4036114 -23.8043663, -45.4038029 -23.8042544)",SP-055;BR-101,,
151734076,True,Avenida Antônio Januário do Nascimento,trunk,40,False,36.501,"LINESTRING (-45.4036114 -23.8043663, -45.4035493 -23.8044539, -45.4034018 -23.8046325)",,,
"[42433650, 230995710]",True,Avenida Antônio Januário do Nascimento,trunk,40,False,95.317,"LINESTRING (-45.4033316 -23.8045275, -45.4035489 -23.8042448, -45.4035776 -23.8041833, -45.4035885 -23.8041204, -45.4035286 -23.8039344, -45.4035179 -23.8039106, -45.4035016 -23.8037499)",SP-055;BR-101,2,yes
151734075,True,,trunk,,False,33.74,"LINESTRING (-45.4033316 -23.8045275, -45.4034628 -23.804438, -45.4036114 -23.8043663)",SP-055;BR-101,,
