osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,maxspeed
71562404,True,Rua Epitácio Pessoa,residential,False,66.52,"LINESTRING (-43.1740768 -22.5074241, -43.1737771 -22.5079544)",,,
742054641,True,Praça Professor Pinto Ferreira,residential,False,91.594,"LINESTRING (-43.1737771 -22.5079544, -43.1745641 -22.5083416)",,,
840560544,False,Rua Barão de Teffe,residential,True,61.961,"LINESTRING (-43.1745641 -22.5083416, -43.174284 -22.5088351)",,,
"[742054642, 10853564]",True,Praça Professor Pinto Ferreira,residential,False,155.23000000000002,"LINESTRING (-43.1745641 -22.5083416, -43.1748386 -22.507893, -43.1748453 -22.5078614, -43.1748399 -22.5078342, -43.1748232 -22.5078088, -43.1747843 -22.5077753, -43.1740768 -22.5074241)",,,
840560544,False,Rua Barão de Teffe,residential,False,61.961,"LINESTRING (-43.174284 -22.5088351, -43.1745641 -22.5083416)",,,
10853981,False,Rua Nilo Peçanha,residential,False,109.866,"LINESTRING (-43.174284 -22.5088351, -43.1751745 -22.5092565, -43.1752385 -22.5092803)",,,
846396834,True,Praça dos Expedicionários,secondary,False,40.102000000000004,"LINESTRING (-43.1754449 -22.5096517, -43.175531 -22.5095629, -43.1756504 -22.509407, -43.1756775 -22.5093632)",2,,
11953226,True,Rua Raul de Leoni,secondary,False,169.113,"LINESTRING (-43.1774276 -22.5063284, -43.1781853 -22.5049782)",2,,
10853981,False,Rua Nilo Peçanha,residential,True,46.728,"LINESTRING (-43.1756775 -22.5093632, -43.1755561 -22.5093141, -43.1754722 -22.509293, -43.1754085 -22.509285, -43.1753059 -22.5092893, -43.1752476 -22.5092837, -43.1752385 -22.5092803)",,,
742055858,True,Rua da Imperatriz,secondary,False,218.125,"LINESTRING (-43.1756775 -22.5093632, -43.1761341 -22.5085684, -43.1766724 -22.5076302)",2,,
11408742,True,Rua da Imperatriz,secondary,False,23.769,"LINESTRING (-43.1770261 -22.5075589, -43.1769172 -22.5077475)",2,,
847082507,True,Rua Doutor Moreira da Fonseca,residential,False,59.394,"LINESTRING (-43.1770458 -22.5086982, -43.1773371 -22.5082368)",,,
11408944,True,Rua Irmãos D'angelo,residential,False,130.906,"LINESTRING (-43.1770458 -22.5086982, -43.1768167 -22.5090991, -43.1766169 -22.5094287, -43.1764307 -22.5097291)",,,
169290097,False,Rua Oscar Weins Chenck,residential,False,360.103,"LINESTRING (-43.1770458 -22.5086982, -43.1772461 -22.5088025, -43.1772975 -22.5088042, -43.1773297 -22.5087836, -43.1773759 -22.5087184, -43.1774655 -22.5085803, -43.177498 -22.5085509, -43.1775275 -22.5085388, -43.1775727 -22.508537, -43.177611 -22.508545, -43.1776898 -22.5085918, -43.1778051 -22.5086816, -43.1778272 -22.5087206, -43.1778292 -22.508746, -43.1778192 -22.5087943, -43.1777836 -22.5088513, -43.1777025 -22.5089331, -43.1776129 -22.5090016, -43.1775825 -22.5090248, -43.1775154 -22.5090911, -43.1774913 -22.5091326, -43.1774899 -22.5091555, -43.1774933 -22.5091766, -43.1775215 -22.5091976, -43.1775758 -22.5092088, -43.1776757 -22.5091976, -43.1778507 -22.5091586, -43.1780452 -22.5091103, -43.178141 -22.5090613, -43.1781954 -22.5090031, -43.1782289 -22.5089189, -43.1782671 -22.5087652, -43.1783026 -22.5086531, -43.1783991 -22.5084762, -43.1785018 -22.5083155, -43.1785635 -22.5082678, -43.1786225 -22.5082585, -43.1786721 -22.5082641, -43.1787409 -22.5083007)",,,
11409096,True,Rua Oscar Weins Chenck,residential,False,59.501,"LINESTRING (-43.1765368 -22.5084428, -43.1770458 -22.5086982)",,,
11408742,True,Rua da Imperatriz,secondary,False,131.682,"LINESTRING (-43.1765368 -22.5084428, -43.1763986 -22.5086977, -43.1759564 -22.5094987)",2,,
"[847042290, 742055783]",True,Praça Visconde de Mauá,residential,False,111.634,"LINESTRING (-43.1773371 -22.5082368, -43.1773686 -22.5081873, -43.1774229 -22.5081086, -43.1774715 -22.5080296, -43.1775389 -22.507911, -43.1775469 -22.5078763, -43.1775439 -22.5078496, -43.1775339 -22.5078286, -43.177513 -22.5078054, -43.1770261 -22.5075589)",,,
11408742,True,Rua da Imperatriz,secondary,False,58.405,"LINESTRING (-43.176793 -22.5079739, -43.1765368 -22.5084428)",2,,
11409025,True,Praça Visconde de Mauá,residential,False,63.076,"LINESTRING (-43.176793 -22.5079739, -43.1773371 -22.5082368)",,,
1120484463,False,Rua Oscar Weinschenck,residential,False,17.329,"LINESTRING (-43.1787409 -22.5083007, -43.1786591 -22.508437)",,,
