osmid,oneway,name,highway,reversed,length,junction,geometry,maxspeed,lanes,ref,bridge,access
156211518,True,Rua Santa Cruz,tertiary,False,63.815,,"LINESTRING (-46.5438528 -22.9476124, -46.5439976 -22.9481706)",,,,,
221291855,False,Rua Monteiro Lobato,residential,True,41.527,,"LINESTRING (-46.5438528 -22.9476124, -46.5435032 -22.9478017)",,,,,
156211237,True,Avenida São Lourenço,tertiary,False,112.345,,"LINESTRING (-46.5435032 -22.9478017, -46.5440209 -22.9486925)",,,,,
221291855,False,Rua Monteiro Lobato,residential,False,41.527,,"LINESTRING (-46.5435032 -22.9478017, -46.5438528 -22.9476124)",,,,,
156211519,True,,tertiary,False,13.087,,"LINESTRING (-46.5440209 -22.9486925, -46.5441405 -22.948734)",,,,,
156211241,True,Avenida dos Imigrantes,primary,False,9.148,roundabout,"LINESTRING (-46.5427245 -22.9482361, -46.5427689 -22.9482405, -46.5428115 -22.9482529)",,,,,
156211234,True,Avenida dos Imigrantes,primary,False,93.369,,"LINESTRING (-46.5425963 -22.9482722, -46.542558 -22.948246, -46.5424528 -22.94817, -46.5423059 -22.9480757, -46.5421698 -22.9479843, -46.5420474 -22.9479108, -46.5419193 -22.9478485, -46.5418329 -22.9478196)",,,,,
156211241,True,Avenida dos Imigrantes,primary,False,13.887,roundabout,"LINESTRING (-46.5425963 -22.9482722, -46.5426574 -22.9482451, -46.5427245 -22.9482361)",,,,,
870967125,True,,primary_link,False,7.817,,"LINESTRING (-46.5427126 -22.9486475, -46.5426513 -22.9486894)",,,,,
156211241,True,Avenida dos Imigrantes,primary,False,17.582,roundabout,"LINESTRING (-46.5427126 -22.9486475, -46.5426247 -22.9486272, -46.5425595 -22.9485828)",,,,,
156211235,True,Avenida dos Imigrantes,primary,False,20.142,roundabout,"LINESTRING (-46.5419195 -22.9476672, -46.5419169 -22.9477124, -46.5419005 -22.9477551, -46.5418718 -22.9477919, -46.5418329 -22.9478196)",,,,,
156211239,True,Avenida dos Imigrantes,primary,False,104.19800000000001,,"LINESTRING (-46.5419195 -22.9476672, -46.5420084 -22.9477495, -46.5421184 -22.9478418, -46.5422439 -22.9479321, -46.5424442 -22.9480709, -46.5427245 -22.9482361)",,,,,
156211235,True,Avenida dos Imigrantes,primary,False,5.213,roundabout,"LINESTRING (-46.5415817 -22.9477248, -46.5415752 -22.9476783)",,,,,
157280967,True,Avenida dos Imigrantes,primary,False,8.658,,"LINESTRING (-46.5440646 -22.9490405, -46.5441126 -22.9491046)",50,,,,
156211236,True,Avenida dos Imigrantes,primary,False,11.297,roundabout,"LINESTRING (-46.5440646 -22.9490405, -46.5440346 -22.9491018, -46.5440102 -22.9491278)",,,,,
156211241,True,Avenida dos Imigrantes,primary,False,6.017,roundabout,"LINESTRING (-46.5425595 -22.9485828, -46.5425253 -22.9485388)",,,,,
156211235,True,Avenida dos Imigrantes,primary,False,16.251,roundabout,"LINESTRING (-46.5418329 -22.9478196, -46.5417834 -22.9478369, -46.5417306 -22.9478396, -46.5416794 -22.9478274)",,,,,
156211235,True,Avenida dos Imigrantes,primary,False,22.76,roundabout,"LINESTRING (-46.5416524 -22.947549, -46.5417031 -22.947528, -46.5417584 -22.9475229, -46.5418126 -22.9475343, -46.54186 -22.9475609)",,,,,
157274020,True,Avenida dos Imigrantes,tertiary,False,26.774,,"LINESTRING (-46.5439863 -22.9491522, -46.5438474 -22.9493562)",,,,,
