osmid,oneway,name,highway,reversed,length,ref,geometry,bridge,lanes
571466494,True,Rua Siqueira Campos,secondary,False,111.28,,"LINESTRING (-47.9989618 -23.8803501, -47.9986482 -23.8793913)",,
692596426,False,Rua Bento Franca,secondary,True,57.311,,"LINESTRING (-47.9989618 -23.8803501, -47.9984287 -23.8805175)",,
625989435,False,Rua Joaquim Ortiz de Camargo,secondary,True,89.789,SP-250,"LINESTRING (-47.9989618 -23.8803501, -47.9990416 -23.8803557, -47.9991724 -23.8803863, -47.9998027 -23.8805887)",,
625989445,True,Rua Doutor Júlio Prestes,secondary,False,104.88,,"LINESTRING (-47.9984287 -23.8805175, -47.9987432 -23.8814158)",,
692596426,False,Rua Bento Franca,secondary,False,57.311,,"LINESTRING (-47.9984287 -23.8805175, -47.9989618 -23.8803501)",,
692596426,False,Rua Bento Franca,secondary,True,77.129,,"LINESTRING (-47.9984287 -23.8805175, -47.9977052 -23.880726)",,
170177552,False,Rua Monsenhor Henrique Volta,residential,True,62.248,,"LINESTRING (-47.9982342 -23.8781605, -47.9976538 -23.8783386)",,
571466494,True,Rua Siqueira Campos,secondary,False,55.815,,"LINESTRING (-47.9982342 -23.8781605, -47.998068 -23.8776821)",,
571466495,False,Rua Monsenhor Henrique Volta,residential,False,106.253,,"LINESTRING (-47.9982342 -23.8781605, -47.999068 -23.8778898, -47.9991368 -23.8778675, -47.99922 -23.8778436)",,
216639174,False,Rua Miguel Terra,residential,False,112.323,,"LINESTRING (-47.9991238 -23.8773849, -47.998068 -23.8776821)",,
910675255,False,Rua Narlir Miguel,secondary,True,108.274,,"LINESTRING (-47.9991238 -23.8773849, -47.9989176 -23.8764296)",,
910675255,False,Rua Narlir Miguel,secondary,False,51.96,,"LINESTRING (-47.9991238 -23.8773849, -47.9992126 -23.8777822, -47.99922 -23.8778436)",,
216639174,False,Rua Miguel Terra,residential,True,112.323,,"LINESTRING (-47.998068 -23.8776821, -47.9991238 -23.8773849)",,
216639176,True,Rua Miguel Terra,residential,False,62.748,,"LINESTRING (-47.998068 -23.8776821, -47.9974801 -23.8778537)",,
571466494,True,Rua Siqueira Campos,secondary,False,108.961,,"LINESTRING (-47.998068 -23.8776821, -47.9977853 -23.8767369)",,
216848452,False,Rua Governador Pedro de Toledo,residential,True,83.097,,"LINESTRING (-47.9920807 -23.8805979, -47.9928596 -23.8803716)",,
"[566235834, 566235835, 566235836]",False,Rua Governador Pedro de Toledo,residential,"[False, True]",24.285,,"LINESTRING (-47.9920807 -23.8805979, -47.992014 -23.8806385, -47.9919418 -23.8806856, -47.9918814 -23.880718)",yes,
216643974,False,Rua Benedito Nunes Rato,residential,False,9.693,,"LINESTRING (-47.9918814 -23.880718, -47.9918822 -23.8807636, -47.9918848 -23.8808051)",,
"[566235834, 566235835, 566235836]",False,Rua Governador Pedro de Toledo,residential,"[False, True]",24.285000000000004,,"LINESTRING (-47.9918814 -23.880718, -47.9919418 -23.8806856, -47.992014 -23.8806385, -47.9920807 -23.8805979)",yes,
607167424,False,Rua Manoel Fogaça,secondary,False,120.095,,"LINESTRING (-47.9977853 -23.8767369, -47.9989176 -23.8764296)",,
607167424,False,Rua Manoel Fogaça,secondary,True,65.655,,"LINESTRING (-47.9977853 -23.8767369, -47.9971685 -23.8769116)",,
216851045,False,Rua Marechal Castelo Branco,residential,True,21.278,,"LINESTRING (-47.9994325 -23.8838996, -47.9996303 -23.8838371)",,
1058336534,False,Rua Doutor Júlio Prestes,secondary,True,66.154,,"LINESTRING (-47.9994325 -23.8838996, -47.9995479 -23.8844851)",,
1058336541,False,Rua Marechal Castelo Branco,secondary,False,53.667,,"LINESTRING (-47.9994325 -23.8838996, -47.9989336 -23.8840572)",,
1058336534,False,Rua Doutor Júlio Prestes,secondary,False,92.428,,"LINESTRING (-47.9994325 -23.8838996, -47.9993326 -23.8832344, -47.9993038 -23.8830768)",,
216670280,False,Avenida Marginal,residential,False,51.721,,"LINESTRING (-47.9916464 -23.8843717, -47.991502 -23.8839257)",,
"[597121304, 216891768, 597121303]",False,Avenida Nestor Fogaça,residential,True,63.567,,"LINESTRING (-47.9916464 -23.8843717, -47.9917789 -23.8843362, -47.9918287 -23.8843233, -47.9918717 -23.884308, -47.9919525 -23.8842797, -47.9922385 -23.884189)",yes,2
216670280,False,Avenida Marginal,residential,True,51.721,,"LINESTRING (-47.991502 -23.8839257, -47.9916464 -23.8843717)",,
216645831,False,Rua Edwirges Monteiro,residential,False,66.529,,"LINESTRING (-47.992451 -23.8792535, -47.9926599 -23.8798205)",,
216645831,False,Rua Edwirges Monteiro,residential,True,110.945,,"LINESTRING (-47.992451 -23.8792535, -47.9920923 -23.8783112)",,
