osmid,oneway,name,highway,maxspeed,reversed,length,lanes,ref,bridge,geometry,junction,access
659581028,False,Rua Moreira,secondary,40,True,22.615,,,,"LINESTRING (-41.1097733 -20.8494915, -41.1096112 -20.8496272)",,
"[25300897, 89289121, 89288852]",False,Ponte Municipal Fernando de Abreu,secondary,,"[False, True]",163.987,2,BR-482,yes,"LINESTRING (-41.1097733 -20.8494915, -41.1099206 -20.8496212, -41.1108333 -20.8501795, -41.111074 -20.8503219)",,
109863664,True,Avenida Monte Castelo,tertiary,40,False,206.569,,BR-482,,"LINESTRING (-41.1097733 -20.8494915, -41.10961 -20.8492969, -41.1093931 -20.8490439, -41.1089791 -20.8485995, -41.1086388 -20.8482795, -41.1084339 -20.8481253)",,
"[89289121, 25300897, 89288852]",False,Ponte Municipal Fernando de Abreu,secondary,,"[False, True]",163.987,2,BR-482,yes,"LINESTRING (-41.111074 -20.8503219, -41.1108333 -20.8501795, -41.1099206 -20.8496212, -41.1097733 -20.8494915)",,
776900498,True,Ponte Municipal Fernando de Abreu,tertiary,,False,21.027,,,,"LINESTRING (-41.111074 -20.8503219, -41.1111419 -20.8503296, -41.1112087 -20.8503216, -41.1112711 -20.8502998)",,
377233447,True,Praça Jerônimo Monteiro,secondary,,False,36.595,2,ES-164,,"LINESTRING (-41.1133739 -20.8483217, -41.1137123 -20.8482306)",,
377233448,True,Praça Jerônimo Monteiro,secondary,,False,16.59,2,,,"LINESTRING (-41.1133739 -20.8483217, -41.1133979 -20.8484692)",,
382511352,False,Rua Costa Pereira,tertiary,,True,34.548,,,,"LINESTRING (-41.1112074 -20.8523786, -41.1112725 -20.8523578, -41.1113347 -20.8523109, -41.1114439 -20.8521728)",,
136650590,False,Rua Vinte e Cinco de Março,tertiary,,True,204.553,,,,"LINESTRING (-41.1111383 -20.8505364, -41.1101108 -20.8521055)",,
300888908,True,Rua Vinte e Cinco de Março,tertiary,,False,29.708,,,,"LINESTRING (-41.1111383 -20.8505364, -41.1112711 -20.8502998)",,
