osmid,name,highway,oneway,reversed,length,geometry,bridge,ref,maxspeed
291942410,Rua Dona Amelia,residential,False,True,87.031,"LINESTRING (-42.8630747 -17.8532493, -42.8628869 -17.8540113)",,,
291942416,Rua Dona Vitória,residential,False,True,25.042,"LINESTRING (-42.8616149 -17.8535809, -42.8618441 -17.8536368)",,,
"[1027023890, 720629350]",Rua dos Martins,residential,False,False,166.894,"LINESTRING (-42.8616149 -17.8535809, -42.8611033 -17.8534995, -42.8611035 -17.8544177, -42.8611312 -17.8545027)",,,
1027023891,Rua dos Martins,residential,False,False,77.789,"LINESTRING (-42.8616149 -17.8535809, -42.8616234 -17.8539681, -42.8616336 -17.8540555, -42.861672 -17.8541461, -42.8617506 -17.8542483)",,,
291942416,Rua Dona Vitória,residential,False,False,25.042,"LINESTRING (-42.8618441 -17.8536368, -42.8616149 -17.8535809)",,,
291942416,Rua Dona Vitória,residential,False,True,117.965,"LINESTRING (-42.8618441 -17.8536368, -42.8628869 -17.8540113)",,,
291942410,Rua Dona Amelia,residential,False,False,87.031,"LINESTRING (-42.8628869 -17.8540113, -42.8630747 -17.8532493)",,,
291942416,Rua Dona Vitória,residential,False,False,117.965,"LINESTRING (-42.8628869 -17.8540113, -42.8618441 -17.8536368)",,,
291942549,Rua São Francisco,residential,False,False,40.254000000000005,"LINESTRING (-42.8617506 -17.8542483, -42.8619284 -17.8542926, -42.8621185 -17.8543401)",,,
"[630376868, 720629350]",Rua dos Martins,residential,False,"[False, True]",96.68,"LINESTRING (-42.8617506 -17.8542483, -42.86159 -17.8542149, -42.8615712 -17.8545085, -42.8611312 -17.8545027)",,,
1027023891,Rua dos Martins,residential,False,True,77.789,"LINESTRING (-42.8617506 -17.8542483, -42.861672 -17.8541461, -42.8616336 -17.8540555, -42.8616234 -17.8539681, -42.8616149 -17.8535809)",,,
291942572,Rua Turmalina,residential,False,True,57.483,"LINESTRING (-42.8564157 -17.854219, -42.8566068 -17.8547029)",,,
