osmid,oneway,highway,reversed,length,ref,junction,geometry,name,bridge
693741857,True,tertiary,False,81.106,,,"LINESTRING (-62.311646 -11.7262179, -62.3116478 -11.7269473)",,
693741860,True,primary,False,12.908,RO-481,roundabout,"LINESTRING (-62.311646 -11.7262179, -62.3115854 -11.7262331, -62.3115482 -11.7262304, -62.3115295 -11.7262305)",,
251616571,False,residential,False,13.044,,,"LINESTRING (-62.3194349 -11.7229097, -62.3193151 -11.7229083)",Rua Brasilia,
251616573,True,residential,False,81.08,,,"LINESTRING (-62.3194349 -11.7229097, -62.3194244 -11.7236388)",Avenida Governador Jorge Teixeira,
251616573,True,residential,False,83.556,,,"LINESTRING (-62.319425 -11.7261744, -62.3194177 -11.7269258)",Avenida Governador Jorge Teixeira,
693741867,True,primary,False,12.793,RO-481,,"LINESTRING (-62.319425 -11.7261744, -62.3193075 -11.7261735)",Avenida Juscelino Kubitschek,
250532454,False,residential,False,12.445,,,"LINESTRING (-62.3194479 -11.7199436, -62.3193337 -11.7199388)",Rua Riachuelo,
251616573,True,residential,False,78.676,,,"LINESTRING (-62.3194479 -11.7199436, -62.3194394 -11.7206511)",Avenida Governador Jorge Teixeira,
371991925,True,tertiary,False,76.938,,,"LINESTRING (-62.3116516 -11.7229718, -62.3116461 -11.7236637)",,
1137144843,False,residential,False,12.828,,,"LINESTRING (-62.3116516 -11.7229718, -62.3115338 -11.722974)",Rua Brasilia,
1137144843,False,residential,True,136.424,,,"LINESTRING (-62.3116516 -11.7229718, -62.3129046 -11.7229802)",Rua Brasilia,
371991925,True,tertiary,False,81.792,,,"LINESTRING (-62.3116443 -11.7199848, -62.3116605 -11.7207202)",,
740652061,False,residential,False,13.773,,,"LINESTRING (-62.3116443 -11.7199848, -62.3115178 -11.7199853)",Rua Riachuelo,
740652061,False,residential,True,138.634,,,"LINESTRING (-62.3116443 -11.7199848, -62.3129176 -11.7199906)",Rua Riachuelo,
371992346,False,residential,False,80.896,,,"LINESTRING (-62.3180313 -11.7261747, -62.3180182 -11.7269021)",Rua Canaa,
693741867,True,primary,False,9.739,RO-481,,"LINESTRING (-62.3180313 -11.7261747, -62.317942 -11.7261696)",Avenida Juscelino Kubitschek,
693741858,True,primary,False,135.831,RO-481,,"LINESTRING (-62.311661 -11.725918, -62.3129078 -11.7258745)",Avenida Juscelino Kubitschek,
693741860,True,primary,False,41.735,RO-481,roundabout,"LINESTRING (-62.311661 -11.725918, -62.311687 -11.7259341, -62.3117233 -11.7259733, -62.3117453 -11.7260216, -62.311751 -11.7260742, -62.3117396 -11.7261259, -62.3117124 -11.7261716, -62.311672 -11.7262068, -62.311646 -11.7262179)",,
