osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,access
394907895,Rua Humbelino Santana,residential,False,False,124.912,"LINESTRING (-39.4292057 -10.8219827, -39.4292927 -10.8231028)",,,
394907895,Rua Humbelino Santana,residential,False,True,54.204,"LINESTRING (-39.4292057 -10.8219827, -39.4291685 -10.8214966)",,,
394907908,Rua Governador Paulo Ganem Souto,residential,False,True,43.66,"LINESTRING (-39.4292057 -10.8219827, -39.4288361 -10.8221323)",,,
394907908,Rua Governador Paulo Ganem Souto,residential,False,False,62.312,"LINESTRING (-39.4292057 -10.8219827, -39.4294388 -10.8218993, -39.4295027 -10.8218764, -39.4297473 -10.8218076)",,,
421450515,Rua Newton Araújo Guimarães,residential,False,False,8.083,"LINESTRING (-39.4315334 -10.824632, -39.43154 -10.8247044)",,,
421450515,Rua Newton Araújo Guimarães,residential,False,True,79.337,"LINESTRING (-39.4315334 -10.824632, -39.4314616 -10.823922)",,,
951312008,Avenida Luís Eduardo Magalhães,secondary,True,False,125.16499999999999,"LINESTRING (-39.4315334 -10.824632, -39.4325186 -10.8245902, -39.4325944 -10.8245899, -39.4326772 -10.8246044)",1,BA-383,
394907918,Rua José Paulista,residential,False,False,7.474,"LINESTRING (-39.4299836 -10.824744, -39.4299891 -10.824811)",,,
412442821,Rua Maria Flora,secondary,True,False,32.573,"LINESTRING (-39.4299836 -10.824744, -39.4302802 -10.8247133)",1,BA-383,
394907918,Rua José Paulista,residential,False,True,115.076,"LINESTRING (-39.4299836 -10.824744, -39.4299195 -10.8238246, -39.4299185 -10.8237894, -39.4299162 -10.8237113)",,,
554907047,Rua Humbelino Santana,tertiary,False,False,7.717,"LINESTRING (-39.429394 -10.824801, -39.429404 -10.8248697)",,,yes
412442821,Rua Maria Flora,secondary,True,False,64.71600000000001,"LINESTRING (-39.429394 -10.824801, -39.4297285 -10.8247634, -39.4299836 -10.824744)",1,BA-383,
554907047,Rua Humbelino Santana,tertiary,False,True,91.62700000000001,"LINESTRING (-39.429394 -10.824801, -39.4293755 -10.8243273, -39.4293667 -10.8241627, -39.4293553 -10.8239779)",,,yes
412442821,Rua Maria Flora,secondary,True,False,83.263,"LINESTRING (-39.4282325 -10.8248941, -39.4289922 -10.8248315)",1,BA-383,
421597832,Rua Santa Luzia,residential,False,True,6.901,"LINESTRING (-39.4282325 -10.8248941, -39.4282402 -10.8249557)",,,
421597832,Rua Santa Luzia,residential,False,False,91.638,"LINESTRING (-39.4282325 -10.8248941, -39.4282018 -10.8243983, -39.4281949 -10.8242873, -39.4281834 -10.8240714)",,,
183093228,Rua Dep. Aroldo Cedraz,residential,False,True,71.507,"LINESTRING (-39.4304874 -10.8260981, -39.4304266 -10.8254578)",,,
421450488,Rua Dois de Julho,residential,False,False,43.423,"LINESTRING (-39.4304874 -10.8260981, -39.4300922 -10.8261408)",,,
421450488,Rua Dois de Julho,residential,False,True,44.293,"LINESTRING (-39.4304874 -10.8260981, -39.4308921 -10.8260722)",,,
