osmid,oneway,name,highway,maxspeed,reversed,length,junction,geometry,lanes,bridge
553112201,True,Avenida Brasil,secondary,40,False,94.998,,"LINESTRING (-53.72574 -26.0724635, -53.7257571 -26.0716093)",,
192247686,True,,secondary,40,False,10.478,roundabout,"LINESTRING (-53.72574 -26.0724635, -53.7258076 -26.0724653, -53.7258448 -26.0724674)",,
192247686,True,,secondary,40,False,8.421,roundabout,"LINESTRING (-53.7257861 -26.0731633, -53.7257018 -26.0731619)",,
553112198,True,Avenida Brasil,secondary,40,False,97.202,,"LINESTRING (-53.7257861 -26.0731633, -53.7257546 -26.074037)",,
192247686,True,,secondary,40,False,56.464999999999996,roundabout,"LINESTRING (-53.7257018 -26.0731619, -53.7256513 -26.073153, -53.7256026 -26.0731384, -53.7255565 -26.0731181, -53.7255137 -26.0730925, -53.7254749 -26.0730622, -53.725441 -26.0730275, -53.7254124 -26.0729891, -53.7253897 -26.0729478, -53.7253731 -26.072904, -53.7253631 -26.0728588, -53.7253598 -26.0728127)",,
553112196,True,,secondary,40,False,6.545,roundabout,"LINESTRING (-53.7257255 -26.0751197, -53.7257367 -26.0751304, -53.7257449 -26.0751432, -53.7257495 -26.0751573, -53.7257502 -26.075172)",1,
553112195,True,Avenida Brasil,secondary,40,False,108.55,,"LINESTRING (-53.7256355 -26.0751207, -53.725663 -26.0741448)",,
553112196,True,,secondary,40,False,9.752,roundabout,"LINESTRING (-53.7256355 -26.0751207, -53.7256519 -26.0751111, -53.7256705 -26.075106, -53.72569 -26.0751058, -53.7257089 -26.0751105, -53.7257255 -26.0751197)",1,
192247688,False,Rua Jesuino Teodorico de Andrade,tertiary,40,False,131.2,,"LINESTRING (-53.7270632 -26.0752081, -53.7257502 -26.075172)",,
192247688,False,Rua Jesuino Teodorico de Andrade,tertiary,40,True,140.096,,"LINESTRING (-53.7270632 -26.0752081, -53.728465 -26.0752528)",,
286763366,False,Rua Presidente Vargas,residential,,False,119.259,,"LINESTRING (-53.7270632 -26.0752081, -53.7270226 -26.07628)",,
286763366,False,Rua Presidente Vargas,residential,,True,121.116,,"LINESTRING (-53.7270632 -26.0752081, -53.7271042 -26.0741195)",,
363967000,True,Avenida Brasil,tertiary,40,False,40.738,,"LINESTRING (-53.7255994 -26.0755765, -53.7256319 -26.0752113)",,
961804760,False,,tertiary_link,,True,13.546,,"LINESTRING (-53.7255994 -26.0755765, -53.7257348 -26.0755836)",,
192247684,True,Avenida Brasil,tertiary,40,False,74.176,,"LINESTRING (-53.7257348 -26.0755836, -53.7257097 -26.0762503)",,
961804760,False,,tertiary_link,,False,13.546,,"LINESTRING (-53.7257348 -26.0755836, -53.7255994 -26.0755765)",,
961593169,False,Rua Afonso Arrachea,residential,,False,118.138,,"LINESTRING (-53.7246833 -26.0683352, -53.7258644 -26.0683914)",,
286760335,False,Avenida Prefeito Percy Schereiner,tertiary,40,True,161.07,,"LINESTRING (-53.7246833 -26.0683352, -53.7246613 -26.0687617, -53.7246229 -26.0689908, -53.7245723 -26.0691205, -53.7244843 -26.0693006, -53.7244548 -26.0693566, -53.7242504 -26.069705)",,
"[961593169, 553112174, 553112175]",False,Rua Afonso Arrachea,residential,,True,196.316,,"LINESTRING (-53.7246833 -26.0683352, -53.7235843 -26.0683162, -53.7234982 -26.0683144, -53.7227183 -26.0683314)",,yes
553112175,False,Rua Afonso Arrachea,residential,,False,83.104,,"LINESTRING (-53.7215113 -26.0683598, -53.7223431 -26.0683429)",,
553112175,False,Rua Afonso Arrachea,residential,,True,53.638,,"LINESTRING (-53.7215113 -26.0683598, -53.7209746 -26.068376)",,
961593169,False,Rua Afonso Arrachea,residential,,True,118.138,,"LINESTRING (-53.7258644 -26.0683914, -53.7246833 -26.0683352)",,
961593168,True,Rua Afonso Arrachea,residential,,False,13.53,,"LINESTRING (-53.7258644 -26.0683914, -53.7258878 -26.0683707, -53.7259208 -26.0683635, -53.7259534 -26.0683718, -53.7259782 -26.0683937)",,
553112175,False,Rua Afonso Arrachea,residential,,False,53.638,,"LINESTRING (-53.7209746 -26.068376, -53.7215113 -26.0683598)",,
286760335,False,Avenida Prefeito Percy Schereiner,tertiary,40,True,140.652,,"LINESTRING (-53.7242504 -26.069705, -53.7233458 -26.0706744)",,
421937209,False,Rua Santos Dumont,residential,,False,107.938,,"LINESTRING (-53.7242504 -26.069705, -53.723221 -26.0694096)",,
421937209,False,Rua Santos Dumont,residential,,True,82.657,,"LINESTRING (-53.7242504 -26.069705, -53.7250348 -26.0699419)",,
