osmid,oneway,name,highway,reversed,length,lanes,ref,geometry,junction
934627260,True,Rua Júlio Ribeiro Tavares,primary,False,64.46,,,"LINESTRING (-47.4389977 -1.7728007, -47.4394617 -1.7731485)",
407100591,False,Rua Júlio Ribeiro Tavares,primary,True,131.937,2,PA-253,"LINESTRING (-47.4389977 -1.7728007, -47.4384137 -1.7721821, -47.4381753 -1.7719452)",
136997856,False,Rua Nilo Batista Gonzaga,residential,False,48.486,,,"LINESTRING (-47.4421305 -1.7699611, -47.4418813 -1.7696032)",
407100596,False,Travessa Coronel João Câncio,tertiary,True,36.764,,,"LINESTRING (-47.4421305 -1.7699611, -47.4422975 -1.7702465)",
407100588,False,Rua Carlos Mourão,residential,False,85.071,,,"LINESTRING (-47.4400952 -1.769458, -47.4395505 -1.7699955)",
407100588,False,Rua Carlos Mourão,residential,True,175.931,,,"LINESTRING (-47.4400952 -1.769458, -47.4414317 -1.7686102)",
613090846,False,Rua Marechal,residential,False,112.511,,,"LINESTRING (-47.4400952 -1.769458, -47.439447 -1.7686808)",
407100588,False,Rua Carlos Mourão,residential,False,90.956,,,"LINESTRING (-47.4395505 -1.7699955, -47.4389789 -1.7705809)",
407100588,False,Rua Carlos Mourão,residential,True,85.071,,,"LINESTRING (-47.4395505 -1.7699955, -47.4400952 -1.769458)",
613090825,False,Travessa Júlio Ribeiro Taváres,residential,False,108.081,,,"LINESTRING (-47.4395505 -1.7699955, -47.4388291 -1.7693437)",
613090825,False,Travessa Júlio Ribeiro Taváres,residential,True,139.912,,,"LINESTRING (-47.4395505 -1.7699955, -47.4404697 -1.7708552)",
407100565,False,Avenida João dos Anjos dos Reis,primary,False,151.264,2,PA-253,"LINESTRING (-47.4403784 -1.7676889, -47.439447 -1.7686808)",
407100597,False,Rua Carlos Mourão,residential,True,155.561,,,"LINESTRING (-47.4403784 -1.7676889, -47.4414317 -1.7686102)",
407100565,False,Avenida João dos Anjos dos Reis,primary,True,100.745,2,PA-253,"LINESTRING (-47.4388291 -1.7693437, -47.439447 -1.7686808)",
613090825,False,Travessa Júlio Ribeiro Taváres,residential,True,108.081,,,"LINESTRING (-47.4388291 -1.7693437, -47.4395505 -1.7699955)",
407100565,False,Avenida João dos Anjos dos Reis,primary,False,85.993,2,PA-253,"LINESTRING (-47.4388291 -1.7693437, -47.4384248 -1.7697611, -47.4382909 -1.7698993)",
407100564,False,Avenida João dos Anjos dos Reis,residential,False,82.215,,,"LINESTRING (-47.4372402 -1.7709844, -47.4367239 -1.7715139)",
407100565,False,Avenida João dos Anjos dos Reis,primary,True,44.428,2,PA-253,"LINESTRING (-47.4372402 -1.7709844, -47.4373307 -1.7708671, -47.4374078 -1.7707793, -47.4375024 -1.7706835)",
407100590,False,Rua Júlio Ribeiro Tavares,residential,True,135.44,,,"LINESTRING (-47.4372402 -1.7709844, -47.4365929 -1.7703266, -47.4363957 -1.7701066)",
407100591,False,Rua Júlio Ribeiro Tavares,primary,False,110.419,2,PA-253,"LINESTRING (-47.4372402 -1.7709844, -47.4375721 -1.7713276, -47.4378135 -1.7715798, -47.4379288 -1.7717002)",
934627259,False,Rua Bom Sucesso,primary,True,62.56,2,,"LINESTRING (-47.4390319 -1.7735118, -47.4394617 -1.7731485)",
407100563,False,Avenida José de Vieira Cordeiro,primary,False,376.54900000000004,2,PA-253,"LINESTRING (-47.4390319 -1.7735118, -47.4383976 -1.7740219, -47.4379869 -1.7743157, -47.4375942 -1.7745412, -47.4372896 -1.7746611, -47.4370942 -1.7747292, -47.4370163 -1.7747564, -47.4360718 -1.7750821)",
934627258,True,Avenida José de Vieira Cordeiro,primary,False,84.579,,PA-253,"LINESTRING (-47.4390319 -1.7735118, -47.4390976 -1.7733811, -47.4391318 -1.7732478, -47.4391318 -1.7731265, -47.4390943 -1.7729736, -47.4389977 -1.7728007)",
407100589,False,Rua Júlio Oliveira,residential,True,86.72399999999999,,,"LINESTRING (-47.4358564 -1.7684699, -47.4359822 -1.7687766, -47.4360332 -1.7689898, -47.4360761 -1.769215)",
407100588,False,Rua Carlos Mourão,residential,False,175.931,,,"LINESTRING (-47.4414317 -1.7686102, -47.4400952 -1.769458)",
407100597,False,Rua Carlos Mourão,residential,False,155.561,,,"LINESTRING (-47.4414317 -1.7686102, -47.4403784 -1.7676889)",
407100597,False,Rua Carlos Mourão,residential,True,28.831,,,"LINESTRING (-47.4414317 -1.7686102, -47.4416292 -1.7687783)",
407100597,False,Rua Carlos Mourão,residential,False,28.831,,,"LINESTRING (-47.4416292 -1.7687783, -47.4414317 -1.7686102)",
613090839,False,Travessa Coronel João Câncio,residential,True,96.157,,,"LINESTRING (-47.4416292 -1.7687783, -47.4417644 -1.7693222, -47.4418813 -1.7696032)",
613090843,False,Rua Nilo Batista Gonzaga,residential,True,300.584,,,"LINESTRING (-47.4416292 -1.7687783, -47.4435054 -1.7687482, -47.4443327 -1.7687129)",
407100578,False,Rua Carlos Mourão,residential,False,46.903,,,"LINESTRING (-47.4364784 -1.7690876, -47.4360761 -1.769215)",
407100585,False,,residential,False,99.674,,,"LINESTRING (-47.4364784 -1.7690876, -47.4371235 -1.7697103)",
"[407100578, 407100579]",False,"['Travessa Márciano Rodrigues', 'Rua Carlos Mourão']",residential,True,147.993,,,"LINESTRING (-47.4364784 -1.7690876, -47.4371352 -1.768837, -47.4371805 -1.7688343, -47.4372295 -1.7688443, -47.437271 -1.7688718, -47.4376211 -1.7692049)",
613090840,False,Travessa Manoel L. CUnha,residential,True,129.04399999999998,,,"LINESTRING (-47.4429246 -1.7690943, -47.4423164 -1.7693803, -47.4418813 -1.7696032)",
