osmid,name,highway,oneway,reversed,length,geometry,bridge,lanes,ref,maxspeed,tunnel
295952214,Rua Paraíba,residential,False,False,147.415,"LINESTRING (-35.2403735 -7.3752338, -35.2414919 -7.3745076)",,,,,
475400282,Rua Projetada III,residential,False,True,45.554,"LINESTRING (-35.2403735 -7.3752338, -35.240605 -7.3755731)",,,,,
1081171040,Rua Pernambuco,residential,False,False,32.976,"LINESTRING (-35.2403735 -7.3752338, -35.2401101 -7.3753742)",,,,,
295951368,Rua Carlos Gomes,residential,False,False,92.743,"LINESTRING (-35.2439676 -7.371702, -35.2431816 -7.3719987)",,,,,
1052341569,Rua Projetada VI,residential,False,False,48.003,"LINESTRING (-35.2439676 -7.371702, -35.2440025 -7.3718084, -35.2441054 -7.3721115)",,,,,
"[295951264, 1052341569, 1052341570]",Rua Projetada VI,residential,False,True,74.322,"LINESTRING (-35.2439676 -7.371702, -35.2438818 -7.3714451, -35.2438562 -7.3713683, -35.2437557 -7.3710675)",yes,,,,
295951366,Rua Senador Rui Carneiro,residential,False,False,88.513,"LINESTRING (-35.2441054 -7.3721115, -35.2433614 -7.3724102)",,,,,
1052341569,Rua Projetada VI,residential,False,True,48.003,"LINESTRING (-35.2441054 -7.3721115, -35.2440025 -7.3718084, -35.2439676 -7.371702)",,,,,
295951483,Avenida Brasil,primary,False,True,24.004,"LINESTRING (-35.2369912 -7.3759766, -35.2371555 -7.375835)",,2,PB-066;BR-408,40,
295951483,Avenida Brasil,primary,False,False,132.655,"LINESTRING (-35.2369912 -7.3759766, -35.2363152 -7.376532, -35.2360632 -7.3767357)",,2,PB-066;BR-408,40,
"[295952337, 1059703987, 1059703988]",Primeira Travessa da Avenida Brasil,residential,False,False,76.08099999999999,"LINESTRING (-35.2369912 -7.3759766, -35.2371427 -7.3761947, -35.2371769 -7.3762505, -35.2371973 -7.3762961, -35.2372969 -7.3765838)",,,,,culvert
475400272,Rua Pernambuco,tertiary,False,True,52.531,"LINESTRING (-35.2352235 -7.3772541, -35.2356744 -7.3771017)",,,,,
"[816820755, 816820756, 295951483]",Avenida Brasil,primary,False,True,81.222,"LINESTRING (-35.2352235 -7.3772541, -35.235641 -7.3770483, -35.2356856 -7.377023, -35.2357198 -7.3770011, -35.2357892 -7.3769531, -35.2358422 -7.3769113, -35.2358618 -7.3768945)",yes,2,PB-066;BR-408,40,
295951488,Avenida Liberdade,residential,False,False,63.106,"LINESTRING (-35.2404417 -7.3720595, -35.2399752 -7.3723882)",,,,,
295951488,Avenida Liberdade,residential,False,True,37.862,"LINESTRING (-35.2404417 -7.3720595, -35.2407203 -7.3718605)",,,,,
295951489,Rua José Bonifácio,residential,False,False,162.29,"LINESTRING (-35.2404417 -7.3720595, -35.2411191 -7.3733552)",,,,,
816481221,,residential,False,True,8.965,"LINESTRING (-35.2404417 -7.3720595, -35.2403943 -7.371994)",,,,,
295951366,Rua Senador Rui Carneiro,residential,False,False,65.975,"LINESTRING (-35.2411191 -7.3733552, -35.2405679 -7.3735859)",,,,,
295951366,Rua Senador Rui Carneiro,residential,False,True,72.162,"LINESTRING (-35.2411191 -7.3733552, -35.2417246 -7.3731091)",,,,,
295951489,Rua José Bonifácio,residential,False,True,162.29,"LINESTRING (-35.2411191 -7.3733552, -35.2404417 -7.3720595)",,,,,
295951488,Avenida Liberdade,residential,False,True,63.106,"LINESTRING (-35.2399752 -7.3723882, -35.2404417 -7.3720595)",,,,,
295951492,Rua Sete de Setembro,residential,False,False,148.352,"LINESTRING (-35.2399752 -7.3723882, -35.2405679 -7.3735859)",,,,,
816481222,,residential,False,True,10.361,"LINESTRING (-35.2399752 -7.3723882, -35.2399337 -7.3723046)",,,,,
295951488,Avenida Liberdade,residential,False,False,60.349999999999994,"LINESTRING (-35.2399752 -7.3723882, -35.2395876 -7.372609, -35.239546 -7.3726363, -35.2395038 -7.3726636)",,,,,
295951366,Rua Senador Rui Carneiro,residential,False,True,65.975,"LINESTRING (-35.2405679 -7.3735859, -35.2411191 -7.3733552)",,,,,
295951492,Rua Sete de Setembro,residential,False,True,148.352,"LINESTRING (-35.2405679 -7.3735859, -35.2399752 -7.3723882)",,,,,
295951366,Rua Senador Rui Carneiro,residential,False,False,97.674,"LINESTRING (-35.2405679 -7.3735859, -35.2402387 -7.3737375, -35.2400891 -7.3738027, -35.2399289 -7.3738606, -35.2397465 -7.3739091)",,,,,
299783744,Avenida Brasil,primary,True,False,69.184,"LINESTRING (-35.2440024 -7.3728484, -35.2434279 -7.3730984)",,2,PB-066;BR-408,40,
816741449,,primary_link,False,True,6.442,"LINESTRING (-35.2440024 -7.3728484, -35.2439777 -7.3727959)",,,,,
295951728,Avenida Brasil,primary,True,False,15.856,"LINESTRING (-35.2383303 -7.375261, -35.2381963 -7.3753127)",,2,PB-066;BR-408,40,
816496063,,residential,False,False,6.751,"LINESTRING (-35.2383303 -7.375261, -35.2383095 -7.3752039)",,,,,
816755644,,residential,False,True,4.962,"LINESTRING (-35.2381963 -7.3753127, -35.2381811 -7.3752707)",,,,,
816755994,Avenida Brasil,primary,True,False,7.136,"LINESTRING (-35.2381963 -7.3753127, -35.2381316 -7.3753138)",,2,PB-066;BR-408,40,
"[1053739698, 1053739699, 295952335]",Rua Largo do Pará,residential,False,True,90.05,"LINESTRING (-35.2381963 -7.3753127, -35.2383954 -7.3757385, -35.2384164 -7.3757835, -35.2385398 -7.3760474)",yes,,,,
