osmid,name,highway,oneway,reversed,length,geometry,junction
276988962,Rua 31 de Maio,residential,False,False,95.393,"LINESTRING (-36.5048489 -9.7429016, -36.5043277 -9.7422145)",
276989002,Rua Trinta e Um de Maio,residential,False,False,88.488,"LINESTRING (-36.5048489 -9.7429016, -36.5040762 -9.7431325)",
276988973,Rua José Barbosa,residential,False,False,40.182,"LINESTRING (-36.5040762 -9.7431325, -36.5040444 -9.7427725)",
276988973,Rua José Barbosa,residential,False,True,26.274,"LINESTRING (-36.5040762 -9.7431325, -36.5040916 -9.7433683)",
276989002,Rua Trinta e Um de Maio,residential,False,True,88.488,"LINESTRING (-36.5040762 -9.7431325, -36.5048489 -9.7429016)",
465243093,Rua do Antiho Matadouro,residential,False,True,72.23,"LINESTRING (-36.5034076 -9.74294, -36.5040444 -9.7427725)",
276988973,Rua José Barbosa,residential,False,False,50.833,"LINESTRING (-36.5040444 -9.7427725, -36.5040238 -9.7423158)",
276988973,Rua José Barbosa,residential,False,True,40.182,"LINESTRING (-36.5040444 -9.7427725, -36.5040762 -9.7431325)",
465243093,Rua do Antiho Matadouro,residential,False,False,72.23,"LINESTRING (-36.5040444 -9.7427725, -36.5034076 -9.74294)",
276988973,Rua José Barbosa,residential,False,False,26.274,"LINESTRING (-36.5040916 -9.7433683, -36.5040762 -9.7431325)",
276988949,Avenida Antônio Rodrigues,residential,False,False,43.002,"LINESTRING (-36.5033319 -9.7392194, -36.5035601 -9.739534)",
1185583679,Avenida Major Luiz Carlos,residential,False,False,38.123,"LINESTRING (-36.5033319 -9.7392194, -36.5036789 -9.7391953)",
276988949,Avenida Antônio Rodrigues,residential,False,True,157.864,"LINESTRING (-36.5033319 -9.7392194, -36.5026719 -9.7383968, -36.5023197 -9.7385277)",
1185583679,Avenida Major Luiz Carlos,residential,False,True,38.123,"LINESTRING (-36.5036789 -9.7391953, -36.5033319 -9.7392194)",
1185583680,Avenida Major Luiz Carlos,residential,False,False,39.849,"LINESTRING (-36.5036789 -9.7391953, -36.5035601 -9.739534)",
"[276988983, 1185583679]","['Avenida Major Luiz Carlos', 'Rua Senador Freitas Cavalcante']",residential,False,"[False, True]",203.655,"LINESTRING (-36.5036789 -9.7391953, -36.504651 -9.7387174, -36.5049979 -9.7393971)",
276988949,Avenida Antônio Rodrigues,residential,False,False,71.248,"LINESTRING (-36.5035601 -9.739534, -36.5039571 -9.7400414)",
276988949,Avenida Antônio Rodrigues,residential,False,True,43.002,"LINESTRING (-36.5035601 -9.739534, -36.5033319 -9.7392194)",
1185583680,Avenida Major Luiz Carlos,residential,False,True,39.849,"LINESTRING (-36.5035601 -9.739534, -36.5036789 -9.7391953)",
