osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,lanes,name,junction,tunnel,bridge
"[179373034, 137878972]",True,MG-050,motorway_link,60,False,467.894,"LINESTRING (-44.3375735 -19.9576738, -44.3376942 -19.9576688, -44.337882 -19.9576757, -44.3391627 -19.9577476, -44.340705 -19.9578245, -44.3413192 -19.9578497, -44.3414909 -19.9578459, -44.3416491 -19.9578169, -44.3420126 -19.957677)",,,,,
230125474,True,MG-050,primary,60,False,99.66,"LINESTRING (-44.3375735 -19.9576738, -44.3380063 -19.957839, -44.3381656 -19.9579133, -44.3382964 -19.9579858, -44.3384198 -19.9580766)",1,Rodovia Raimundo Gabriel de Rezende,,,
554949591,False,MG-050,trunk,60,True,3.549,"LINESTRING (-44.3384198 -19.9580766, -44.3384477 -19.9580948)",2,Rodovia Raimundo Gabriel de Rezende,,,
223275570,True,MG-050,primary,60,False,129.679,"LINESTRING (-44.3384198 -19.9580766, -44.3383198 -19.9580375, -44.3382233 -19.9580041, -44.3381408 -19.9579808, -44.3380402 -19.9579619, -44.3378954 -19.9579492, -44.3377532 -19.9579398, -44.3376017 -19.9579215, -44.3374528 -19.9578944, -44.3373509 -19.957873, -44.3372134 -19.9578326)",1,Rodovia Raimundo Gabriel de Rezende,,,
223275570,True,MG-050,primary,60,False,68.174,"LINESTRING (-44.3372134 -19.9578326, -44.3368343 -19.9577016, -44.3366046 -19.9576128)",1,Rodovia Raimundo Gabriel de Rezende,,,
283809745,False,,residential,,True,16.822,"LINESTRING (-44.3425408 -19.9574838, -44.3426675 -19.9575771)",,,,,
523003113,True,BR-262,motorway,80,False,65.71000000000001,"LINESTRING (-44.3425408 -19.9574838, -44.3422419 -19.9576505, -44.3419978 -19.9577816)",2,,,,
523003113,True,BR-262,motorway,80,False,118.687,"LINESTRING (-44.3419978 -19.9577816, -44.3418241 -19.9578827, -44.3416475 -19.9579811, -44.3411778 -19.958247, -44.3410268 -19.958335)",2,,,,
99063015,True,BR-262,motorway,80,False,154.12099999999998,"LINESTRING (-44.3407492 -19.9583917, -44.341047 -19.9582203, -44.3416223 -19.9578925, -44.3420126 -19.957677)",2,,,,
230125499,True,,primary,40,False,39.211999999999996,"LINESTRING (-44.3365906 -19.9571515, -44.3366828 -19.9571355, -44.3367751 -19.9571513, -44.3368554 -19.9571968, -44.3369133 -19.9572662)",,,roundabout,,
417435214,True,,residential,,False,108.03900000000002,"LINESTRING (-44.3365906 -19.9571515, -44.3368374 -19.95701, -44.3370746 -19.9568765, -44.3373153 -19.9567517, -44.3373804 -19.9567189, -44.3374887 -19.9566717)",,Avenida Tanus Saliba,,,
230125499,True,,primary,40,False,9.841,"LINESTRING (-44.3365101 -19.9571974, -44.3365906 -19.9571515)",,,roundabout,,
230125474,True,MG-050,primary,60,False,72.74199999999999,"LINESTRING (-44.3369305 -19.9573048, -44.3369707 -19.9573662, -44.3370171 -19.9574138, -44.337092 -19.9574614, -44.3371812 -19.9575062, -44.3373817 -19.9575963, -44.3375064 -19.9576492)",1,Rodovia Raimundo Gabriel de Rezende,,,
230125499,True,,primary,40,False,59.18,"LINESTRING (-44.3369305 -19.9573048, -44.3369428 -19.9573927, -44.3369208 -19.957479, -44.3368675 -19.9575522, -44.3367899 -19.9576027, -44.3366982 -19.9576238, -44.3366046 -19.9576128)",,,roundabout,,
230125499,True,,primary,40,False,45.687,"LINESTRING (-44.3365109 -19.9575629, -44.3364561 -19.9574989, -44.3364269 -19.9574214, -44.3364268 -19.9573393, -44.3364556 -19.9572617, -44.3365101 -19.9571974)",,,roundabout,,
