osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,bridge,width
509363760,2,Rua São Joaquim,primary,False,True,83.68,,"LINESTRING (-47.1398318 -23.5344025, -47.1391475 -23.5348181)",,
5108826,2,Rua Quintino Bocaiúva,primary,False,False,89.28,50,"LINESTRING (-47.1398318 -23.5344025, -47.1396626 -23.5338838, -47.1395708 -23.5336362)",,
169658836,2,Rua Ângelo Meneguesso,primary,True,False,25.439,,"LINESTRING (-47.1394883 -23.5321953, -47.139636 -23.5320109)",,
1010059124,,,primary_link,True,False,24.573,,"LINESTRING (-47.1394883 -23.5321953, -47.1395844 -23.5322326, -47.1396351 -23.532262, -47.1396902 -23.5323109)",,
178301530,1,,secondary_link,True,False,27.086000000000002,20,"LINESTRING (-47.1368136 -23.5323038, -47.1368273 -23.5322442, -47.1368094 -23.5321855, -47.1367639 -23.5321411, -47.1367013 -23.532121)",,
277462899,2,Avenida Antonino Dias Bastos,secondary,True,False,53.901999999999994,50,"LINESTRING (-47.1368136 -23.5323038, -47.136906 -23.5321814, -47.1370357 -23.5320152, -47.1371067 -23.5319009)",,
178301430,,Rua São Pedro,residential,False,False,19.807,,"LINESTRING (-47.1316344 -23.5322381, -47.1314706 -23.5321423)",,
275375715,2,Avenida Aracaí,secondary,True,False,88.99,50,"LINESTRING (-47.1316344 -23.5322381, -47.1308475 -23.5325845)",,
178301430,,Rua São Pedro,residential,False,True,170.73,,"LINESTRING (-47.1316344 -23.5322381, -47.1317808 -23.5322827, -47.1318932 -23.5323161, -47.1319499 -23.5323263, -47.1320049 -23.5323422, -47.1327256 -23.532619, -47.132786 -23.5326295, -47.1328242 -23.5326178, -47.1328671 -23.5325766, -47.1329994 -23.5322879)",,
231355245,2,Rua Sotero de Souza,residential,False,True,112.22999999999999,40,"LINESTRING (-47.1356018 -23.5316163, -47.1357808 -23.5320193, -47.1360169 -23.5325511)",,
1010358835,2,Rua Padre Marçal,residential,True,False,105.192,40,"LINESTRING (-47.1356018 -23.5316163, -47.1355525 -23.5316832, -47.1351695 -23.5322041, -47.135025 -23.5324007)",,
178301517,2,Avenida John Kennedy,secondary,True,False,131.779,50,"LINESTRING (-47.1333103 -23.5275908, -47.1325032 -23.5281639, -47.132476 -23.5281862, -47.132378 -23.5282595, -47.1323655 -23.5282766, -47.1323575 -23.5282986, -47.1323428 -23.5283529)",,
231355246,2,Avenida Tiradentes,residential,False,False,110.88900000000001,40,"LINESTRING (-47.1333103 -23.5275908, -47.1333599 -23.5276477, -47.1336964 -23.5280341, -47.1339891 -23.52837)",,
231355244,1,Rua Sete de Setembro,secondary,True,False,38.489,40,"LINESTRING (-47.1363581 -23.5298862, -47.1366191 -23.5298377, -47.1367281 -23.5298174)",,
275375719,1,Rua Doutor Stevaux,residential,True,False,31.351000000000003,40,"LINESTRING (-47.133277 -23.5292521, -47.1331312 -23.5291638, -47.1330668 -23.5291248, -47.1330204 -23.5290967)",,
178301369,2,Ponte Pedro Antonio Gonçalves,residential,False,False,19.448999999999998,40,"LINESTRING (-47.1323654 -23.5312565, -47.1325035 -23.5312491, -47.1325558 -23.5312456)",yes,
275375717,2,Avenida John Kennedy,secondary,True,False,169.06400000000002,50,"LINESTRING (-47.1323654 -23.5312565, -47.1324116 -23.5311649, -47.1324293 -23.531077, -47.1324179 -23.5309326, -47.1324072 -23.5307827, -47.1323994 -23.5306746, -47.1323332 -23.5297498)",,
1010357444,,Avenida Santa Rita,residential,True,False,126.768,,"LINESTRING (-47.1323654 -23.5312565, -47.1322698 -23.5312625, -47.1321362 -23.5312842, -47.1320356 -23.5313207, -47.1319498 -23.5313519, -47.1315261 -23.5315438, -47.1313772 -23.5316113, -47.1313678 -23.5316152, -47.1312425 -23.53171)",,
554946929,1,Rua XV de Novembro,secondary,True,False,54.282000000000004,40,"LINESTRING (-47.1350442 -23.5310858, -47.13519 -23.5309842, -47.1353046 -23.5308943, -47.1353791 -23.5308359, -47.1354568 -23.5307775)",,
178301365,,Rua Quirino Capuzzo,residential,True,False,95.955,,"LINESTRING (-47.1329994 -23.5322879, -47.1329475 -23.532273, -47.1322539 -23.5320733, -47.1321014 -23.5320294)",,
