osmid,oneway,highway,junction,reversed,length,ref,name,geometry,lanes,maxspeed
125234238,True,tertiary,roundabout,False,3.705,,,"LINESTRING (-51.3662043 -23.3100804, -51.3661823 -23.3101069)",,
364853713,False,primary,,False,141.229,BR-369,Avenida Presidente Getúlio Vargas,"LINESTRING (-51.3667317 -23.3076022, -51.3677501 -23.3084615)",,
826202719,False,residential,,True,118.193,,Rua Willi Davids,"LINESTRING (-51.3667317 -23.3076022, -51.3659452 -23.308382)",,
106665775,True,primary,,False,74.226,BR-369,Avenida Presidente Getúlio Vargas,"LINESTRING (-51.3687657 -23.3092894, -51.3692716 -23.3097687)",,
364853713,False,primary,,True,138.676,BR-369,Avenida Presidente Getúlio Vargas,"LINESTRING (-51.3687657 -23.3092894, -51.3677501 -23.3084615)",,
125234226,False,residential,,False,123.607,,Rua Monteiero Lobato,"LINESTRING (-51.3687657 -23.3092894, -51.3681378 -23.3099377, -51.3680632 -23.3100127, -51.3679614 -23.3101201)",,
104970953,False,primary,,False,139.869,BR-369,Avenida Presidente Getúlio Vargas,"LINESTRING (-51.3708013 -23.3110954, -51.3718251 -23.311931)",,
106665793,True,primary,,False,89.282,BR-369,Avenida Presidente Getúlio Vargas,"LINESTRING (-51.3708013 -23.3110954, -51.3705323 -23.310993, -51.3701482 -23.3108644, -51.3699943 -23.3107893)",,
721718544,False,residential,,True,121.12,,Rua Duque de Caxias,"LINESTRING (-51.3708013 -23.3110954, -51.3705839 -23.3113068, -51.3703233 -23.3115602, -51.3699869 -23.3118873)",2,
106665793,True,primary,,False,34.3,BR-369,Avenida Presidente Getúlio Vargas,"LINESTRING (-51.3693386 -23.3102333, -51.3691492 -23.3100579, -51.3691011 -23.3100152)",,
696792062,True,tertiary,,False,121.016,,Avenida Dos Expedicionários,"LINESTRING (-51.3689358 -23.31104, -51.368132 -23.3118397)",1,
721718543,True,tertiary,,False,6.506,,Avenida Tiradentes,"LINESTRING (-51.3689358 -23.31104, -51.3688892 -23.3110001)",,
106665793,True,primary,,False,39.528000000000006,BR-369,Avenida Presidente Getúlio Vargas,"LINESTRING (-51.3699943 -23.3107893, -51.3699765 -23.3107738, -51.3697128 -23.3105453)",,
125258130,False,residential,,False,56.55,,Rua Capitão Chagas,"LINESTRING (-51.3644096 -23.3084959, -51.3644332 -23.3079878)",,
125258130,False,residential,,True,9.85,,Rua Capitão Chagas,"LINESTRING (-51.3644096 -23.3084959, -51.3644019 -23.3085842)",,
106665768,True,tertiary,,False,106.564,,Avenida Interventor Manoel Ribas,"LINESTRING (-51.3644096 -23.3084959, -51.3645856 -23.3086446, -51.3650496 -23.3090732, -51.3651475 -23.309173)",1,50
106665775,True,primary,,False,126.28399999999999,BR-369,Avenida Presidente Getúlio Vargas,"LINESTRING (-51.3692716 -23.3097687, -51.3693782 -23.3098645, -51.3701819 -23.3105373)",,
721718546,True,residential,,False,120.563,,Rua Duque de Caxias,"LINESTRING (-51.3691577 -23.3127154, -51.3683179 -23.3134775)",2,
705174454,True,tertiary,,False,129.132,,Avenida Interventor Manoel Ribas,"LINESTRING (-51.3691577 -23.3127154, -51.3700369 -23.3134603, -51.3700834 -23.3135063)",,
106665775,True,primary,,False,88.612,BR-369,Avenida Presidente Getúlio Vargas,"LINESTRING (-51.3701819 -23.3105373, -51.3708013 -23.3110954)",,
106665795,True,primary_link,,False,50.062999999999995,,,"LINESTRING (-51.3701819 -23.3105373, -51.3702274 -23.3105936, -51.3702467 -23.3106163, -51.3702543 -23.3106477, -51.3702474 -23.3106817, -51.3702324 -23.3107096, -51.3702183 -23.310734, -51.3701986 -23.3107558, -51.3701736 -23.3107714, -51.3700868 -23.3107987, -51.3699943 -23.3107893)",1,40
721718545,True,tertiary,,False,140.145,,Avenida Presidente Bernades,"LINESTRING (-51.362734 -23.3115618, -51.3637227 -23.3124359)",1,
722073373,False,residential,,False,121.257,,Rua Willi Davids,"LINESTRING (-51.362734 -23.3115618, -51.3635414 -23.3107622)",,
722073373,False,residential,,True,10.755,,Rua Willi Davids,"LINESTRING (-51.362734 -23.3115618, -51.3626619 -23.3116323)",,
705174457,True,tertiary,,False,7.298,,Avenida dos Expedicionários,"LINESTRING (-51.3657613 -23.3141945, -51.3657098 -23.31424)",1,
721718550,True,tertiary,,False,58.171,,Avenida Presidente Bernades,"LINESTRING (-51.3657613 -23.3141945, -51.3661695 -23.3145594)",1,
106665770,True,primary_link,,False,37.602000000000004,,,"LINESTRING (-51.3691011 -23.3100152, -51.3691055 -23.309904, -51.3691063 -23.30988, -51.3691085 -23.3098633, -51.3691212 -23.3098376, -51.3691432 -23.3098181, -51.3691846 -23.3097926, -51.3692274 -23.3097757, -51.3692716 -23.3097687)",1,40
106665793,True,primary,,False,91.633,BR-369,Avenida Presidente Getúlio Vargas,"LINESTRING (-51.3691011 -23.3100152, -51.3689711 -23.309895, -51.3687916 -23.3094536, -51.3687351 -23.3093669, -51.3687657 -23.3092894)",,
