osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,ref,bridge,junction
260595233,False,Rua Benjamin Constant,tertiary,True,191.826,"LINESTRING (-49.2622374 -26.1957027, -49.2628699 -26.1940736)",,,,,
814010541,False,Rua Coronel Raymundo Munhoz,tertiary,False,43.486,"LINESTRING (-49.2622374 -26.1957027, -49.2621218 -26.1956437, -49.2618533 -26.195518)",,,,,
"[667597004, 814010541]",False,Rua Coronel Raymundo Munhoz,tertiary,True,245.982,"LINESTRING (-49.2622374 -26.1957027, -49.2623433 -26.1957597, -49.2626114 -26.1959145, -49.2627623 -26.1960057, -49.2628517 -26.1960665, -49.2629379 -26.1961384, -49.2630119 -26.1962269, -49.2631055 -26.1963663, -49.2637009 -26.1974099)",,,,,
667275896,False,Rua Coronel Bueno Franco,residential,True,19.186,"LINESTRING (-49.2612516 -26.1961158, -49.2612804 -26.1959452)",,,,,
667597007,False,Rua Coronel Bueno Franco,residential,False,15.376,"LINESTRING (-49.2612516 -26.1961158, -49.2612748 -26.1962525)",40,,,,
814010542,True,Avenida Doutor Getúlio Vargas,secondary,False,15.965,"LINESTRING (-49.2622576 -26.1937626, -49.2621356 -26.1936697)",,,,,
159990668,True,Rua Coronel Bueno Franco,tertiary,False,52.031000000000006,"LINESTRING (-49.2622576 -26.1937626, -49.2622082 -26.1938049, -49.2618805 -26.1940858)",,,,,
667073849,False,Avenida Doutor Getúlio Vargas,secondary,True,17.89,"LINESTRING (-49.2609543 -26.1926445, -49.2608202 -26.1925377)",,,,,
944016576,True,Avenida Doutor Getúlio Vargas,secondary,False,91.89500000000001,"LINESTRING (-49.2609543 -26.1926445, -49.2611515 -26.1927901, -49.2616488 -26.1931871)",,,,,
159995529,False,Rua Padre Lino Jacob Vier,tertiary,False,113.03,"LINESTRING (-49.2633877 -26.1927401, -49.2644791 -26.1930125)",,,,,
1029465207,False,Rua Padre Lino Jacob Vier,residential,True,34.289,"LINESTRING (-49.2633877 -26.1927401, -49.2630566 -26.1926575)",,,,,
260595233,False,Rua Benjamin Constant,tertiary,False,148.685,"LINESTRING (-49.2633877 -26.1927401, -49.2633623 -26.1928054, -49.2628974 -26.1940028)",,,,,
