osmid,ref,highway,oneway,reversed,length,geometry,name,lanes,junction,maxspeed
169871826,PR-281,tertiary,False,False,34.038,"LINESTRING (-53.3091448 -25.7816946, -53.3091089 -25.781999)",,,,
946716876,PR-281,tertiary,True,False,24.514,"LINESTRING (-53.3091448 -25.7816946, -53.3091483 -25.7815901, -53.3091784 -25.7814774)",,,,
169871826,PR-281,tertiary,False,True,34.038,"LINESTRING (-53.3091089 -25.781999, -53.3091448 -25.7816946)",,,,
308975741,,residential,False,False,123.362,"LINESTRING (-53.3091089 -25.781999, -53.3078769 -25.7819874)",,,,
169871826,PR-281,tertiary,False,False,60.832,"LINESTRING (-53.3091089 -25.781999, -53.3091475 -25.7821429, -53.3092763 -25.7824788, -53.3092939 -25.7825195)",,,,
765242355,,residential,False,False,117.613,"LINESTRING (-53.3132435 -25.7857574, -53.3128186 -25.7847713)",Rua Florianópolis,,,
180870999,,unclassified,False,True,119.062,"LINESTRING (-53.3092956 -25.7775423, -53.3086142 -25.7784198)",,,,
765242357,,residential,False,True,112.086,"LINESTRING (-53.3092956 -25.7775423, -53.3102144 -25.7781181)",Rua Curitiba,,,
946816311,,residential,False,True,29.953,"LINESTRING (-53.3092956 -25.7775423, -53.3090946 -25.7773428)",,,,
180871000,,residential,False,True,94.822,"LINESTRING (-53.3071249 -25.7788495, -53.3078998 -25.7793397)",Rua Treze de Maio,,,
308975740,,residential,False,False,119.256,"LINESTRING (-53.3071249 -25.7788495, -53.3064295 -25.7797202)",Rua Nova Prata do Iguaçú,,,
"[308975740, 180871030]",,residential,False,True,215.692,"LINESTRING (-53.3071249 -25.7788495, -53.3078253 -25.7779726, -53.3078521 -25.7779569, -53.3078735 -25.7779575, -53.3086142 -25.7784198)","['Rua Ponta Grossa', 'Rua Nova Prata do Iguaçú']",,,
180871017,,residential,False,False,6.94,"LINESTRING (-53.3130617 -25.7812067, -53.312998 -25.7812313)",Rua Madre Cabrini,,,
765242356,,residential,False,True,120.338,"LINESTRING (-53.3130617 -25.7812067, -53.3134583 -25.7822283)",Rua Samanduva,,,
180870999,,unclassified,False,False,161.815,"LINESTRING (-53.3062888 -25.7814144, -53.3072149 -25.7802218)",,,,
180871010,,residential,False,True,105.521,"LINESTRING (-53.3062888 -25.7814144, -53.3066515 -25.7823054)",Rua Urubicí,,,
765242353,,residential,False,True,95.949,"LINESTRING (-53.3062888 -25.7814144, -53.3055045 -25.7809186)",Rua Urubicí,,,
180871024,,residential,False,False,7.385,"LINESTRING (-53.3092372 -25.7815175, -53.3091784 -25.7814774)",Rua Irmã Maria Bernarda,,,
