osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,tunnel,bridge
42898110,True,BR-116,Rodovia BR-116,motorway_link,80,False,37.015,"LINESTRING (-51.1513069 -29.7503199, -51.1512812 -29.7502572, -51.1512568 -29.7501897, -51.1512069 -29.7501189, -51.1511636 -29.7500901, -51.1510917 -29.7500712)",,,
39405676,False,,Rua Doutor Hillebrand,tertiary,,False,129.452,"LINESTRING (-51.1475394 -29.7532709, -51.1476177 -29.7521087)",2,,
39405676,False,,Rua Doutor Hillebrand,tertiary,,True,71.493,"LINESTRING (-51.1475394 -29.7532709, -51.1474574 -29.7539099)",2,,
42872063,False,,Rua Câmara Municipal,residential,,False,131.357,"LINESTRING (-51.1475394 -29.7532709, -51.1488665 -29.7535318)",,,
39405676,False,,Rua Doutor Hillebrand,tertiary,,True,112.146,"LINESTRING (-51.1476378 -29.7511003, -51.1476177 -29.7521087)",2,,
41741116,False,,Rua Dienstmann,residential,,True,72.525,"LINESTRING (-51.1476378 -29.7511003, -51.1483872 -29.7510545)",,,
39405676,False,,Rua Doutor Hillebrand,tertiary,,False,80.836,"LINESTRING (-51.1476378 -29.7511003, -51.1476293 -29.7507757, -51.1476116 -29.7503737)",2,,
88532137,False,,Rua Guanabara,residential,,True,115.947,"LINESTRING (-51.1491727 -29.7515324, -51.1503354 -29.7517938)",,,
108061181,False,,Rua 7 de Abril,residential,,False,80.395,"LINESTRING (-51.1491727 -29.7515324, -51.149204 -29.7522549)",2,,
108061181,False,,Rua 7 de Abril,residential,,True,57.569,"LINESTRING (-51.1491727 -29.7515324, -51.1491484 -29.7510151)",2,,
41741099,False,,Rua Assembléia Provincial,residential,,False,71.044,"LINESTRING (-51.149204 -29.7522549, -51.148474 -29.752174)",,,
41741099,False,,Rua Assembléia Provincial,residential,,True,94.941,"LINESTRING (-51.149204 -29.7522549, -51.1501609 -29.752452)",,,
108061181,False,,Rua 7 de Abril,residential,,True,80.395,"LINESTRING (-51.149204 -29.7522549, -51.1491727 -29.7515324)",2,,
