osmid,oneway,name,highway,reversed,length,geometry,bridge,junction
549642805,True,Avenida Tinguá,tertiary,False,78.3,"LINESTRING (-43.5579447 -22.7142743, -43.5579269 -22.7148731, -43.5579238 -22.7149782)",,
837152900,True,,tertiary,False,17.561999999999998,"LINESTRING (-43.5593746 -22.7140974, -43.5593203 -22.7140235, -43.5592925 -22.7139952, -43.5592691 -22.7139737)",,
"[384906312, 866509266, 46251707]",False,Rua Ministro Odilon Braga,tertiary,False,148.36,"LINESTRING (-43.5593746 -22.7140974, -43.5594098 -22.7141671, -43.5595715 -22.7145127, -43.559707 -22.7148203, -43.5598131 -22.715069, -43.5599294 -22.7153294)",yes,
46251708,True,Rua Ministro Odilon Braga,tertiary,False,37.274,"LINESTRING (-43.5594293 -22.7137746, -43.5594 -22.7138256, -43.5593853 -22.7138578, -43.559377 -22.7138815, -43.5593709 -22.7139053, -43.5593654 -22.7139324, -43.5593633 -22.7139683, -43.5593637 -22.7140046, -43.5593675 -22.7140467, -43.5593746 -22.7140974)",,
505742180,True,Rua Hortênsia,tertiary,False,27.067,"LINESTRING (-43.5594293 -22.7137746, -43.5593379 -22.7138251, -43.5592069 -22.7139055)",,
384912414,True,Rua São José,tertiary,False,28.172,"LINESTRING (-43.560417 -22.7145959, -43.5604236 -22.7145319, -43.5604341 -22.7144685, -43.5604569 -22.7144116, -43.5604827 -22.7143519)",,
845861644,True,Estrada dos Caramujos,secondary,False,34.246,"LINESTRING (-43.560417 -22.7145959, -43.5603211 -22.7145821, -43.5602358 -22.7145767, -43.56016 -22.7145742, -43.5600852 -22.7145834)",,
505742181,True,Rua Hortênsia,tertiary,False,62.938,"LINESTRING (-43.5585583 -22.7142756, -43.5579447 -22.7142743)",,
69091272,True,Rua Joaquim dos Santos,residential,False,334.82800000000003,"LINESTRING (-43.5585583 -22.7142756, -43.5585933 -22.7115307, -43.5585824 -22.7112648)",,
46251922,True,Rua Hortênsia,tertiary,False,30.749,"LINESTRING (-43.5596766 -22.7136183, -43.5594293 -22.7137746)",,
46251976,False,Avenida Doutor Pedro Jorge,secondary,False,69.893,"LINESTRING (-43.5558091 -22.7112533, -43.5558182 -22.711336, -43.5558142 -22.7114202, -43.5558061 -22.7114758, -43.5557978 -22.7115352, -43.555776 -22.7116094, -43.5557471 -22.7116905, -43.555684 -22.7118639)",,
836762962,False,Avenida Doutor Pedro Jorge,tertiary,False,44.6,"LINESTRING (-43.5556356 -22.7121773, -43.5555275 -22.7125658)",,
836762962,False,Avenida Doutor Pedro Jorge,tertiary,True,22.242,"LINESTRING (-43.5556356 -22.7121773, -43.5556513 -22.7119778)",,
69091270,False,Rua Eugenio Castanheiro,residential,False,252.28300000000002,"LINESTRING (-43.5555456 -22.7144668, -43.5565478 -22.7142642, -43.5579526 -22.7140004)",,
505742184,True,Avenida Doutor Pedro Jorge,tertiary,False,55.711,"LINESTRING (-43.5555456 -22.7144668, -43.5554684 -22.7141165, -43.5554409 -22.7139752)",,
505742184,True,Avenida Doutor Pedro Jorge,tertiary,False,67.305,"LINESTRING (-43.5559476 -22.7157387, -43.5557368 -22.7151655)",,
505742185,True,Rua Elói Teixeira,residential,False,56.378,"LINESTRING (-43.5559476 -22.7157387, -43.5558849 -22.7157974, -43.5558375 -22.7158404, -43.5557924 -22.715885, -43.5557412 -22.7159306, -43.5556851 -22.7159724, -43.5556083 -22.7160153, -43.5555252 -22.7160571)",,
846438749,False,Avenida Tinguá,tertiary,False,31.25,"LINESTRING (-43.5579865 -22.7114071, -43.5579813 -22.7116881)",,
"[46254267, 69103150]",True,"['Avenida Olímpia Silva', 'Rua Vereador Marinho Hemetério Oliveira']",secondary,False,214.277,"LINESTRING (-43.555882 -22.7185631, -43.5558491 -22.718487, -43.5558399 -22.7184574, -43.5558069 -22.7183521, -43.5557743 -22.7182333, -43.5556701 -22.7177747, -43.5555858 -22.7174034, -43.5553104 -22.7174384, -43.5547936 -22.7174708)",,
46254291,True,Travessa Marques,secondary,False,81.443,"LINESTRING (-43.5589154 -22.7152687, -43.5592668 -22.7159255)",,
384906319,False,Avenida Irmãos Guinle,secondary,False,142.14,"LINESTRING (-43.5589154 -22.7152687, -43.5594088 -22.7149797, -43.5600223 -22.7146202, -43.5600852 -22.7145834)",,
69097283,False,Rua Centenario,residential,False,1.606,"LINESTRING (-43.5598447 -22.71726, -43.5598508 -22.7172733)",,
384906318,True,Travessa Marques,residential,False,159.791,"LINESTRING (-43.5598447 -22.71726, -43.5592668 -22.7159255)",,
69103656,True,Rua Padre Marques,secondary,False,91.902,"LINESTRING (-43.5570041 -22.7159917, -43.5572709 -22.7167807)",,
46254913,True,Avenida Irmãos Guinle,secondary,False,119.445,"LINESTRING (-43.5570041 -22.7159917, -43.5570361 -22.7159816, -43.557736 -22.7157609, -43.5578187 -22.7157348, -43.5581011 -22.7156319)",,
69090634,False,Rua Walter,residential,True,24.47,"LINESTRING (-43.5579813 -22.7116881, -43.557831 -22.7115172)",,
846438749,False,Avenida Tinguá,tertiary,False,5.139,"LINESTRING (-43.5579813 -22.7116881, -43.5579799 -22.7117343)",,
846438749,False,Avenida Tinguá,tertiary,True,31.25,"LINESTRING (-43.5579813 -22.7116881, -43.5579865 -22.7114071)",,
69091251,True,Rua Heloísa,residential,False,163.603,"LINESTRING (-43.5565429 -22.7123849, -43.557831 -22.7115172)",,
846438750,True,Rua Mustafá Kalaoun,residential,False,148.916,"LINESTRING (-43.5565429 -22.7123849, -43.5579653 -22.7121167)",,
69090634,False,Rua Walter,residential,False,24.47,"LINESTRING (-43.557831 -22.7115172, -43.5579813 -22.7116881)",,
69091251,True,Rua Heloísa,residential,False,20.107,"LINESTRING (-43.557831 -22.7115172, -43.5579865 -22.7114071)",,
69091259,True,Rua Mustafá Kalaoun,residential,False,106.077,"LINESTRING (-43.5555275 -22.7125658, -43.5565429 -22.7123849)",,
836762962,False,Avenida Doutor Pedro Jorge,tertiary,True,44.6,"LINESTRING (-43.5555275 -22.7125658, -43.5556356 -22.7121773)",,
505742183,True,Avenida Tinguá,tertiary,False,68.661,"LINESTRING (-43.5579653 -22.7121167, -43.5579492 -22.712734)",,
69091264,False,Rua São Sebastião,residential,False,261.882,"LINESTRING (-43.5554509 -22.7132192, -43.5557136 -22.7131727, -43.5566985 -22.7129733, -43.5579492 -22.712734)",,
505742184,True,Avenida Doutor Pedro Jorge,tertiary,False,73.36099999999999,"LINESTRING (-43.5554509 -22.7132192, -43.5554533 -22.7130466, -43.5554585 -22.7128861, -43.5555275 -22.7125658)",,
505742183,True,Avenida Tinguá,tertiary,False,65.806,"LINESTRING (-43.5579492 -22.712734, -43.5579517 -22.7133258)",,
69091264,False,Rua São Sebastião,residential,True,261.882,"LINESTRING (-43.5579492 -22.712734, -43.5566985 -22.7129733, -43.5557136 -22.7131727, -43.5554509 -22.7132192)",,
69091268,False,Rua Itabira,residential,False,264.725,"LINESTRING (-43.5554288 -22.7138276, -43.5579517 -22.7133258)",,
505742184,True,Avenida Doutor Pedro Jorge,tertiary,False,67.697,"LINESTRING (-43.5554288 -22.7138276, -43.5554438 -22.713479, -43.5554451 -22.7133308, -43.5554509 -22.7132192)",,
69091268,False,Rua Itabira,residential,True,264.725,"LINESTRING (-43.5579517 -22.7133258, -43.5554288 -22.7138276)",,
505742183,True,Avenida Tinguá,tertiary,False,75.012,"LINESTRING (-43.5579517 -22.7133258, -43.5579526 -22.7140004)",,
505742183,True,Avenida Tinguá,tertiary,False,30.467,"LINESTRING (-43.5579526 -22.7140004, -43.5579447 -22.7142743)",,
69091270,False,Rua Eugenio Castanheiro,residential,True,252.28300000000002,"LINESTRING (-43.5579526 -22.7140004, -43.5565478 -22.7142642, -43.5555456 -22.7144668)",,
69091262,True,Avenida Camarim,tertiary,False,76.312,"LINESTRING (-43.5585824 -22.7112648, -43.5581897 -22.7118477)",,
69091273,False,Rua Cecília,residential,True,79.654,"LINESTRING (-43.5602714 -22.7125158, -43.5598249 -22.7119297)",,
69091276,True,Rua Zildo Siqueira,residential,False,78.566,"LINESTRING (-43.5591699 -22.7132772, -43.5595399 -22.7130197, -43.5597814 -22.7128517)",,
505742188,True,Rua Hortênsia,tertiary,False,14.21,"LINESTRING (-43.5592069 -22.7139055, -43.5590945 -22.7139802)",,
384912411,True,Rua Aida,residential,False,70.93,"LINESTRING (-43.5592069 -22.7139055, -43.5591743 -22.7138515, -43.5591612 -22.7138013, -43.5591559 -22.7137264, -43.5591662 -22.7133964, -43.5591699 -22.7132772)",,
69091273,False,Rua Cecília,residential,False,79.654,"LINESTRING (-43.5598249 -22.7119297, -43.5602714 -22.7125158)",,
69091338,False,Rua Maria Lidia,residential,True,102.619,"LINESTRING (-43.5598249 -22.7119297, -43.5597814 -22.7128517)",,
69091276,True,Rua Zildo Siqueira,residential,False,62.619,"LINESTRING (-43.5597814 -22.7128517, -43.5602714 -22.7125158)",,
69091338,False,Rua Maria Lidia,residential,False,102.619,"LINESTRING (-43.5597814 -22.7128517, -43.5598249 -22.7119297)",,
69091357,False,Rua Alves,residential,False,28.578,"LINESTRING (-43.5537947 -22.7157019, -43.5540626 -22.7156313)",,
69091357,False,Rua Alves,residential,True,49.934,"LINESTRING (-43.5551769 -22.715352, -43.5547073 -22.7154704)",,
505742187,True,Rua Alves,residential,False,61.059,"LINESTRING (-43.5551769 -22.715352, -43.5557368 -22.7151655)",,
505742184,True,Avenida Doutor Pedro Jorge,tertiary,False,80.129,"LINESTRING (-43.5557368 -22.7151655, -43.5555456 -22.7144668)",,
69091362,True,Rua Zelina Pinto,residential,False,86.159,"LINESTRING (-43.5555252 -22.7160571, -43.5551769 -22.715352)",,
1015990084,False,Rua Elói Teixeira,residential,True,425.78800000000007,"LINESTRING (-43.5555252 -22.7160571, -43.5554183 -22.7161034, -43.5552968 -22.7161451, -43.5551717 -22.7161842, -43.55502 -22.7162149, -43.5549025 -22.7162321, -43.5547189 -22.7162523, -43.5544493 -22.7162722, -43.55406 -22.7162819, -43.5538778 -22.7162779, -43.5536214 -22.7162726, -43.5534397 -22.7162652, -43.5531804 -22.7162449, -43.552974 -22.7162218, -43.5527895 -22.7161967, -43.5526304 -22.716164, -43.5524464 -22.7161146, -43.5522769 -22.7160587, -43.5521158 -22.7159789, -43.5519357 -22.7158814, -43.5517322 -22.7157677, -43.5515574 -22.7156557)",,
69097125,True,Rua Laerte Acácio da Silva,tertiary,False,70.161,"LINESTRING (-43.5592668 -22.7159255, -43.5597605 -22.7157378, -43.5598173 -22.7157162, -43.5598991 -22.7156848)",,
384898899,True,Rua Laerte Acácio da Silva,secondary,False,66.361,"LINESTRING (-43.5592668 -22.7159255, -43.5590713 -22.7160115, -43.5586815 -22.7161798)",,
384898899,True,Rua Laerte Acácio da Silva,secondary,False,52.003,"LINESTRING (-43.5586815 -22.7161798, -43.5582258 -22.7163848)",,
