osmid,oneway,ref,name,highway,reversed,length,geometry,junction
343467411,True,PA-279,Avenida Lago Azul,primary,False,64.872,"LINESTRING (-50.480927 -6.8026198, -50.4805082 -6.8023286, -50.4804913 -6.8023099, -50.480474 -6.8022623)",
343468628,False,,Avenida Sete de Setembro,residential,False,167.726,"LINESTRING (-50.4891432 -6.8058757, -50.4876373 -6.8056773)",
343469953,False,,Rua Luiz Antônio,residential,False,84.427,"LINESTRING (-50.4891432 -6.8058757, -50.4890459 -6.8066288)",
343469953,False,,Rua Luiz Antônio,residential,True,75.956,"LINESTRING (-50.4891432 -6.8058757, -50.4892286 -6.8051979)",
343468630,False,,Rua Cora Coralina,residential,False,181.287,"LINESTRING (-50.4858248 -6.8068872, -50.4841944 -6.8066944)",
343468630,False,,Rua Cora Coralina,residential,True,11.167,"LINESTRING (-50.4858248 -6.8068872, -50.4859255 -6.8068966)",
343469071,True,,Rua Palmópolis,residential,False,73.242,"LINESTRING (-50.4858248 -6.8068872, -50.4859078 -6.8062337)",
343468630,False,,Rua Cora Coralina,residential,False,169.831,"LINESTRING (-50.4841944 -6.8066944, -50.4826641 -6.8065401)",
343468630,False,,Rua Cora Coralina,residential,True,181.287,"LINESTRING (-50.4841944 -6.8066944, -50.4858248 -6.8068872)",
343469951,False,,Rua Bahia,residential,False,75.86,"LINESTRING (-50.4841944 -6.8066944, -50.4841128 -6.8073718)",
343469951,False,,Rua Bahia,residential,True,74.743,"LINESTRING (-50.4841944 -6.8066944, -50.484275 -6.806027)",
343468631,False,,Rua Ayrton Senna,residential,False,182.201,"LINESTRING (-50.4857534 -6.8075483, -50.4841128 -6.8073718)",
343469071,True,,Rua Palmópolis,residential,False,73.933,"LINESTRING (-50.4857534 -6.8075483, -50.4858248 -6.8068872)",
343469073,False,,,residential,True,9.343,"LINESTRING (-50.4857534 -6.8075483, -50.4858375 -6.8075576)",
343467411,True,PA-279,Avenida Lago Azul,primary,False,182.034,"LINESTRING (-50.4862553 -6.8033253, -50.4846231 -6.8030944)",
769387464,False,,Rua Palmópolis,residential,False,85.834,"LINESTRING (-50.4862553 -6.8033253, -50.4862694 -6.8032148, -50.4862641 -6.803055, -50.4862708 -6.8029258, -50.4862896 -6.8028313, -50.4863311 -6.8027301, -50.4864009 -6.8025796)",
343467411,True,PA-279,Avenida Lago Azul,primary,False,13.933,"LINESTRING (-50.4863803 -6.8033425, -50.4862553 -6.8033253)",
343469072,True,,Rua Palmópolis,residential,False,84.107,"LINESTRING (-50.4863803 -6.8033425, -50.4862815 -6.8040925)",
343469072,True,,Rua Palmópolis,residential,False,69.736,"LINESTRING (-50.4858375 -6.8075576, -50.4857599 -6.80818)",
343469073,False,,,residential,False,9.343,"LINESTRING (-50.4858375 -6.8075576, -50.4857534 -6.8075483)",
343469073,False,,,residential,True,173.871,"LINESTRING (-50.4858375 -6.8075576, -50.4874019 -6.8077367)",
343467380,True,PA-279,Avenida Lago Azul,primary,False,352.661,"LINESTRING (-50.4832351 -6.8021588, -50.4864009 -6.8025796)",
343469635,False,,Rua Goiás,residential,False,86.068,"LINESTRING (-50.4832351 -6.8021588, -50.4831184 -6.8029241)",
343467411,True,PA-279,Avenida Lago Azul,primary,False,141.116,"LINESTRING (-50.4831184 -6.8029241, -50.4818519 -6.8027536)",
343469635,False,,Rua Goiás,residential,True,86.068,"LINESTRING (-50.4831184 -6.8029241, -50.4832351 -6.8021588)",
343469635,False,,Rua Goiás,residential,False,84.838,"LINESTRING (-50.4831184 -6.8029241, -50.4830721 -6.8032865, -50.4830217 -6.803681)",
343468629,False,,Avenida Carajás,residential,False,141.281,"LINESTRING (-50.4827644 -6.8058482, -50.4814933 -6.8057021)",
343468629,False,,Avenida Carajás,residential,True,167.968,"LINESTRING (-50.4827644 -6.8058482, -50.484275 -6.806027)",
343469635,False,,Rua Goiás,residential,False,77.729,"LINESTRING (-50.4827644 -6.8058482, -50.4826641 -6.8065401)",
343469635,False,,Rua Goiás,residential,True,84.611,"LINESTRING (-50.4827644 -6.8058482, -50.482863 -6.8050936)",
343469635,False,,Rua Goiás,residential,True,74.442,"LINESTRING (-50.482516 -6.8078863, -50.4825592 -6.8072182)",
343479718,False,,Rua Luciano Prudente,residential,False,169.78,"LINESTRING (-50.482516 -6.8078863, -50.4840477 -6.8080211)",
343479718,False,,Rua Luciano Prudente,residential,True,140.598,"LINESTRING (-50.482516 -6.8078863, -50.4812471 -6.80778)",
343479719,False,,Rua Goiás,residential,False,60.046,"LINESTRING (-50.482516 -6.8078863, -50.4825182 -6.8084263)",
343469423,False,,Rua São Sebastião,residential,False,62.141,"LINESTRING (-50.4810966 -6.8094327, -50.4811599 -6.8088774)",
