osmid,oneway,highway,maxspeed,reversed,length,geometry,lanes,name,ref,junction,access
272806863,True,busway,20,False,60.065,"LINESTRING (-46.6254455 -23.6852724, -46.625589 -23.6851764, -46.6256218 -23.685161, -46.6256587 -23.6851524, -46.6258031 -23.6851399, -46.625917 -23.6851301, -46.6259942 -23.6851214)",,,,,
296377157,True,primary,60,False,53.309000000000005,"LINESTRING (-46.6254455 -23.6852724, -46.6258924 -23.6852402, -46.6259674 -23.6852348)",3,Avenida Fábio Eduardo Ramos Esquível,,,
95984839,False,residential,,False,72.152,"LINESTRING (-46.6262853 -23.6829081, -46.6269933 -23.6829336)",,Rua Elbio Camilo,,,
917601523,False,primary,60,False,35.746,"LINESTRING (-46.6262853 -23.6829081, -46.6262717 -23.6830244, -46.6262703 -23.6830861, -46.6262783 -23.6831481, -46.6263023 -23.6832254)",2,Avenida Conceição,SP-180,,
917601522,True,primary,60,False,9.35,"LINESTRING (-46.6263023 -23.6832254, -46.6263471 -23.6832988)",2,Avenida Conceição,SP-180,,
917601523,False,primary,60,True,35.746,"LINESTRING (-46.6263023 -23.6832254, -46.6262783 -23.6831481, -46.6262703 -23.6830861, -46.6262717 -23.6830244, -46.6262853 -23.6829081)",2,Avenida Conceição,SP-180,,
"[941867932, 4684982]",True,primary,60,False,268.264,"LINESTRING (-46.6249352 -23.6853055, -46.6249412 -23.6847856, -46.624972 -23.6847122, -46.6250067 -23.684672, -46.6250502 -23.6846422, -46.6258537 -23.6841845, -46.6259219 -23.6841385, -46.6259485 -23.684098, -46.6259712 -23.6840409, -46.6260227 -23.6837021, -46.6260604 -23.6833852)","['2', '3']","['Avenida Conceição', 'Rua Antônio Doll de Moraes']",SP-180,,
868833304,True,primary,60,False,52.093,"LINESTRING (-46.6249352 -23.6853055, -46.6253609 -23.6852779, -46.6254455 -23.6852724)",3,Avenida Fábio Eduardo Ramos Esquível,,,
200087116,True,residential,,False,72.07,"LINESTRING (-46.6221697 -23.684258, -46.6219704 -23.684253, -46.6214624 -23.684235)",2,Rua das Turmalinas,,,
94728636,False,residential,40,True,90.357,"LINESTRING (-46.6227465 -23.6836044, -46.6227378 -23.6833569, -46.6227137 -23.6831383, -46.6226513 -23.6827978)",2,Rua Topázio,,,
94820730,False,residential,,False,80.645,"LINESTRING (-46.6227465 -23.6836044, -46.6230476 -23.6834742, -46.623226 -23.6834085, -46.6234819 -23.6833397)",,Rua dos Brilhantes,,,
775557577,True,residential,,False,94.69200000000001,"LINESTRING (-46.6227465 -23.6836044, -46.6226352 -23.6838131, -46.6225728 -23.683904, -46.6225148 -23.6839664, -46.6221697 -23.684258)",,Rua Topázio,,,
94728633,False,residential,,True,39.943,"LINESTRING (-46.6243671 -23.6824858, -46.6247504 -23.6824095)",,Rua São Francisco de Salles,,,
94728633,False,residential,,False,178.13400000000001,"LINESTRING (-46.6243671 -23.6824858, -46.6235108 -23.6826453, -46.6226513 -23.6827978)",,Rua São Francisco de Salles,,,
94728633,False,residential,,False,68.907,"LINESTRING (-46.6226513 -23.6827978, -46.6219881 -23.6829209)",,Rua São Francisco de Salles,,,
94728633,False,residential,,True,178.13400000000001,"LINESTRING (-46.6226513 -23.6827978, -46.6235108 -23.6826453, -46.6243671 -23.6824858)",,Rua São Francisco de Salles,,,
94728636,False,residential,40,False,90.357,"LINESTRING (-46.6226513 -23.6827978, -46.6227137 -23.6831383, -46.6227378 -23.6833569, -46.6227465 -23.6836044)",2,Rua Topázio,,,
