osmid,oneway,name,highway,reversed,length,maxspeed,geometry,lanes,width,bridge
165994529,True,Rua Pernambuco,residential,False,100.402,,"LINESTRING (-48.9734439 -21.1335896, -48.9743545 -21.1332832)",,,
165994189,True,Rua Treze de Maio,residential,False,101.066,30,"LINESTRING (-48.9734439 -21.1335896, -48.9732579 -21.1331142, -48.9731004 -21.1327391)",,,
433865368,True,Rua Bahia,residential,False,95.531,,"LINESTRING (-48.9726712 -21.1368351, -48.9735375 -21.1365432)",,,
919022042,True,Rua Brasil,tertiary,False,103.178,40,"LINESTRING (-48.9726712 -21.1368351, -48.9723224 -21.1359661)",1,4.5,
974132713,True,Avenida São Domingos,primary,False,95.23,60,"LINESTRING (-48.9718742 -21.1322388, -48.9710114 -21.1325317)",1,,
1082813119,True,Rua Maranhão,tertiary,False,94.422,,"LINESTRING (-48.9718742 -21.1322388, -48.9720289 -21.1326336, -48.9721866 -21.1330364)",2,,
1082813119,True,Rua Maranhão,tertiary,False,102.293,,"LINESTRING (-48.9721866 -21.1330364, -48.972525 -21.1339005)",2,,
165994264,True,Rua Paraiba,residential,False,96.586,,"LINESTRING (-48.9721866 -21.1330364, -48.9715792 -21.1332676, -48.9713203 -21.1333547)",,,
165994529,True,Rua Pernambuco,residential,False,101.381,,"LINESTRING (-48.972525 -21.1339005, -48.9734439 -21.1335896)",,,
1082813119,True,Rua Maranhão,tertiary,False,100.67,,"LINESTRING (-48.972525 -21.1339005, -48.972858 -21.1347509)",2,,
165994302,True,Rua Alagoas,tertiary,False,102.326,,"LINESTRING (-48.972858 -21.1347509, -48.9737807 -21.1344251)",1,,
165993446,True,Rua Maranhão,tertiary,False,108.112,,"LINESTRING (-48.972858 -21.1347509, -48.9728836 -21.1348207, -48.9730383 -21.135229, -48.9731798 -21.1356046, -48.9732009 -21.135669)",2,,
165993446,True,Rua Maranhão,tertiary,False,103.285,,"LINESTRING (-48.9732009 -21.135669, -48.9735375 -21.1365432)",2,,
