osmid,oneway,name,highway,reversed,length,junction,geometry,lanes,ref
98739777,True,Avenida Senador Julio Campos,residential,False,120.929,,"LINESTRING (-57.9998664 -12.1242867, -58.0008831 -12.1238455)",,
98739820,False,Rua Pantanal,residential,True,19.878,,"LINESTRING (-57.9998664 -12.1242867, -57.9999417 -12.1244496)",,
98739703,False,Rua Curitiba,residential,False,121.671,,"LINESTRING (-58.0076868 -12.1197855, -58.0066674 -12.1202371)",,
98739703,False,Rua Curitiba,residential,True,117.516,,"LINESTRING (-58.0076868 -12.1197855, -58.0086697 -12.1193457)",,
98739782,False,Rua Diamantino,residential,False,94.059,,"LINESTRING (-58.0076868 -12.1197855, -58.0073327 -12.1190137)",,
98739782,False,Rua Diamantino,residential,True,101.454,,"LINESTRING (-58.0076868 -12.1197855, -58.0080613 -12.1206212)",,
98739782,False,Rua Diamantino,residential,False,100.099,,"LINESTRING (-58.0073327 -12.1190137, -58.0069521 -12.118194)",,
98739782,False,Rua Diamantino,residential,True,94.059,,"LINESTRING (-58.0073327 -12.1190137, -58.0076868 -12.1197855)",,
98739786,False,Rua Guaira,residential,False,118.383,,"LINESTRING (-58.0073327 -12.1190137, -58.0083198 -12.1185642)",,
98739786,False,Rua Guaira,residential,True,120.085,,"LINESTRING (-58.0073327 -12.1190137, -58.0063301 -12.1194669)",,
98739799,False,Rua Vorumba,residential,False,21.29,,"LINESTRING (-58.007123 -12.1212511, -58.0070335 -12.1210808)",,
98739799,False,Rua Vorumba,residential,True,99.216,,"LINESTRING (-58.007123 -12.1212511, -58.0075255 -12.1220519)",,
1204749736,True,,residential,False,118.181,,"LINESTRING (-58.007123 -12.1212511, -58.0061379 -12.1217005)",,
98739688,True,Avenida SenadorJulio Campos,residential,False,120.207,,"LINESTRING (-58.0039542 -12.1226596, -58.0029462 -12.1231039)",,
98739769,False,Rua Campo Grande,residential,False,19.681,,"LINESTRING (-58.0039542 -12.1226596, -58.0038781 -12.122499)",,
98739769,False,Rua Campo Grande,residential,True,99.092,,"LINESTRING (-58.0039542 -12.1226596, -58.0043277 -12.1234725)",,
98739771,False,Rua Cascavel,residential,False,119.879,,"LINESTRING (-58.0085273 -12.1216014, -58.0075255 -12.1220519)",,
98739782,False,Rua Diamantino,residential,False,100.295,,"LINESTRING (-58.0085273 -12.1216014, -58.0081364 -12.1207844)",,
98739755,False,,residential,False,95.72,,"LINESTRING (-58.0052989 -12.119886, -58.0049378 -12.1191009)",,
