osmid,oneway,lanes,name,highway,reversed,length,access,geometry,bridge,ref,maxspeed
452285551,True,1,Rua Manuel Vieira,secondary,False,109.926,,"LINESTRING (-43.3141968 -22.7867386, -43.3139664 -22.7857731)",,,
48688699,True,2,Avenida Nilo Peçanha,primary,False,56.102999999999994,yes,"LINESTRING (-43.3141968 -22.7867386, -43.3138937 -22.78684, -43.3136791 -22.7869018)",,,
69727765,True,2,Avenida Nilo Peçanha,primary,False,62.326,,"LINESTRING (-43.3136791 -22.7869018, -43.3130769 -22.7868248)",,,
69728310,True,1,Rua Sete de Setembro,primary,False,95.795,,"LINESTRING (-43.3130769 -22.7868248, -43.3128895 -22.7859808)",,,
69728435,False,2,Rua Tenente José Dias,primary,False,111.696,,"LINESTRING (-43.3130769 -22.7868248, -43.3130018 -22.7872653, -43.312917 -22.7878184)",,,
69728292,True,3,Avenida Presidente Vargas,secondary,False,218.29600000000002,yes,"LINESTRING (-43.3091462 -22.7875522, -43.3091462 -22.7878786, -43.3091301 -22.7881951, -43.3090938 -22.7884304, -43.3090174 -22.7886476, -43.3088845 -22.788934, -43.3086699 -22.7893099, -43.308599 -22.7894077)",,,
214762801,True,,Rua Barão do Triunfo,residential,False,74.97800000000001,,"LINESTRING (-43.3091462 -22.7875522, -43.3088618 -22.7876068, -43.3084273 -22.7876757)",,,
69732294,True,2,Rua José Verissimo,primary,False,112.78999999999999,,"LINESTRING (-43.3128895 -22.7859808, -43.3135142 -22.7858603, -43.3139664 -22.7857731)",,,
69903963,True,2,Avenida Marechal Floriano,primary,False,12.739,,"LINESTRING (-43.307995 -22.7901202, -43.3079005 -22.7901946)",,,
179897991,True,2,Rua Paulo Lins,primary,False,76.22600000000001,,"LINESTRING (-43.307995 -22.7901202, -43.3080984 -22.7902158, -43.3082266 -22.7903438, -43.3084031 -22.7905352, -43.3084933 -22.7906286)",,,
"[69728379, 69728387, 954739806]",False,2,Avenida Doutor Manoel Teles,secondary,"[False, True]",93.104,,"LINESTRING (-43.3144206 -22.7921685, -43.3143943 -22.7921472, -43.3142986 -22.7920695, -43.3142596 -22.7920368, -43.3137475 -22.7916064)",yes,,
69728387,False,2,Avenida Doutor Manoel Teles,secondary,True,81.591,,"LINESTRING (-43.3131492 -22.7911225, -43.3137475 -22.7916064)",,,
179898825,False,4,Rua Tabelião Silmar Silva,secondary,True,257.22299999999996,,"LINESTRING (-43.3131492 -22.7911225, -43.31279 -22.7919983, -43.3126293 -22.7923856, -43.3125915 -22.7924768, -43.3123415 -22.7931497, -43.3123332 -22.7931681, -43.3123317 -22.7931715, -43.3123178 -22.7931971, -43.3123045 -22.7932164, -43.3122939 -22.7932283, -43.31228 -22.7932377, -43.3122593 -22.793246, -43.3122324 -22.7932544)",,,
784374591,True,3,Avenida Governador Leonel de Moura Brizola,primary,False,22.848,yes,"LINESTRING (-43.3106377 -22.7889272, -43.3106012 -22.7891299)",,RJ-101,
954310766,True,1,Avenida Doutor Manoel Teles,primary,False,19.66,,"LINESTRING (-43.3106377 -22.7889272, -43.3107558 -22.7890665)",,,
