osmid,oneway,name,highway,reversed,length,ref,bridge,geometry
483746401,False,Rua Major Justino F. de Lima,residential,False,20.827,,,"LINESTRING (-48.5322564 -24.1858525, -48.5324603 -24.1858745)"
524110905,False,Rua Avelino Domingues Menk,primary,False,84.323,SP-250;BR-373,,"LINESTRING (-48.5322564 -24.1858525, -48.5314463 -24.1856823)"
524110905,False,Rua Avelino Domingues Menk,primary,True,22.018,SP-250;BR-373,,"LINESTRING (-48.5322564 -24.1858525, -48.5324233 -24.1859791)"
483746406,False,Rua São José,residential,True,25.079,,,"LINESTRING (-48.528923 -24.1852503, -48.5291353 -24.1851347)"
524110905,False,Rua Avelino Domingues Menk,primary,False,13.148,SP-250;BR-373,,"LINESTRING (-48.528923 -24.1852503, -48.5288 -24.1852876)"
524110905,False,Rua Avelino Domingues Menk,primary,True,71.999,SP-250;BR-373,,"LINESTRING (-48.528923 -24.1852503, -48.5296226 -24.1853597)"
"[843384842, 513185789, 783916966]",False,Rua Estados Unidos,residential,True,210.17100000000002,,yes,"LINESTRING (-48.5336292 -24.1903426, -48.5336486 -24.190449, -48.5336634 -24.1905665, -48.5336808 -24.1907377, -48.5336969 -24.1909653, -48.5336969 -24.1911732, -48.533662 -24.1915843, -48.5336298 -24.1919537, -48.5335977 -24.1922253)"
267086522,False,Rua 21 de Abril,residential,False,25.858,,,"LINESTRING (-48.5291079 -24.1849035, -48.5291353 -24.1851347)"
267086523,False,Rua Doutor Diogenes Ribeiro de Lima,residential,True,40.705,,,"LINESTRING (-48.5291079 -24.1849035, -48.5295052 -24.184955)"
267086516,False,Rua Castro Carvalho,residential,False,43.24,,,"LINESTRING (-48.5332698 -24.1852354, -48.5331954 -24.1856183)"
267086521,False,Rua Doutor Diógenes Ribeiro de Lima,residential,False,46.439,,,"LINESTRING (-48.5332698 -24.1852354, -48.5328172 -24.1851725)"
267086521,False,Rua Doutor Diógenes Ribeiro de Lima,residential,True,32.109,,,"LINESTRING (-48.5332698 -24.1852354, -48.5335829 -24.1852779)"
267086521,False,Rua Doutor Diógenes Ribeiro de Lima,residential,False,32.109,,,"LINESTRING (-48.5335829 -24.1852779, -48.5332698 -24.1852354)"
267086521,False,Rua Doutor Diógenes Ribeiro de Lima,residential,True,45.332,,,"LINESTRING (-48.5335829 -24.1852779, -48.5340214 -24.1853566)"
267086521,False,Rua Doutor Diógenes Ribeiro de Lima,residential,False,45.332,,,"LINESTRING (-48.5340214 -24.1853566, -48.5335829 -24.1852779)"
332128223,False,Rua Sete de Setembro,residential,False,44.727,,,"LINESTRING (-48.5340214 -24.1853566, -48.533937 -24.1857514)"
267086516,False,Rua Castro Carvalho,residential,False,42.388,,,"LINESTRING (-48.5331954 -24.1856183, -48.5331365 -24.1859957)"
267086516,False,Rua Castro Carvalho,residential,True,43.24,,,"LINESTRING (-48.5331954 -24.1856183, -48.5332698 -24.1852354)"
267086523,False,Rua Doutor Diogenes Ribeiro de Lima,residential,True,30.939,,,"LINESTRING (-48.5331954 -24.1856183, -48.5334927 -24.1856805)"
267086523,False,Rua Doutor Diogenes Ribeiro de Lima,residential,False,47.627,,,"LINESTRING (-48.5331954 -24.1856183, -48.5329242 -24.1855491, -48.5327412 -24.1855101)"
267086523,False,Rua Doutor Diogenes Ribeiro de Lima,residential,False,30.939,,,"LINESTRING (-48.5334927 -24.1856805, -48.5331954 -24.1856183)"
267086523,False,Rua Doutor Diogenes Ribeiro de Lima,residential,True,45.752,,,"LINESTRING (-48.5334927 -24.1856805, -48.533937 -24.1857514)"
332167820,False,Rua Deputado Cunha Bueno,residential,False,41.283,,,"LINESTRING (-48.5334927 -24.1856805, -48.5334028 -24.1860426)"
267086516,False,Rua Castro Carvalho,residential,False,14.331,,,"LINESTRING (-48.5330486 -24.186467, -48.533028 -24.1865945)"
267086516,False,Rua Castro Carvalho,residential,True,53.159,,,"LINESTRING (-48.5330486 -24.186467, -48.5331365 -24.1859957)"
524110905,False,Rua Avelino Domingues Menk,primary,True,31.173,SP-250;BR-373,,"LINESTRING (-48.5330486 -24.186467, -48.5333008 -24.1866272)"
524110905,False,Rua Avelino Domingues Menk,primary,False,56.921,SP-250;BR-373,,"LINESTRING (-48.5330486 -24.186467, -48.5328354 -24.1863055, -48.5326155 -24.1861415)"
267093981,False,Rua Getúlio Gatto,residential,False,27.909,,,"LINESTRING (-48.5333008 -24.1866272, -48.533028 -24.1865945)"
524110905,False,Rua Avelino Domingues Menk,primary,False,31.173,SP-250;BR-373,,"LINESTRING (-48.5333008 -24.1866272, -48.5330486 -24.186467)"
513185784,False,Rua Shigueru Yagui,residential,False,171.535,,,"LINESTRING (-48.5333008 -24.1866272, -48.5330986 -24.1873634, -48.5330989 -24.1874071, -48.5331175 -24.1874567, -48.5331631 -24.1875179, -48.5331868 -24.1875704, -48.5331854 -24.1876334, -48.5331465 -24.1877026, -48.5330398 -24.1878017, -48.5329333 -24.1879044, -48.5328481 -24.1880157)"
524110905,False,Rua Avelino Domingues Menk,primary,True,47.2,SP-250;BR-373,,"LINESTRING (-48.5333008 -24.1866272, -48.5335636 -24.1866823, -48.5337581 -24.1867018)"
267086516,False,Rua Castro Carvalho,residential,True,14.331,,,"LINESTRING (-48.533028 -24.1865945, -48.5330486 -24.186467)"
267093981,False,Rua Getúlio Gatto,residential,False,51.211,,,"LINESTRING (-48.533028 -24.1865945, -48.5325282 -24.1865294)"
267093981,False,Rua Getúlio Gatto,residential,True,27.909,,,"LINESTRING (-48.533028 -24.1865945, -48.5333008 -24.1866272)"
783916971,False,Rua Shigueru Yagui,residential,False,9.994,,,"LINESTRING (-48.5327744 -24.1881913, -48.5327206 -24.1882666)"
