osmid,oneway,highway,reversed,length,geometry,lanes,name,ref,junction,maxspeed
171234117,True,tertiary,False,33.344,"LINESTRING (-47.353624 -2.9918187, -47.3535558 -2.9916785, -47.353486 -2.9915525)",,,,,
738169262,True,tertiary,False,28.358999999999998,"LINESTRING (-47.353624 -2.9918187, -47.3535338 -2.991797, -47.3534969 -2.9917963, -47.35346 -2.991803, -47.3533796 -2.9918392)",1,Lameira Bittencourt,,,
171238271,False,tertiary,True,88.453,"LINESTRING (-47.3508503 -2.9949349, -47.3508355 -2.9949979, -47.3508596 -2.9951599, -47.3510568 -2.9956916)",2,Avenida Quinze de Maio,,,
171238275,False,tertiary,False,85.976,"LINESTRING (-47.3508503 -2.9949349, -47.3508811 -2.9948532, -47.3509294 -2.9947809, -47.3513143 -2.9943215)",2,Lameira Bittencourt,,,
171272743,False,residential,True,127.092,"LINESTRING (-47.3508503 -2.9949349, -47.3510447 -2.9949711, -47.3512982 -2.9950046, -47.3519821 -2.9951037)",,Eixo We,,,
171238271,False,tertiary,True,71.64,"LINESTRING (-47.3510568 -2.9956916, -47.3512848 -2.9962943)",2,Avenida Quinze de Maio,,,
171281217,False,residential,True,114.807,"LINESTRING (-47.3510568 -2.9956916, -47.3520277 -2.9953367)",,Rua Trinta e Um de Março,,,
171238271,False,tertiary,False,88.453,"LINESTRING (-47.3510568 -2.9956916, -47.3508596 -2.9951599, -47.3508355 -2.9949979, -47.3508503 -2.9949349)",2,Avenida Quinze de Maio,,,
171280687,False,residential,False,129.819,"LINESTRING (-47.3585683 -2.9969371, -47.3576537 -2.9962099)",,Rua Monte Castelo,,,
369583649,False,tertiary,False,81.227,"LINESTRING (-47.3585683 -2.9969371, -47.3583765 -2.9971688, -47.3581016 -2.9974996)",2,Avenida do Contorno,,,
369583649,False,tertiary,True,81.351,"LINESTRING (-47.3585683 -2.9969371, -47.3587225 -2.9967376, -47.3588285 -2.9965421, -47.3588929 -2.996293)",2,Avenida do Contorno,,,
171238271,False,tertiary,False,74.003,"LINESTRING (-47.3517166 -2.9974889, -47.3514926 -2.9968621)",2,Avenida Quinze de Maio,,,
171238271,False,tertiary,True,71.435,"LINESTRING (-47.3517166 -2.9974889, -47.3520033 -2.998064)",2,Avenida Quinze de Maio,,,
171274352,True,residential,False,102.188,"LINESTRING (-47.3517166 -2.9974889, -47.351034 -2.9977568, -47.3508757 -2.9978559)",,Quinze de Novembro,,,
171281338,False,tertiary,True,48.694,"LINESTRING (-47.3526165 -2.9988898, -47.353043 -2.9989916)",4,Avenida do Contorno,,,
171238271,False,tertiary,False,119.247,"LINESTRING (-47.3526165 -2.9988898, -47.3525613 -2.9988747, -47.3524944 -2.99885, -47.3524324 -2.9988148, -47.3523767 -2.9987703, -47.3523289 -2.9987174, -47.3522902 -2.9986576, -47.3520033 -2.998064)",2,Avenida Quinze de Maio,,,
171281811,False,residential,True,135.419,"LINESTRING (-47.3526165 -2.9988898, -47.3527868 -2.9983286, -47.3528337 -2.9982001, -47.3528954 -2.9980809, -47.3529585 -2.997967, -47.3531152 -2.997798)",,Eixo W s,,,
171234115,True,primary,False,26.576,"LINESTRING (-47.3538461 -2.9913254, -47.3538239 -2.9914019, -47.3537809 -2.991469, -47.3537206 -2.9915212)",2,,PA-125;PA-256,roundabout,
171234126,True,primary,False,106.44000000000001,"LINESTRING (-47.3538461 -2.9913254, -47.3539384 -2.9914126, -47.3540201 -2.9914943, -47.3541054 -2.9915692, -47.3541802 -2.99162, -47.3543144 -2.9916778, -47.3543794 -2.9917006, -47.3544526 -2.9917219, -47.3546685 -2.9917668)",2,Avenida Presidente Vargas,PA-256,,40
"[207526904, 171284134]",True,tertiary,False,66.608,"LINESTRING (-47.3530206 -2.9915284, -47.3529544 -2.9915566, -47.3529018 -2.9915896, -47.3528371 -2.9916457, -47.3527943 -2.9917335, -47.3526381 -2.9919683)",1,PA-125,PA-125,,
697219879,True,tertiary_link,False,15.337,"LINESTRING (-47.3530206 -2.9915284, -47.3529851 -2.9915158, -47.3529619 -2.9915009, -47.352948 -2.991481, -47.3529408 -2.9914578, -47.3529407 -2.9914336)",,,,,
207526904,True,tertiary,False,40.769999999999996,"LINESTRING (-47.353386 -2.9914964, -47.3533089 -2.9915071, -47.3532354 -2.9915091, -47.3531654 -2.9915122, -47.3530206 -2.9915284)",1,,PA-125,,
434939791,True,tertiary,False,9.117,"LINESTRING (-47.3537206 -2.9915212, -47.3537079 -2.9916022)",,,,,
171234115,True,primary,False,17.707,"LINESTRING (-47.3537206 -2.9915212, -47.3536481 -2.9915542, -47.3535691 -2.9915654)",2,,PA-125;PA-256,roundabout,
171234115,True,primary,False,9.96,"LINESTRING (-47.353486 -2.9915525, -47.3534053 -2.9915134)",2,,PA-125;PA-256,roundabout,
171234115,True,primary,False,9.339,"LINESTRING (-47.3535691 -2.9915654, -47.353486 -2.9915525)",2,,PA-125;PA-256,roundabout,
335971391,True,primary,False,54.903,"LINESTRING (-47.35418 -2.9917489, -47.3537079 -2.9916022)",2,Avenida Presidente Vargas,PA-256,,
171234134,True,primary_link,False,52.478,"LINESTRING (-47.35418 -2.9917489, -47.3539131 -2.991754, -47.3538381 -2.9917555, -47.3537075 -2.991758)",,,,,
434939791,True,tertiary,False,16.933,"LINESTRING (-47.3537075 -2.991758, -47.3536921 -2.9919095)",,,,,
171234118,False,tertiary,True,62.661,"LINESTRING (-47.3538376 -2.9924539, -47.3537846 -2.9922403, -47.3536921 -2.9919095)",4,Eixo W l,,,40
171234131,True,tertiary,False,32.552,"LINESTRING (-47.3538376 -2.9924539, -47.3539294 -2.9926434, -47.3539583 -2.9927204)",,Eixo W l,,,
171234131,True,tertiary,False,6.282,"LINESTRING (-47.3539583 -2.9927204, -47.3539797 -2.9927727)",,Eixo W l,,,
171266874,False,residential,True,114.363,"LINESTRING (-47.3539583 -2.9927204, -47.3540407 -2.9926568, -47.3540823 -2.9926073, -47.3541011 -2.9925443, -47.3542149 -2.9920472, -47.3542533 -2.9917656)",,Rua Marechal Rondon,,,
434939787,True,residential,False,28.024,"LINESTRING (-47.3539428 -2.9931229, -47.3537457 -2.9929655)",,Rua Célio Miranda,,,
171234132,True,tertiary,False,37.297,"LINESTRING (-47.3539428 -2.9931229, -47.3539019 -2.9929655, -47.3538677 -2.9927961)",,Eixo W l,,,
171234131,True,tertiary,False,37.528999999999996,"LINESTRING (-47.3540448 -2.9931088, -47.3541011 -2.9933405, -47.3541118 -2.993439)",,Eixo W l,,,
697219877,True,residential,False,11.463000000000001,"LINESTRING (-47.3540448 -2.9931088, -47.3540119 -2.9931122, -47.3539791 -2.9931182, -47.3539576 -2.9931229, -47.3539428 -2.9931229)",,,,,
396633509,False,tertiary,False,45.811,"LINESTRING (-47.3541118 -2.993439, -47.3542533 -2.993826)",4,Eixo W l,,,
171234132,True,tertiary,False,39.916,"LINESTRING (-47.3541118 -2.993439, -47.3540166 -2.9932836, -47.3539428 -2.9931229)",,Eixo W l,,,
171277962,True,residential,False,32.181,"LINESTRING (-47.3542533 -2.993826, -47.3540542 -2.9940363)",,,,,
171277963,True,residential,False,31.559,"LINESTRING (-47.3542533 -2.993826, -47.3545336 -2.9938729)",,,,,
396633509,False,tertiary,True,45.811,"LINESTRING (-47.3542533 -2.993826, -47.3541118 -2.993439)",4,Eixo W l,,,
171234120,False,tertiary,False,53.474000000000004,"LINESTRING (-47.3542533 -2.993826, -47.3543418 -2.9940798, -47.3544248 -2.9942751)",4,Eixo W l,,,
171234120,False,tertiary,True,20.436,"LINESTRING (-47.3545155 -2.9945184, -47.3544545 -2.994345)",4,Eixo W l,,,
171234122,True,tertiary,False,51.546,"LINESTRING (-47.3545155 -2.9945184, -47.3545772 -2.994582, -47.354606 -2.994643, -47.3546657 -2.9948144, -47.354714 -2.9949309)",,Eixo W l,,,
369583649,False,tertiary,True,4.334,"LINESTRING (-47.3564688 -2.999465, -47.3564936 -2.9994349)",2,Avenida do Contorno,,,
171238281,True,tertiary,False,28.792,"LINESTRING (-47.3564688 -2.999465, -47.3564373 -2.9995621, -47.3564038 -2.9996331, -47.3563782 -2.9997072)",,,,,
171238273,True,tertiary,False,28.877,"LINESTRING (-47.3562828 -2.9996465, -47.3564688 -2.999465)",2,Avenida do Contorno,,,
171238278,True,tertiary,False,12.805,"LINESTRING (-47.3562828 -2.9996465, -47.3563365 -2.9996674, -47.3563782 -2.9997072)",2,,,roundabout,
171238278,True,tertiary,False,17.060000000000002,"LINESTRING (-47.3562696 -2.99994, -47.3562314 -2.9999372, -47.3561776 -2.9999163, -47.356136 -2.9998765)",2,,,roundabout,
171266875,False,residential,False,205.355,"LINESTRING (-47.3555522 -2.9920305, -47.3552137 -2.9938461)",,Rua Santa Terezinha,,,
209699888,False,residential,False,9.958,"LINESTRING (-47.3555522 -2.9920305, -47.3555579 -2.9919795, -47.3555622 -2.9919415)",,,,,
335971391,True,primary,False,71.518,"LINESTRING (-47.3555522 -2.9920305, -47.3553965 -2.992001, -47.3549191 -2.9919124)",2,Avenida Presidente Vargas,PA-256,,
209699900,False,tertiary,False,70.65,"LINESTRING (-47.3576134 -2.9925457, -47.3578267 -2.9931443)",2,Avenida do Contorno,,,
209699900,False,tertiary,True,20.616,"LINESTRING (-47.3576134 -2.9925457, -47.357583 -2.9923628)",2,Avenida do Contorno,,,
171234131,True,tertiary,False,38.102,"LINESTRING (-47.3539797 -2.9927727, -47.3540159 -2.99292, -47.3540448 -2.9931088)",,Eixo W l,,,
171266876,True,residential,False,132.868,"LINESTRING (-47.3578267 -2.9931443, -47.3567538 -2.9936733)",,Rua Timbiras,,,
209699900,False,tertiary,False,77.046,"LINESTRING (-47.3578267 -2.9931443, -47.3580533 -2.9937992)",2,Avenida do Contorno,,,
209699900,False,tertiary,True,70.65,"LINESTRING (-47.3578267 -2.9931443, -47.3576134 -2.9925457)",2,Avenida do Contorno,,,
171272752,False,residential,True,73.295,"LINESTRING (-47.3545638 -2.9937309, -47.3552137 -2.9938461)",,Travessa Estado de Goiás,,,
209699895,False,residential,False,16.142,"LINESTRING (-47.3545638 -2.9937309, -47.3545336 -2.9938729)",,Rua Estado da Bahia,,,
209699895,False,residential,True,206.021,"LINESTRING (-47.3545638 -2.9937309, -47.3549191 -2.9919124)",,Rua Estado da Bahia,,,
171266863,True,residential,False,32.117,"LINESTRING (-47.3564829 -2.9937698, -47.3566519 -2.9935354)",,Eixo W n,,,
171266869,False,residential,True,59.72,"LINESTRING (-47.3564829 -2.9937698, -47.3561257 -2.9941713)",,Eixo W n,,,
