osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,access
247559952,Avenida Vitória da Conquista,residential,False,False,7.271,,"LINESTRING (-40.5804307 -14.8662923, -40.580498 -14.866299)",,
282431589,Avenida Vitória da Conquista,primary,False,False,60.634,BR-415,"LINESTRING (-40.5804307 -14.8662923, -40.5803579 -14.8662616, -40.5802983 -14.8662448, -40.5802278 -14.8662305, -40.5801139 -14.8662211, -40.5798794 -14.8661928)",,
236807996,Rua Dom Climério,tertiary,False,True,3.582,,"LINESTRING (-40.5781063 -14.8659732, -40.5780733 -14.8659687)",2,
780104158,Avenida Vitória da Conquista,primary,False,True,28.449,BR-415,"LINESTRING (-40.5781063 -14.8659732, -40.5783676 -14.8660141)",,
236807997,Avenida Getúlio Vargas,primary,True,False,123.953,,"LINESTRING (-40.5781063 -14.8659732, -40.57812 -14.8658626, -40.5781786 -14.8653892, -40.5782463 -14.8649161, -40.5782533 -14.8648676)",2,yes
311397630,Avenida Progresso,tertiary,False,False,21.949,,"LINESTRING (-40.5776022 -14.8680966, -40.5777588 -14.8682233)",2,
246374205,Travessa Água Fria,residential,False,True,118.116,,"LINESTRING (-40.5776022 -14.8680966, -40.5774491 -14.867992, -40.5772305 -14.8678092, -40.5767566 -14.8674191)",,
816752116,Avenida Francisco Amorim,secondary,False,False,70.957,BA-646,"LINESTRING (-40.5776022 -14.8680966, -40.577629 -14.8678206, -40.5776817 -14.8674633)",2,
236807996,Rua Dom Climério,tertiary,False,False,62.447,,"LINESTRING (-40.575102 -14.8658392, -40.5756536 -14.8656627)",2,
236807996,Rua Dom Climério,tertiary,False,True,61.118,,"LINESTRING (-40.575102 -14.8658392, -40.5745608 -14.866008)",2,
246374131,Rua Jason Oliveira,residential,False,False,110.284,,"LINESTRING (-40.575102 -14.8658392, -40.5747747 -14.8648992)",,
246374131,Rua Jason Oliveira,residential,False,True,87.483,,"LINESTRING (-40.575102 -14.8658392, -40.5753382 -14.8665921)",,
236807996,Rua Dom Climério,tertiary,False,False,73.073,,"LINESTRING (-40.5756536 -14.8656627, -40.5763279 -14.865747)",2,
236807996,Rua Dom Climério,tertiary,False,True,62.447,,"LINESTRING (-40.5756536 -14.8656627, -40.575102 -14.8658392)",2,
246374132,Rua Joaquim Goncalves Pedreira,residential,False,False,109.675,,"LINESTRING (-40.5756536 -14.8656627, -40.575329 -14.8647276)",,
239937089,Avenida Getúlio Vargas,primary,True,False,24.556,,"LINESTRING (-40.57911 -14.8604342, -40.5790561 -14.8606488)",2,
242849286,Rua Inocencio Oliveira,residential,False,True,168.24400000000003,,"LINESTRING (-40.57911 -14.8604342, -40.5792448 -14.8606204, -40.5794433 -14.8609315, -40.5795133 -14.8610667, -40.5795667 -14.8612166, -40.5796029 -14.8614215, -40.5796763 -14.8618179)",,
258583246,Rua Florival Amorim,residential,False,False,20.065,,"LINESTRING (-40.5790458 -14.8602737, -40.5788827 -14.8601859)",,
242849296,Avenida Getúlio Vargas,primary,True,False,19.134,,"LINESTRING (-40.5790458 -14.8602737, -40.5790779 -14.860354, -40.57911 -14.8604342)",2,
258583246,Rua Florival Amorim,residential,False,True,20.065,,"LINESTRING (-40.5788827 -14.8601859, -40.5790458 -14.8602737)",,
311396591,Avenida Getúlio Vargas,primary,True,False,58.207,,"LINESTRING (-40.5788827 -14.8601859, -40.5789714 -14.8596695)",2,yes
258583246,Rua Florival Amorim,residential,False,False,127.38999999999999,,"LINESTRING (-40.5788827 -14.8601859, -40.5782961 -14.8601153, -40.5777083 -14.8600315)",,
