osmid,oneway,ref,name,highway,reversed,length,junction,geometry,maxspeed
245449021,True,MS-156;MS-386,Avenida Pedro Manvailer,primary,False,120.513,,"LINESTRING (-55.2279428 -23.1094471, -55.2273957 -23.110407)",
218781473,True,MS-156;MS-386,,primary,False,12.436,roundabout,"LINESTRING (-55.2279428 -23.1094471, -55.2279024 -23.1094441, -55.2278655 -23.1094286, -55.2278366 -23.1094025)",
245449039,False,,Rua da República,residential,False,122.472,,"LINESTRING (-55.2273406 -23.1078069, -55.2267892 -23.1087846)",50
870314871,True,MS-156,Rua da República,primary,False,5.593999999999999,,"LINESTRING (-55.2273406 -23.1078069, -55.2273203 -23.1077914, -55.2273037 -23.1077703)",50
218781473,True,MS-156;MS-386,,primary,False,12.436,roundabout,"LINESTRING (-55.2278366 -23.1094025, -55.2278191 -23.1093688, -55.2278149 -23.1093405, -55.2278254 -23.1092956)",
218781474,True,MS-156,Rua da República,primary,False,10.089,,"LINESTRING (-55.2274153 -23.107662, -55.2274431 -23.1076783, -55.2274623 -23.1077028, -55.2274703 -23.1077321)",50
218781479,False,,Rua da República,residential,False,131.82,,"LINESTRING (-55.2274153 -23.107662, -55.2279595 -23.1066931, -55.2280048 -23.1066078)",50
323875903,True,MS-156,Avenida Nicolau Otano Nunes,primary,False,46.791,,"LINESTRING (-55.2273037 -23.1077703, -55.2270044 -23.1076173, -55.2269007 -23.1075714)",
870314871,True,MS-156,Rua da República,primary,False,13.573,,"LINESTRING (-55.2273037 -23.1077703, -55.2272958 -23.1077406, -55.2273005 -23.1077104, -55.2273171 -23.107684, -55.2273432 -23.1076652)",50
218781473,True,MS-156;MS-386,,primary,False,8.292,roundabout,"LINESTRING (-55.2280441 -23.1093115, -55.228048 -23.1093486, -55.2280378 -23.1093847)",
323883482,False,,Rua Vereador João Neves,residential,False,120.247,,"LINESTRING (-55.2278254 -23.1092956, -55.2267892 -23.1087846)",
218781473,True,MS-156;MS-386,,primary,False,12.443,roundabout,"LINESTRING (-55.2278254 -23.1092956, -55.2278484 -23.1092649, -55.2278814 -23.1092432, -55.2279205 -23.1092333)",
245449028,True,MS-386,Avenida Pedro Manvailer,primary,False,132.195,,"LINESTRING (-55.2284886 -23.1081797, -55.2290832 -23.1071241)",
218781475,True,MS-156;MS-386,,primary,False,13.255,roundabout,"LINESTRING (-55.2284886 -23.1081797, -55.2285187 -23.1081792, -55.2285479 -23.1081864, -55.2285736 -23.1082008, -55.228594 -23.1082213, -55.2286015 -23.1082258)",
218781477,False,,Rua Dom Pedro II,residential,False,135.063,,"LINESTRING (-55.2245062 -23.1103535, -55.2238879 -23.1114268)",
218781477,False,,Rua Dom Pedro II,residential,True,132.633,,"LINESTRING (-55.2245062 -23.1103535, -55.2250859 -23.1092865)",
323959262,False,,Rua dos Expedicionários,residential,True,129.131,,"LINESTRING (-55.2245062 -23.1103535, -55.2256343 -23.1108751)",
218781475,True,MS-156;MS-386,,primary,False,3.851,roundabout,"LINESTRING (-55.2285608 -23.108361, -55.2285256 -23.1083733)",
218781477,False,,Rua Dom Pedro II,residential,False,128.798,,"LINESTRING (-55.2256461 -23.1082491, -55.2250859 -23.1092865)",
218781477,False,,Rua Dom Pedro II,residential,True,125.525,,"LINESTRING (-55.2256461 -23.1082491, -55.2261993 -23.1072414)",
323883482,False,,Rua Vereador João Neves,residential,False,128.501,,"LINESTRING (-55.2256461 -23.1082491, -55.2245306 -23.1077173)",
323883482,False,,Rua Vereador João Neves,residential,True,131.199,,"LINESTRING (-55.2256461 -23.1082491, -55.2267892 -23.1087846)",
245449024,True,MS-156;MS-386,Avenida Pedro Manvailer,primary,False,112.368,,"LINESTRING (-55.2279205 -23.1092333, -55.2284223 -23.1083343)",
218781473,True,MS-156;MS-386,,primary,False,16.583,roundabout,"LINESTRING (-55.2279205 -23.1092333, -55.2279609 -23.1092362, -55.2279978 -23.1092517, -55.2280267 -23.1092778, -55.2280441 -23.1093115)",
718019682,True,MS-386,Avenida Pedro Manvailer,primary,False,6.842,,"LINESTRING (-55.2309464 -23.1040236, -55.2309164 -23.1040786)",
718019685,True,,Rua Tiradentes,residential,False,124.549,,"LINESTRING (-55.2309464 -23.1040236, -55.2320239 -23.1045455)",
218781474,True,MS-156,Rua da República,primary,False,12.3,,"LINESTRING (-55.2274703 -23.1077321, -55.2274683 -23.1077542, -55.2274599 -23.1077749, -55.2274457 -23.1077927, -55.2274267 -23.1078063, -55.2274044 -23.1078146)",50
245449032,True,MS-156,Avenida Nicolau Otano Nunes,primary,False,113.219,,"LINESTRING (-55.2274703 -23.1077321, -55.2274866 -23.1077383, -55.2284022 -23.1081635, -55.2284601 -23.1081879)",
218781475,True,MS-156;MS-386,,primary,False,13.307,roundabout,"LINESTRING (-55.2286105 -23.1082575, -55.2286072 -23.1083078, -55.2285892 -23.1083382, -55.2285608 -23.108361)",
245449033,True,MS-485,Avenida Nicolau Otano Nunes,tertiary,False,28.76,,"LINESTRING (-55.2286105 -23.1082575, -55.2286919 -23.1082886, -55.2288637 -23.1083696)",
218781475,True,MS-156;MS-386,,primary,False,15.375,roundabout,"LINESTRING (-55.2284032 -23.1083044, -55.2283992 -23.10827, -55.2284083 -23.1082365, -55.2284295 -23.1082079, -55.2284601 -23.1081879)",
323875905,True,MS-156,Avenida Nicolau Otano Nunes,primary,False,115.764,,"LINESTRING (-55.2284032 -23.1083044, -55.2283554 -23.1082795, -55.2274044 -23.1078146)",
