osmid,name,highway,oneway,reversed,length,ref,lanes,maxspeed,geometry,bridge
138024983,Rua Padre José Romualdo,residential,False,True,21.944,,,,"LINESTRING (-39.2667277 -3.2734831, -39.2665417 -3.2734163)",
503141141,Avenida Salvador Martins,primary,False,True,23.521,CE-163,,,"LINESTRING (-39.2667277 -3.2734831, -39.2666668 -3.2736857)",
138023285,Avenida Doutor Celso Barroso,residential,True,False,99.473,,,,"LINESTRING (-39.2650648 -3.2743383, -39.2642056 -3.2745922)",
545270230,Avenida César Calls,primary,True,False,9.566,CE-163,2,40,"LINESTRING (-39.2650648 -3.2743383, -39.2650752 -3.2742529)",
545270230,Avenida César Calls,primary,True,False,187.133,CE-163,2,40,"LINESTRING (-39.2648234 -3.2777216, -39.2649385 -3.2760426)",
136923599,Rua Manoel Teixeira,residential,True,False,11.788,,,,"LINESTRING (-39.2675117 -3.2770161, -39.2674067 -3.2770319)",
364781269,Rua Padre Irineu Lima Verde,residential,True,False,18.961,CE-163,,,"LINESTRING (-39.2675117 -3.2770161, -39.2675563 -3.2771807)",
"[364781274, 503141140]","['Rua José Granja Ribeiro', 'Rua Praça da Rodoviaria']",residential,False,False,29.482,,,,"LINESTRING (-39.2675117 -3.2770161, -39.2674619 -3.2768405, -39.2675419 -3.2768193)",
503141141,Avenida Salvador Martins,primary,False,False,10.301,CE-163,,,"LINESTRING (-39.2666847 -3.2737766, -39.2666668 -3.2736857)",
503141161,Rua Mane Garrincha,residential,False,True,37.588,,,,"LINESTRING (-39.2666847 -3.2737766, -39.2670109 -3.273686)",
545270224,Rua Padre José Romualdo,primary,False,True,7.992,CE-163,,,"LINESTRING (-39.2666847 -3.2737766, -39.2667052 -3.2738455)",
138193327,Rua Raimundo Nonato Ribeiro,residential,True,False,68.905,,,,"LINESTRING (-39.2679479 -3.2758268, -39.268061 -3.2764361)",
550484978,Rua Doutor José da Silveira,residential,False,False,27.269,,,,"LINESTRING (-39.2679479 -3.2758268, -39.2681886 -3.2757779)",
550484978,Rua Doutor José da Silveira,residential,False,True,20.831,,,,"LINESTRING (-39.2679479 -3.2758268, -39.2677659 -3.2758724)",
550484978,Rua Doutor José da Silveira,residential,False,False,8.331,,,,"LINESTRING (-39.2649385 -3.2760426, -39.2650129 -3.2760524)",
545270230,Avenida César Calls,primary,True,False,117.72,CE-163,2,40,"LINESTRING (-39.2649385 -3.2760426, -39.2649722 -3.2755541, -39.2650153 -3.2749867)",
545270233,Rua Padre José Romualdo,residential,False,False,177.245,CE-163,,,"LINESTRING (-39.2673364 -3.2759721, -39.2668446 -3.2744556)",
545270233,Rua Padre José Romualdo,residential,False,True,69.403,CE-163,,,"LINESTRING (-39.2673364 -3.2759721, -39.2674901 -3.2765771)",
550484978,Rua Doutor José da Silveira,residential,False,False,48.952,,,,"LINESTRING (-39.2673364 -3.2759721, -39.2677659 -3.2758724)",
550484978,Rua Doutor José da Silveira,residential,False,True,88.599,,,,"LINESTRING (-39.2673364 -3.2759721, -39.2668643 -3.2761087, -39.2665621 -3.2761602)",
138024984,Rua Aguinaldo Teixeira,residential,False,False,17.069,,,,"LINESTRING (-39.2665621 -3.2761602, -39.2665633 -3.2763137)",
550484978,Rua Doutor José da Silveira,residential,False,False,88.599,,,,"LINESTRING (-39.2665621 -3.2761602, -39.2668643 -3.2761087, -39.2673364 -3.2759721)",
