osmid,highway,oneway,reversed,length,geometry,ref,lanes,name,bridge,junction
232286460,tertiary,False,True,19.862000000000002,"LINESTRING (-40.0665258 -15.1204334, -40.066516 -15.1203526, -40.0665042 -15.120256)",,,,,
245734403,trunk,False,False,51.835,"LINESTRING (-40.0665258 -15.1204334, -40.0663126 -15.1204308, -40.0661795 -15.1204334, -40.066043 -15.120436)",BA-263,,,,
245734403,trunk,False,True,52.72,"LINESTRING (-40.0665258 -15.1204334, -40.0667591 -15.1204657, -40.0667919 -15.1204722, -40.0670113 -15.1205046)",BA-263,,,,
232286445,tertiary,False,False,27.625,"LINESTRING (-40.066043 -15.120436, -40.0662804 -15.1203401)",,2,Avenida Manoel Novais,,
151171499,trunk,False,False,206.924,"LINESTRING (-40.066043 -15.120436, -40.0658572 -15.1204603, -40.0657466 -15.1204748, -40.064134 -15.1206942)",BA-263,,,,
245734403,trunk,False,True,51.83500000000001,"LINESTRING (-40.066043 -15.120436, -40.0661795 -15.1204334, -40.0663126 -15.1204308, -40.0665258 -15.1204334)",BA-263,,,,
232236522,residential,False,False,51.417,"LINESTRING (-40.0692871 -15.1187788, -40.0691584 -15.1183334)",,,Rua Barão do Rio Branco,,
232286443,tertiary,False,False,101.368,"LINESTRING (-40.0692871 -15.1187788, -40.0702262 -15.1188744)",,2,Rua Marcolino Neponuceno,,
232286443,tertiary,False,True,103.298,"LINESTRING (-40.0692871 -15.1187788, -40.0683469 -15.1189767)",,2,Rua Marcolino Neponuceno,,
232236522,residential,False,True,80.215,"LINESTRING (-40.0692871 -15.1187788, -40.0692935 -15.1188857, -40.0693067 -15.119291, -40.0693084 -15.1194998)",,,Rua Barão do Rio Branco,,
1246037556,tertiary,False,False,14.622,"LINESTRING (-40.0710069 -15.1190553, -40.0709669 -15.1189296)",,2,Rua João Alves Andrade,,
1246037556,tertiary,False,True,44.718,"LINESTRING (-40.0710069 -15.1190553, -40.0711508 -15.1194327)",,2,Rua João Alves Andrade,,
232286445,tertiary,False,True,68.182,"LINESTRING (-40.0710069 -15.1190553, -40.0705289 -15.1191857, -40.0703962 -15.1192238)",,2,Avenida Manoel Novais,,
268110295,tertiary,False,False,45.352,"LINESTRING (-40.0711508 -15.1194327, -40.0712923 -15.119817)",,2,Rua João Alves Andrade,,
268110296,tertiary,False,True,93.779,"LINESTRING (-40.0711508 -15.1194327, -40.0719908 -15.119201)",,2,Praca Castro Alves,,
1246037556,tertiary,False,False,44.718,"LINESTRING (-40.0711508 -15.1194327, -40.0710069 -15.1190553)",,2,Rua João Alves Andrade,,
232236527,residential,False,False,64.556,"LINESTRING (-40.0712923 -15.119817, -40.0707316 -15.1200269)",,,Travessa Kaderlina Noronha,,
268110295,tertiary,False,True,45.352,"LINESTRING (-40.0712923 -15.119817, -40.0711508 -15.1194327)",,2,Rua João Alves Andrade,,
"[232236525, 245734406, 268110295]",tertiary,False,False,124.41900000000001,"LINESTRING (-40.0712923 -15.119817, -40.0715572 -15.1205199, -40.0716131 -15.1206738, -40.071677 -15.1208723)",,2,Rua João Alves Andrade,yes,
232236524,residential,False,True,81.804,"LINESTRING (-40.0701265 -15.1202509, -40.0693728 -15.1203596)",,,Rua Duque de Caxias,,
232236527,residential,False,True,69.567,"LINESTRING (-40.0701265 -15.1202509, -40.0707316 -15.1200269)",,,Travessa Kaderlina Noronha,,
749669167,tertiary,False,True,38.409,"LINESTRING (-40.0701265 -15.1202509, -40.0701479 -15.1199061)",,2,Rua 22 de Agosto,,
"[232286424, 245734405, 749669167]",tertiary,False,False,145.338,"LINESTRING (-40.0701265 -15.1202509, -40.0700386 -15.1211241, -40.0700274 -15.1212788, -40.0700167 -15.1214743, -40.0700223 -15.121553)",,2,Rua 22 de Agosto,yes,
232236522,residential,False,False,37.483,"LINESTRING (-40.0693728 -15.1203596, -40.0693379 -15.1200242)",,,Rua Barão do Rio Branco,,
232236524,residential,False,False,81.804,"LINESTRING (-40.0693728 -15.1203596, -40.0701265 -15.1202509)",,,Rua Duque de Caxias,,
232236524,residential,False,True,111.855,"LINESTRING (-40.0693728 -15.1203596, -40.0683426 -15.1205106)",,,Rua Duque de Caxias,,
"[232236522, 232286421, 232286439]",residential,False,"[False, True]",164.893,"LINESTRING (-40.0693728 -15.1203596, -40.0693723 -15.1204877, -40.0693636 -15.120525, -40.0693579 -15.1205389, -40.0693428 -15.1205499, -40.0686757 -15.1208065, -40.0685126 -15.1208703, -40.0684778 -15.1208703, -40.0684556 -15.1208522, -40.0683426 -15.1205106)",,,"['Rua Naomar Alcantara', 'Rua Barão do Rio Branco']",,
232236524,residential,False,False,103.699,"LINESTRING (-40.0673856 -15.1206378, -40.0683426 -15.1205106)",,,Rua Duque de Caxias,,
245734403,trunk,False,False,42.826,"LINESTRING (-40.0673856 -15.1206378, -40.0672621 -15.1205913, -40.0671815 -15.1205634, -40.0670113 -15.1205046)",BA-263,,,,
"[245734403, 245734404, 360559725]",trunk,False,True,147.037,"LINESTRING (-40.0673856 -15.1206378, -40.0675718 -15.1207402, -40.0677583 -15.1208515, -40.0682223 -15.1211454, -40.0683926 -15.1212581, -40.0685374 -15.1213526)",BA-263,2,,yes,
232286451,residential,False,False,35.791,"LINESTRING (-40.0680882 -15.1134925, -40.0681938 -15.1137978)",,,Rua Marechal Floriano Peixoto,,
820960894,residential,False,False,127.77799999999999,"LINESTRING (-40.0680882 -15.1134925, -40.068174 -15.1134588, -40.0682236 -15.1134524, -40.0682558 -15.1134627, -40.0683095 -15.1135132, -40.0684342 -15.1136673, -40.0687252 -15.1140169, -40.0688969 -15.1142201)",,,,,
232286415,tertiary,False,False,59.12,"LINESTRING (-40.0683973 -15.1143884, -40.0678806 -15.1145724)",,2,Rua José Menezes Lima,,
232286415,tertiary,False,True,56.803,"LINESTRING (-40.0683973 -15.1143884, -40.0688969 -15.1142201)",,2,Rua José Menezes Lima,,
232286451,residential,False,False,63.372,"LINESTRING (-40.0683973 -15.1143884, -40.0685845 -15.1149289)",,,Rua Marechal Floriano Peixoto,,
232286451,residential,False,True,69.21,"LINESTRING (-40.0683973 -15.1143884, -40.0681938 -15.1137978)",,,Rua Marechal Floriano Peixoto,,
232286415,tertiary,False,True,15.938,"LINESTRING (-40.0659625 -15.1152054, -40.0661035 -15.1151605)",,2,Rua José Menezes Lima,,
244815764,residential,False,True,62.406000000000006,"LINESTRING (-40.0659625 -15.1152054, -40.0659055 -15.1155414, -40.0658914 -15.1156547, -40.0658857 -15.1157612)",,,Rua Lomanto Junior,,
244815798,tertiary,False,False,108.957,"LINESTRING (-40.0659625 -15.1152054, -40.0659116 -15.1152158, -40.0658331 -15.1152158, -40.0657627 -15.1152035, -40.0649674 -15.115041)",,2,Rua H,,
