osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,ref,access
150465922,Rua 4 de Abril,residential,False,False,62.986,"LINESTRING (-37.9458369 -7.0162797, -37.9462737 -7.0161393, -37.9463254 -7.0161214, -37.9463788 -7.0161021)",,,,,
150465922,Rua 4 de Abril,residential,False,True,84.071,"LINESTRING (-37.9458369 -7.0162797, -37.9456092 -7.0163611, -37.9454964 -7.0164014, -37.9453316 -7.0164711, -37.9451328 -7.0165663)",,,,,
822659427,Rua José Roberto Silva,residential,False,True,66.225,"LINESTRING (-37.9458369 -7.0162797, -37.9459177 -7.0167227, -37.9459392 -7.0168665)",,,,,
150465935,Rua Izidro de Paula Leite,residential,False,True,110.541,"LINESTRING (-37.9433411 -7.0136534, -37.9423452 -7.0135474)",,,,,
488052727,Rua Antonia Rodrigues de Sousa,residential,False,False,64.24,"LINESTRING (-37.9433411 -7.0136534, -37.9433574 -7.0130759)",,,,,
488052727,Rua Antonia Rodrigues de Sousa,residential,False,True,68.826,"LINESTRING (-37.9433411 -7.0136534, -37.9433267 -7.0142722)",,,,,
651979887,Rua João Fernandes de Lima,tertiary,False,True,98.698,"LINESTRING (-37.946041 -7.0145637, -37.9451513 -7.0144737)",2,30,,,
"[651692381, 548927335]",Rua Vitoriano da Silva,residential,False,True,221.94400000000002,"LINESTRING (-37.946041 -7.0145637, -37.9460419 -7.0144715, -37.9460426 -7.0143133, -37.9459516 -7.0138946, -37.945896 -7.0135762, -37.9458708 -7.0131994, -37.9458728 -7.0131247, -37.9458808 -7.0127348, -37.9458855 -7.0125831)",2,30,,,
651689015,Rua Vitoriano da Silva,tertiary,False,False,50.372,"LINESTRING (-37.946041 -7.0145637, -37.9460422 -7.0148062, -37.9460432 -7.0150167)",,30,,,
822659427,Rua José Roberto Silva,residential,False,False,66.225,"LINESTRING (-37.9459392 -7.0168665, -37.9459177 -7.0167227, -37.9458369 -7.0162797)",,,,,
150465929,Rua Maria das Neves Silva,residential,False,True,75.639,"LINESTRING (-37.9433574 -7.0130759, -37.9426739 -7.0130258)",,,,,
488052727,Rua Antonia Rodrigues de Sousa,residential,False,False,60.823,"LINESTRING (-37.9433574 -7.0130759, -37.9433722 -7.0125291)",,,,,
488052727,Rua Antonia Rodrigues de Sousa,residential,False,True,64.24,"LINESTRING (-37.9433574 -7.0130759, -37.9433411 -7.0136534)",,,,,
488052727,Rua Antonia Rodrigues de Sousa,residential,False,False,68.826,"LINESTRING (-37.9433267 -7.0142722, -37.9433411 -7.0136534)",,,,,
651689016,Rua João Fernandes de Lima,tertiary,False,False,175.838,"LINESTRING (-37.9433267 -7.0142722, -37.9449103 -7.0144462)",2,30,,,
651689016,Rua João Fernandes de Lima,tertiary,False,True,112.105,"LINESTRING (-37.9433267 -7.0142722, -37.9423163 -7.0141685)",2,30,,,
150465922,Rua 4 de Abril,residential,False,False,84.071,"LINESTRING (-37.9451328 -7.0165663, -37.9453316 -7.0164711, -37.9454964 -7.0164014, -37.9456092 -7.0163611, -37.9458369 -7.0162797)",,,,,
"[664602792, 487891950, 664602791]",Rua Janduí Carneiro,residential,False,False,134.49200000000002,"LINESTRING (-37.9451328 -7.0165663, -37.9449689 -7.016159, -37.9449481 -7.0160865, -37.9449199 -7.01598, -37.9448935 -7.0158586, -37.9448384 -7.0154821, -37.9448374 -7.0154461, -37.94484 -7.0154014)",,,yes,,
664602791,Rua Janduí Carneiro,residential,False,True,38.4,"LINESTRING (-37.9448656 -7.015057, -37.94484 -7.0154014)",,,,,
