osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,access,ref
160810305,2,Rua 4A Blocos 1 e 2 Travessa 02,tertiary,False,False,49.214,"LINESTRING (-48.016026 -15.8179048, -48.0160081 -15.8177403, -48.0160152 -15.8174632)",,,
1212136102,4,Rua 3,secondary,False,False,7.824,"LINESTRING (-48.0119923 -15.8154941, -48.0119956 -15.8154594, -48.0119947 -15.8154239)",60,,
1212136102,4,Rua 3,secondary,False,True,74.649,"LINESTRING (-48.0119923 -15.8154941, -48.012004 -15.8157971, -48.0120087 -15.8161652)",60,,
160810305,2,Rua 4A Blocos 1 e 2 Travessa 02,tertiary,False,False,196.022,"LINESTRING (-48.0159898 -15.8144964, -48.015958 -15.8127338)",,,
160810305,2,Rua 4A Blocos 1 e 2 Travessa 02,tertiary,False,True,54.953,"LINESTRING (-48.0159898 -15.8144964, -48.0159892 -15.8149906)",,,
916015154,2,SHVP - Rua 4,tertiary,False,True,92.28,"LINESTRING (-48.0159898 -15.8144964, -48.0167975 -15.8147876)",,,
509096187,,,residential,False,True,152.844,"LINESTRING (-48.0159898 -15.8144964, -48.0159405 -15.8144819, -48.0153756 -15.8142448, -48.0152321 -15.8141842, -48.0151654 -15.8141484, -48.0151382 -15.8141338, -48.0151 -15.8141057, -48.0150846 -15.8140564, -48.0150772 -15.8140145, -48.0150696 -15.8137211, -48.0150685 -15.8136771)",,,
402725737,3,Marginal Sul EPTG,primary,True,False,23.981,"LINESTRING (-48.0131699 -15.8179976, -48.0129589 -15.8179248)",60,,
918869579,2,Marginal Sul EPTG,primary,True,False,20.856,"LINESTRING (-48.0122079 -15.8176114, -48.0120214 -15.8175568)",60,,
314232465,2,,primary_link,True,False,82.43,"LINESTRING (-48.0122079 -15.8176114, -48.0120295 -15.8174868, -48.011984 -15.8174165, -48.011945 -15.8173603, -48.0119331 -15.8173132, -48.0119222 -15.8172448, -48.0119223 -15.8171429, -48.0119369 -15.8171025, -48.0119462 -15.8170808, -48.0119631 -15.8170418, -48.0119786 -15.8169933)",,,
918934913,2,Marginal Sul EPTG,primary,True,False,14.529,"LINESTRING (-48.0123306 -15.8176674, -48.0122079 -15.8176114)",60,,
1212136307,3,Marginal Norte EPTG,primary,True,False,18.825,"LINESTRING (-48.0122917 -15.8167862, -48.012456 -15.8168468)",60,,
917835611,2,Marginal Sul EPTG,primary,True,False,73.058,"LINESTRING (-48.0129589 -15.8179248, -48.0123306 -15.8176674)",60,,
153019701,,,residential,False,False,66.792,"LINESTRING (-48.0137361 -15.8159706, -48.0137129 -15.8160195, -48.0134823 -15.8165194)",60,,
153019701,,,residential,False,True,9.622,"LINESTRING (-48.0137361 -15.8159706, -48.0137595 -15.8159293, -48.0137777 -15.8158939)",60,,
236142900,2,SHVP - Travessa 03,tertiary,True,False,193.941,"LINESTRING (-48.0137361 -15.8159706, -48.0137044 -15.8159613, -48.0131896 -15.815819, -48.0119923 -15.8154941)",,,
236142900,2,SHVP - Travessa 03,tertiary,True,False,251.513,"LINESTRING (-48.0159928 -15.8166045, -48.0137361 -15.8159706)",,,
160810305,2,Rua 4A Blocos 1 e 2 Travessa 02,tertiary,False,False,11.129,"LINESTRING (-48.0159928 -15.8166045, -48.0159954 -15.8165263, -48.0159968 -15.8165045)",,,
160810305,2,Rua 4A Blocos 1 e 2 Travessa 02,tertiary,False,True,95.51899999999999,"LINESTRING (-48.0159928 -15.8166045, -48.0160019 -15.816994, -48.0160069 -15.8171604, -48.0160152 -15.8173707, -48.0160152 -15.8174632)",,,
1212136102,4,Rua 3,secondary,False,True,29.789,"LINESTRING (-48.012002 -15.8127674, -48.0120014 -15.8130353)",60,,
153019698,2,SHVP - Rua 4,tertiary,False,False,251.274,"LINESTRING (-48.012002 -15.8127674, -48.0127376 -15.812759, -48.0143504 -15.8127354)",,,
1212136102,4,Rua 3,secondary,False,False,90.834,"LINESTRING (-48.012002 -15.8127674, -48.0119987 -15.8126828, -48.011992 -15.8119506)",60,,
153019698,2,SHVP - Rua 4,tertiary,False,False,77.684,"LINESTRING (-48.0143504 -15.8127354, -48.0150765 -15.8127383)",,,
153019698,2,SHVP - Rua 4,tertiary,False,True,251.274,"LINESTRING (-48.0143504 -15.8127354, -48.0127376 -15.812759, -48.012002 -15.8127674)",,,
153019702,,,residential,False,False,121.851,"LINESTRING (-48.0143504 -15.8127354, -48.014352 -15.8134461, -48.0143523 -15.8135771, -48.0143517 -15.8136093, -48.0143614 -15.8136306, -48.0143838 -15.81365, -48.0144127 -15.8136648, -48.0145562 -15.81367)",,,
160810305,2,Rua 4A Blocos 1 e 2 Travessa 02,tertiary,False,True,196.022,"LINESTRING (-48.015958 -15.8127338, -48.0159898 -15.8144964)",,,
153019698,2,SHVP - Rua 4,tertiary,False,True,94.314,"LINESTRING (-48.015958 -15.8127338, -48.0159221 -15.8127354, -48.0155767 -15.8127366, -48.0150765 -15.8127383)",,,
160810305,2,Rua 4A Blocos 1 e 2 Travessa 02,tertiary,False,False,112.77499999999999,"LINESTRING (-48.015958 -15.8127338, -48.0159602 -15.8117876, -48.0159614 -15.8117196)",,,
153019702,,,residential,False,True,54.815,"LINESTRING (-48.0150685 -15.8136771, -48.0145562 -15.81367)",,,
