osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,access,bridge,ref
156063291,False,2,Avenida Engenheiro Antonio Eugênio Lucato,secondary,False,154.929,"LINESTRING (-47.3973954 -22.565717, -47.3974362 -22.5643242)",,,,
156354918,True,2,Rua Carlos Gomes,tertiary,False,105.139,"LINESTRING (-47.4009921 -22.5638926, -47.400259 -22.5632325)",,,,
708839651,True,,Rua Doutor Trajano de Barros Camargo,tertiary,False,102.89399999999999,"LINESTRING (-47.4009921 -22.5638926, -47.4010669 -22.56382, -47.4016277 -22.5632829, -47.4016844 -22.5632237)",,,,
915695472,True,,Rua Tiradentes,secondary,False,103.163,"LINESTRING (-47.399569 -22.5638962, -47.4002898 -22.5645425)",,,,
156051550,True,,Rua Barão de Campinas,residential,False,155.01799999999997,"LINESTRING (-47.399569 -22.5638962, -47.3995227 -22.5639425, -47.3986789 -22.564762, -47.3986488 -22.5648091, -47.3986083 -22.5649498)",40,,,
156224169,True,2,,secondary,False,31.714,"LINESTRING (-47.3983877 -22.565838, -47.398494 -22.5658795, -47.3986732 -22.5659468)",40,yes,,
156063291,False,2,Avenida Engenheiro Antonio Eugênio Lucato,secondary,True,154.929,"LINESTRING (-47.3974362 -22.5643242, -47.3973954 -22.565717)",,,,
240325010,True,2,Avenida Engenheiro Lucato,secondary,False,360.986,"LINESTRING (-47.3974362 -22.5643242, -47.3974259 -22.5637163, -47.3974384 -22.5633552, -47.3974842 -22.5629317, -47.3975619 -22.5624586, -47.3976516 -22.5620762, -47.3977489 -22.5617326, -47.3979811 -22.5611438)",,,,
240325010,True,2,Avenida Engenheiro Lucato,secondary,False,108.87700000000001,"LINESTRING (-47.3979811 -22.5611438, -47.3981795 -22.560771, -47.3983418 -22.5605433, -47.3985054 -22.5602944)",,,,
905415866,False,,Rua General Osório,residential,False,66.798,"LINESTRING (-47.3979811 -22.5611438, -47.3979032 -22.5610946, -47.3978424 -22.5610524, -47.397479 -22.5607627)",,,,
240325011,True,2,Avenida Engenheiro Lucato,secondary,False,35.928,"LINESTRING (-47.398714 -22.5600414, -47.3985571 -22.5603302)",,,,
240325010,True,2,Avenida Engenheiro Lucato,secondary,False,35.359,"LINESTRING (-47.3985054 -22.5602944, -47.398714 -22.5600414)",,,,
832610681,False,,Rua Boa Vista,secondary_link,False,6.636,"LINESTRING (-47.3985054 -22.5602944, -47.3985571 -22.5603302)",,,,
157091251,True,,Rua Conselheiro Saraiva,residential,False,58.501,"LINESTRING (-47.4005837 -22.5655555, -47.4009767 -22.5651746)",,,,
156354839,True,,Rua Senador Vergueiro,residential,False,88.367,"LINESTRING (-47.4003599 -22.5619942, -47.4009665 -22.5625579)",40,,,
240325036,True,,Rua Barão de Cascalho,residential,False,104.596,"LINESTRING (-47.4003599 -22.5619942, -47.4010153 -22.5613725, -47.401073 -22.5613226)",,,,
240325310,True,,Rua Cunha Bastos,secondary,False,39.964,"LINESTRING (-47.3980441 -22.5642872, -47.3980416 -22.5641282, -47.3980911 -22.5639331)",,,,
905363350,True,,,secondary_link,False,27.195999999999998,"LINESTRING (-47.3980441 -22.5642872, -47.3980904 -22.5641998, -47.3981967 -22.56409)",,,,
"[708839649, 240325036]",True,,Rua Barão de Cascalho,residential,False,116.463,"LINESTRING (-47.3981967 -22.56409, -47.3983869 -22.5638936, -47.3984377 -22.5638454, -47.3985144 -22.5637725, -47.3989654 -22.56332)",,,,
708839650,True,,Rua Cunha Bastos,secondary,False,57.417,"LINESTRING (-47.3981967 -22.56409, -47.3982632 -22.5641409, -47.3982935 -22.5642177, -47.3982297 -22.5644748, -47.398205 -22.564563)",40,,,
240325036,True,,Rua Barão de Cascalho,residential,False,99.995,"LINESTRING (-47.3989654 -22.56332, -47.3996433 -22.5626744)",,,,
"[708839658, 184791445, 901044327]",False,,"['Viaduto Jânio Quadros', 'Rua Vinte e Cinco de Março']",secondary,"[False, True]",281.302,"LINESTRING (-47.3989654 -22.56332, -47.3984744 -22.5628844, -47.3973016 -22.5618057, -47.3970053 -22.561553)",,,viaduct,
915695472,True,,Rua Tiradentes,secondary,False,89.144,"LINESTRING (-47.3989654 -22.56332, -47.3991327 -22.563479, -47.399569 -22.5638962)",,,,
156354918,True,2,Rua Carlos Gomes,tertiary,False,97.477,"LINESTRING (-47.3996433 -22.5626744, -47.3989511 -22.5620745)",,,,
240325036,True,,Rua Barão de Cascalho,residential,False,105.523,"LINESTRING (-47.3996433 -22.5626744, -47.4003599 -22.5619942)",,,,
240325083,True,,Rua Cunha Bastos,secondary,False,21.62,"LINESTRING (-47.3980911 -22.5639331, -47.3980944 -22.5639763, -47.3981121 -22.564009, -47.3981407 -22.5640517, -47.3981967 -22.56409)",40,,,
708839639,False,,Rua Cunha Bastos,secondary,True,229.032,"LINESTRING (-47.3980911 -22.5639331, -47.3982704 -22.5631328, -47.3983054 -22.5629735, -47.3983479 -22.5628906, -47.398468 -22.5627243, -47.3987431 -22.5623665, -47.3989511 -22.5620745)",40,,,
