osmid,oneway,ref,name,highway,maxspeed,reversed,length,lanes,bridge,geometry
857302500,False,PE-060,PE-060,primary,40,True,33.428,,,"LINESTRING (-35.1560009 -8.6593657, -35.1558792 -8.6590902)"
"[487225067, 857302501, 857301718]",False,PE-060,PE-060,primary,40,False,62.869,2,yes,"LINESTRING (-35.1560009 -8.6593657, -35.156026 -8.6594673, -35.1560475 -8.6595469, -35.156128 -8.6598558, -35.1561416 -8.6599137)"
857301717,False,PE-060,PE-060,primary,40,True,27.4,2,,"LINESTRING (-35.1562632 -8.6604022, -35.1562017 -8.6601634)"
487225053,False,,,residential,,True,221.15700000000004,,,"LINESTRING (-35.1562632 -8.6604022, -35.1564002 -8.6603855, -35.1565229 -8.6604233, -35.15671 -8.6604915, -35.1568193 -8.6605512, -35.1568781 -8.6606009, -35.1570124 -8.6607428, -35.1571157 -8.6608369, -35.1571747 -8.6608899, -35.1573685 -8.6610119, -35.1577051 -8.6612068, -35.1578872 -8.6612797, -35.1579934 -8.6613102)"
487225068,False,PE-060,Rodovia PE-060,primary,40,False,197.37199999999999,2,,"LINESTRING (-35.1562632 -8.6604022, -35.1562984 -8.6605421, -35.1563811 -8.6608436, -35.1566079 -8.6616712, -35.1566503 -8.661826, -35.1567153 -8.6620632, -35.1567298 -8.6621162)"
789803310,True,,,primary_link,,False,43.933,,,"LINESTRING (-35.1562632 -8.6604022, -35.1561643 -8.6603568, -35.1561193 -8.6603344, -35.1560511 -8.6602796, -35.1559328 -8.6601847)"
685996443,False,PE-073,,primary,40,False,56.529,,,"LINESTRING (-35.1562496 -8.6590555, -35.1567456 -8.6591897)"
685996444,True,PE-073,,primary,,False,12.072,,,"LINESTRING (-35.1562496 -8.6590555, -35.15614 -8.6590623)"
487225035,False,,,residential,,False,15.811,,,"LINESTRING (-35.1541921 -8.6571984, -35.1542786 -8.6570848)"
542938874,False,PE-060,Rodovia PE-060,primary,40,False,30.89,,,"LINESTRING (-35.1541921 -8.6571984, -35.1544079 -8.6573185, -35.1544345 -8.6573384)"
542938874,False,PE-060,Rodovia PE-060,primary,40,True,65.723,,,"LINESTRING (-35.1541921 -8.6571984, -35.154009 -8.6571061, -35.1538655 -8.6570457, -35.1537207 -8.6569907, -35.1536429 -8.6569675)"
487225035,False,,,residential,,True,15.811,,,"LINESTRING (-35.1542786 -8.6570848, -35.1541921 -8.6571984)"
487225036,False,,,residential,,False,265.04,,,"LINESTRING (-35.1542786 -8.6570848, -35.1544227 -8.657116, -35.1545448 -8.6571273, -35.1546494 -8.6571246, -35.1547339 -8.6571008, -35.154864 -8.6570172, -35.1549283 -8.6569927, -35.1549692 -8.6569907, -35.1550215 -8.657006, -35.1551121 -8.6570504, -35.1553863 -8.6571936, -35.1555955 -8.6572922, -35.155678 -8.6573381, -35.1557605 -8.6573984, -35.1559147 -8.6575045, -35.1559992 -8.6575529, -35.1561058 -8.6575946, -35.1564156 -8.6576788, -35.15648 -8.6576974)"
487225036,False,,,residential,,True,71.673,,,"LINESTRING (-35.158377 -8.6582887, -35.1577552 -8.6580948)"
487225045,False,,,residential,,True,65.197,,,"LINESTRING (-35.158377 -8.6582887, -35.1582355 -8.6588581)"
487225036,False,,,residential,,False,145.253,,,"LINESTRING (-35.158377 -8.6582887, -35.1588967 -8.65841, -35.1589631 -8.658404, -35.1590261 -8.6583702, -35.1590988 -8.6583066, -35.1591387 -8.6582748, -35.1591971 -8.6582502, -35.1593148 -8.6582396, -35.1593516 -8.6582214, -35.1593842 -8.6581846, -35.1594016 -8.658121, -35.1593962 -8.6579612)"
487225036,False,,,residential,,False,79.24,,,"LINESTRING (-35.15648 -8.6576974, -35.1571675 -8.6579116)"
487225036,False,,,residential,,True,265.04,,,"LINESTRING (-35.15648 -8.6576974, -35.1564156 -8.6576788, -35.1561058 -8.6575946, -35.1559992 -8.6575529, -35.1559147 -8.6575045, -35.1557605 -8.6573984, -35.155678 -8.6573381, -35.1555955 -8.6572922, -35.1553863 -8.6571936, -35.1551121 -8.6570504, -35.1550215 -8.657006, -35.1549692 -8.6569907, -35.1549283 -8.6569927, -35.154864 -8.6570172, -35.1547339 -8.6571008, -35.1546494 -8.6571246, -35.1545448 -8.6571273, -35.1544227 -8.657116, -35.1542786 -8.6570848)"
487225037,False,,,residential,,False,117.54899999999999,,,"LINESTRING (-35.15648 -8.6576974, -35.1565732 -8.6574276, -35.1568125 -8.6566927)"
487225038,False,,,residential,,True,31.237,,,"LINESTRING (-35.1568125 -8.6566927, -35.1570835 -8.6567772)"
487225037,False,,,residential,,False,79.512,,,"LINESTRING (-35.1568125 -8.6566927, -35.1569125 -8.6563941, -35.156938 -8.6563411, -35.1569588 -8.6563238, -35.1569963 -8.6563053, -35.1572603 -8.6562234)"
487225037,False,,,residential,,True,117.54899999999999,,,"LINESTRING (-35.1568125 -8.6566927, -35.1565732 -8.6574276, -35.15648 -8.6576974)"
487225038,False,,,residential,,False,39.448,,,"LINESTRING (-35.1568125 -8.6566927, -35.1566678 -8.6566281, -35.1566195 -8.6566155, -35.1565618 -8.6566195, -35.1564713 -8.6566374)"
487225038,False,,,residential,,True,39.448,,,"LINESTRING (-35.1564713 -8.6566374, -35.1565618 -8.6566195, -35.1566195 -8.6566155, -35.1566678 -8.6566281, -35.1568125 -8.6566927)"
487225038,False,,,residential,,False,36.011,,,"LINESTRING (-35.1577413 -8.6569702, -35.1574261 -8.656882)"
"[487225036, 487225038]",False,,,residential,,True,188.215,,,"LINESTRING (-35.1577413 -8.6569702, -35.1586157 -8.6572134, -35.159077 -8.6573765, -35.1592615 -8.6574687, -35.1593537 -8.6575227)"
487225038,False,,,residential,,False,39.423,,,"LINESTRING (-35.1574261 -8.656882, -35.1570835 -8.6567772)"
487225038,False,,,residential,,True,36.011,,,"LINESTRING (-35.1574261 -8.656882, -35.1577413 -8.6569702)"
487225042,False,,,residential,,False,64.574,,,"LINESTRING (-35.1572603 -8.6562234, -35.1570835 -8.6567772)"
487225037,False,,,residential,,True,79.512,,,"LINESTRING (-35.1572603 -8.6562234, -35.1569963 -8.6563053, -35.1569588 -8.6563238, -35.156938 -8.6563411, -35.1569125 -8.6563941, -35.1568125 -8.6566927)"
487225038,False,,,residential,,False,31.237,,,"LINESTRING (-35.1570835 -8.6567772, -35.1568125 -8.6566927)"
487225038,False,,,residential,,True,39.423,,,"LINESTRING (-35.1570835 -8.6567772, -35.1574261 -8.656882)"
487225042,False,,,residential,,True,64.574,,,"LINESTRING (-35.1570835 -8.6567772, -35.1572603 -8.6562234)"
487225043,False,,,residential,,False,99.235,,,"LINESTRING (-35.1555593 -8.6584398, -35.1559255 -8.6583663, -35.1559825 -8.6583676, -35.1560474 -8.6583763, -35.1564383 -8.6584867)"
542938874,False,PE-060,Rodovia PE-060,primary,40,False,38.456,,,"LINESTRING (-35.1555593 -8.6584398, -35.1555923 -8.6584911, -35.1557284 -8.6587424)"
542938874,False,PE-060,Rodovia PE-060,primary,40,True,175.254,,,"LINESTRING (-35.1555593 -8.6584398, -35.1554011 -8.6582091, -35.1552643 -8.6580421, -35.1550403 -8.6578207, -35.1548351 -8.657643, -35.1546898 -8.65753, -35.154634 -8.6574866, -35.1544345 -8.6573384)"
487225043,False,,,residential,,True,99.235,,,"LINESTRING (-35.1564383 -8.6584867, -35.1560474 -8.6583763, -35.1559825 -8.6583676, -35.1559255 -8.6583663, -35.1555593 -8.6584398)"
487225044,False,,,residential,,False,17.718,,,"LINESTRING (-35.1573989 -8.6593664, -35.1574463 -8.6592141)"
685996443,False,PE-073,,primary,40,True,15.044,,,"LINESTRING (-35.1573989 -8.6593664, -35.1572669 -8.6593307)"
685996443,False,PE-073,,primary,40,False,130.49099999999999,,,"LINESTRING (-35.1573989 -8.6593664, -35.157881 -8.6594969, -35.1585462 -8.6596675)"
487225036,False,,,residential,,False,71.673,,,"LINESTRING (-35.1577552 -8.6580948, -35.158377 -8.6582887)"
487225036,False,,,residential,,True,67.74,,,"LINESTRING (-35.1577552 -8.6580948, -35.1571675 -8.6579116)"
487225044,False,,,residential,,True,129.032,,,"LINESTRING (-35.1577552 -8.6580948, -35.1575911 -8.6587302, -35.1574463 -8.6592141)"
487225045,False,,,residential,,False,65.197,,,"LINESTRING (-35.1582355 -8.6588581, -35.158377 -8.6582887)"
