osmid,oneway,lanes,name,highway,reversed,length,ref,geometry,maxspeed,access,bridge
324896498,True,2,Rua Camargo Teixeira,residential,False,50.111,,"LINESTRING (-41.1954495 -20.9136248, -41.1959167 -20.9137372)",,,
324896553,False,,Rua João Tosta,secondary,False,83.101,ES-489,"LINESTRING (-41.1954495 -20.9136248, -41.1956367 -20.9128982)",,,
301428496,False,,Rua Antero França,residential,True,493.8899999999999,,"LINESTRING (-41.1954495 -20.9136248, -41.1949848 -20.9135771, -41.1947608 -20.9135771, -41.1945757 -20.9135884, -41.1944175 -20.9136159, -41.1943021 -20.9136535, -41.1940473 -20.91376, -41.1938207 -20.9138865, -41.1931944 -20.9142561, -41.1924306 -20.9147421, -41.1919686 -20.9149952, -41.191783 -20.9150755, -41.1916897 -20.9150998, -41.191573 -20.9151073, -41.1914382 -20.9151067, -41.191343 -20.9150873, -41.1912491 -20.915056, -41.1911586 -20.9150146)",,,
324896532,False,,Rua João Tosta,secondary,True,74.332,,"LINESTRING (-41.1954495 -20.9136248, -41.1954151 -20.9137891, -41.1954119 -20.9138283, -41.1954136 -20.9138721, -41.1954216 -20.9139185, -41.1955194 -20.914278)",,,
301428512,False,,Rua Professor José Ferreira Ramos,secondary,True,55.786,ES-289,"LINESTRING (-41.1984458 -20.9139683, -41.1983687 -20.9140365, -41.1982725 -20.9141502, -41.1981867 -20.9142617, -41.1981615 -20.9142982, -41.1981407 -20.9143332, -41.1981188 -20.9143638)",60,,
440122647,False,,Rua Eurico Salles,residential,False,77.61500000000001,,"LINESTRING (-41.1984458 -20.9139683, -41.1984678 -20.9143919, -41.1984785 -20.9144077, -41.1984972 -20.9144195, -41.1985188 -20.9144245, -41.1987468 -20.914437)",,,
301428508,False,,Travessa Oswaldo Guarnier,residential,False,55.804,,"LINESTRING (-41.1956367 -20.9128982, -41.1961729 -20.9129296)",,,
324896553,False,,Rua João Tosta,secondary,True,83.101,ES-489,"LINESTRING (-41.1956367 -20.9128982, -41.1954495 -20.9136248)",,,
324896553,False,,Rua João Tosta,secondary,False,72.701,ES-489,"LINESTRING (-41.1956367 -20.9128982, -41.1957224 -20.9124333, -41.1957639 -20.9122554)",,,
780264918,False,2,,residential,True,31.839,,"LINESTRING (-41.1916575 -20.9143726, -41.1915277 -20.914632)",40,,
"[780264912, 780264918]",False,2,,residential,True,1009.9520000000001,,"LINESTRING (-41.1916575 -20.9143726, -41.1915251 -20.9140061, -41.1915261 -20.9139795, -41.1915292 -20.9139542, -41.1915421 -20.9139344, -41.1916558 -20.9138336, -41.1917051 -20.9137832, -41.1920209 -20.9133879, -41.1920907 -20.9133276, -41.1921503 -20.9132852, -41.1923059 -20.91319, -41.1923629 -20.9131477, -41.1926968 -20.9128355, -41.1929396 -20.9125661, -41.1930499 -20.9124415, -41.1931689 -20.9123243, -41.193586 -20.911951, -41.193818 -20.9117531, -41.1939988 -20.9115979, -41.1941935 -20.9114574, -41.1943424 -20.9113873, -41.1945181 -20.9113422, -41.1946616 -20.9113221, -41.1947601 -20.9113265, -41.1948446 -20.9113462, -41.1948808 -20.911366, -41.1949207 -20.9114048, -41.1949402 -20.9114518, -41.1949559 -20.9115307, -41.1949549 -20.9115636, -41.1949459 -20.9115933, -41.1949304 -20.9116134, -41.1948942 -20.9116334, -41.1946327 -20.9117299, -41.1945321 -20.91178, -41.1944473 -20.911832, -41.1943658 -20.911899, -41.1941493 -20.9121139, -41.1937268 -20.9124909, -41.1935317 -20.9126619, -41.1933593 -20.9128329, -41.1931582 -20.9130597, -41.1929724 -20.9132601, -41.192784 -20.913433, -41.1925748 -20.9135884, -41.192375 -20.9137262, -41.1919298 -20.9140544, -41.1917768 -20.914216, -41.1916575 -20.9143726)",40,,
