osmid,oneway,lanes,highway,junction,reversed,length,geometry,name,bridge,ref,maxspeed
315320545,True,2,primary,roundabout,False,33.628,"LINESTRING (-47.2704835 -22.8241097, -47.2705853 -22.8241465, -47.2706709 -22.8242092, -47.2707326 -22.8242925)",,,,
377879474,True,2,primary,,False,108.695,"LINESTRING (-47.2704835 -22.8241097, -47.2706084 -22.8240161, -47.2706686 -22.823965, -47.271125 -22.8233396)",Avenida Rebouças,,,
315320545,True,2,primary,roundabout,False,44.807,"LINESTRING (-47.2700347 -22.8244389, -47.2700512 -22.8243393, -47.2700988 -22.8242487, -47.2701733 -22.8241749, -47.270268 -22.8241246)",,,,
377879469,True,1,primary,,False,35.715,"LINESTRING (-47.2700347 -22.8244389, -47.2699697 -22.8243404, -47.2698058 -22.8242005)",Praça da República,,,
315320545,True,2,primary,roundabout,False,12.237,"LINESTRING (-47.2700536 -22.8245472, -47.2700394 -22.8244937, -47.2700347 -22.8244389)",,,,
988407565,True,1,primary,,False,45.101,"LINESTRING (-47.265078 -22.8181256, -47.2648184 -22.8184531)",Avenida Júlia Vasconcelos Bufarah,,,
988407566,True,3,primary,,False,36.616,"LINESTRING (-47.265078 -22.8181256, -47.2653796 -22.8183021)",Avenida Júlia Vasconcelos Bufarah,,,
"[883728026, 883728027, 988409858]",True,2,primary,,False,73.372,"LINESTRING (-47.2642168 -22.817535, -47.2643181 -22.817617, -47.2645162 -22.8177577, -47.2647873 -22.8179327)",Avenida Júlia Vasconcelos Bufarah,yes,,
150147719,True,1,primary,,False,11.941,"LINESTRING (-47.2630156 -22.8188865, -47.2630868 -22.8188015)",Avenida Júlia Vasconcelos Bufarah,,,
535355654,True,2,primary,,False,26.572,"LINESTRING (-47.2641831 -22.8173094, -47.2642225 -22.8173719, -47.2642383 -22.8174428, -47.2642168 -22.817535)",,,,
535355654,True,2,primary,,False,23.689,"LINESTRING (-47.2638828 -22.8176924, -47.2638392 -22.8176347, -47.2637919 -22.8175779, -47.2637594 -22.8175134)",,,,
887403200,True,3,primary,,False,23.318,"LINESTRING (-47.2638828 -22.8176924, -47.2640057 -22.8176718, -47.2641049 -22.8176477)",,,,
535355654,True,2,primary,,False,19.639,"LINESTRING (-47.2637594 -22.8175134, -47.2637502 -22.8174551, -47.2637577 -22.8173967, -47.2637814 -22.817342)",,,,
534602409,True,2,primary,,False,9.163,"LINESTRING (-47.2628253 -22.8195181, -47.2627411 -22.8194904)",Avenida Júlia Vasconcelos Bufarah,,,
534602410,True,1,primary_link,,False,92.11699999999999,"LINESTRING (-47.2628253 -22.8195181, -47.2627749 -22.819476, -47.2627484 -22.8194293, -47.2627527 -22.8193517, -47.2627632 -22.8192999, -47.2628009 -22.8192518, -47.2629623 -22.8190323, -47.2630347 -22.8189136, -47.2630868 -22.8188015)",,,,
483556933,True,,residential,,False,58.432,"LINESTRING (-47.263755 -22.8197869, -47.2634315 -22.8202196)",,,,
197469222,True,2,primary,,False,77.316,"LINESTRING (-47.263755 -22.8197869, -47.2636514 -22.8198555, -47.2635794 -22.8198685, -47.2634717 -22.819869, -47.263367 -22.8198498, -47.2632441 -22.8198068, -47.2630712 -22.819701)",Avenida Júlia Vasconcelos Bufarah,,,
"[534602408, 534602409, 197469222]",True,2,primary,,False,32.401,"LINESTRING (-47.2630712 -22.819701, -47.2629962 -22.8196451, -47.2628884 -22.8195603, -47.2628253 -22.8195181)",Avenida Júlia Vasconcelos Bufarah,yes,,
236305436,True,1,primary,,False,29.244,"LINESTRING (-47.2650473 -22.8206557, -47.2652625 -22.8208284)",Praça da República,,,
