osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,lanes
758260435,ES-177;ES-391,Rua Gervasio Monteiro,secondary,False,True,19.039,"LINESTRING (-41.3668272 -21.0611599, -41.3668791 -21.0612816, -41.3668977 -21.0613179)",,,
758260426,ES-391,Rua Otávio Rodrigues,secondary,False,True,79.863,"LINESTRING (-41.3684218 -21.0615266, -41.3683493 -21.0615566, -41.3682394 -21.0615842, -41.3679233 -21.0616379, -41.3676713 -21.0616756)",,,
758260427,ES-391,Estrada para Conceição de Mjuqui,secondary,False,False,165.81900000000002,"LINESTRING (-41.3684218 -21.0615266, -41.3683802 -21.0613004, -41.3683239 -21.061056, -41.3683105 -21.0609184, -41.3683172 -21.0607444, -41.3683413 -21.060603, -41.3684003 -21.0604052, -41.3684459 -21.0602926, -41.3685089 -21.0602138, -41.3686256 -21.0601387)",,,
160234203,ES-177;ES-391,Rua Espírito Santo,secondary,True,False,229.047,"LINESTRING (-41.3646854 -21.0616317, -41.3648263 -21.061623, -41.3649309 -21.0616217, -41.3650556 -21.0616104, -41.3651562 -21.0615867, -41.3668272 -21.0611599)",,,
160288578,,Rua Coronel Paiva Gonçalves,residential,True,False,142.11700000000002,"LINESTRING (-41.3646854 -21.0616317, -41.3645661 -21.0615654, -41.3645044 -21.0615479, -41.3644427 -21.0615441, -41.3639613 -21.0616668, -41.3638821 -21.0616705, -41.3638204 -21.0616517, -41.3637403 -21.0616054, -41.3634436 -21.0614039)",,,
"[160234186, 758260435, 326647910]",ES-177;ES-391,Rua Gervasio Monteiro,secondary,False,False,49.908,"LINESTRING (-41.3670858 -21.0617301, -41.3670639 -21.0616574, -41.3669932 -21.0615047, -41.3668977 -21.0613179)",yes,,
758260436,ES-177,Rua Gervasio Monteiro,secondary,False,True,75.43900000000001,"LINESTRING (-41.3670858 -21.0617301, -41.3670976 -21.0619188, -41.3671209 -21.0620234, -41.3671504 -21.0620973, -41.3672282 -21.0622087, -41.3673352 -21.0623472)",,,
"[1060893337, 1060893338, 758260426]",ES-391,Rua Otávio Rodrigues,secondary,False,False,61.057,"LINESTRING (-41.3670858 -21.0617301, -41.3675327 -21.0616885, -41.3676197 -21.0616804, -41.3676713 -21.0616756)",yes,,
160234193,ES-177,Rua Presidente Vargas,primary,True,False,70.692,"LINESTRING (-41.3618458 -21.0618673, -41.3612656 -21.0615341)",,40,
160288406,,Rua Vasco Coutinho,residential,False,False,50.853,"LINESTRING (-41.3618458 -21.0618673, -41.3620556 -21.061454)",,,
