osmid,oneway,name,highway,reversed,length,geometry,bridge,lanes,maxspeed,ref
364177912,True,Avenida dos Vessoni,primary,False,41.036,"LINESTRING (-46.9032296 -23.5303541, -46.9033305 -23.5304778, -46.9033945 -23.5305626, -46.9034636 -23.5306543)",,,,
154097542,True,Rua Florestan Fernandes,residential,False,66.939,"LINESTRING (-46.9018006 -23.5295852, -46.9013895 -23.5300546)",,,,
364177915,True,Avenida Carmine Gragnano,primary,False,25.747999999999998,"LINESTRING (-46.9018006 -23.5295852, -46.901732 -23.5295411, -46.9016698 -23.5295013, -46.9015941 -23.5294519)",,,,
364177914,True,Rua José Manoel da Conceição,primary,False,31.613,"LINESTRING (-46.9018747 -23.5290407, -46.9020392 -23.5287997)",,,,
166301468,True,Rua Rubens Lopes da Silva,primary,False,166.04000000000002,"LINESTRING (-46.9018747 -23.5290407, -46.9018299 -23.5288923, -46.9017934 -23.52883, -46.9017412 -23.5287719, -46.9016817 -23.5287211, -46.9016078 -23.5286831, -46.9015428 -23.5286538, -46.9014701 -23.528642, -46.9011794 -23.5286338, -46.9010684 -23.5286306, -46.9009966 -23.5286285, -46.9008837 -23.5286224, -46.9008058 -23.5286135, -46.9006538 -23.5285853, -46.9005271 -23.5284831)",,,,
166301468,True,Rua Rubens Lopes da Silva,primary,False,26.76,"LINESTRING (-46.9005271 -23.5284831, -46.9004717 -23.5283483, -46.9004292 -23.5282599)",,,,
414516177,True,Rua Vereador Rubens Lopes da Silva,tertiary,False,52.632,"LINESTRING (-46.9005271 -23.5284831, -46.9004087 -23.528493, -46.9002191 -23.5285218, -46.9000223 -23.528575)",,,,
154097544,True,Avenida Carmine Gragnano,tertiary,False,365.77500000000003,"LINESTRING (-46.9015941 -23.5294519, -46.9014404 -23.5293819, -46.901303 -23.5293622, -46.9011597 -23.5293589, -46.9009075 -23.5293853, -46.9007442 -23.5294484, -46.9006174 -23.529516, -46.900476 -23.5296072, -46.9003913 -23.5296775, -46.9003157 -23.5297679, -46.9002615 -23.5298768, -46.9002175 -23.5299875, -46.9001617 -23.5302602, -46.9001409 -23.5304342, -46.9000782 -23.530611, -46.8998405 -23.5310789, -46.8997664 -23.531209, -46.8997242 -23.5312702, -46.8996749 -23.5313089, -46.8996102 -23.5313394, -46.8995337 -23.531359, -46.899472 -23.5313569, -46.8993658 -23.5313368)",,,,
364177914,True,Rua José Manoel da Conceição,primary,False,47.122,"LINESTRING (-46.9015941 -23.5294519, -46.9017969 -23.5291573, -46.9018404 -23.5290933)",,,,
134658996,True,Avenida João Balhesteiro,primary,False,108.93199999999999,"LINESTRING (-46.9034087 -23.5287025, -46.9033071 -23.5286475, -46.9026703 -23.5283026, -46.902481 -23.5282174)",,,,
