osmid,oneway,lanes,name,highway,maxspeed,reversed,length,junction,geometry
346632842,True,2,Avenida Paraná,tertiary,40,False,32.573,,"LINESTRING (-53.3122505 -23.7622291, -53.3125584 -23.7623091)"
192915688,True,2,Praça Santos Dumont,secondary,40,False,19.253999999999998,roundabout,"LINESTRING (-53.3122505 -23.7622291, -53.3122347 -23.7622851, -53.3122132 -23.7623394, -53.312186 -23.7623913)"
191948884,True,2,Avenida Doutor Ângelo Moreira da Fonseca,tertiary,50,False,13.686,,"LINESTRING (-53.3156384 -23.7583852, -53.3157322 -23.7584734)"
207536744,True,2,Avenida Amapá,tertiary,,False,43.374,,"LINESTRING (-53.3156384 -23.7583852, -53.3159426 -23.758112)"
207536746,True,2,Avenida Amapá,tertiary,,False,36.447,,"LINESTRING (-53.3156402 -23.7585477, -53.3153804 -23.7587733)"
294908283,True,2,Avenida Doutor Ângelo Moreira da Fonseca,tertiary,50,False,12.636,,"LINESTRING (-53.3156402 -23.7585477, -53.3155499 -23.7584697)"
192915688,True,2,Praça Santos Dumont,secondary,40,False,39.302,roundabout,"LINESTRING (-53.3113555 -23.7615685, -53.3114464 -23.7615389, -53.3115412 -23.7615221, -53.3116377 -23.7615183, -53.3117337 -23.7615277)"
192915674,True,2,Avenida Brasil,tertiary,,False,25.484,,"LINESTRING (-53.3112112 -23.7616489, -53.3111598 -23.7615648, -53.3110901 -23.7614483)"
192915688,True,2,Praça Santos Dumont,secondary,40,False,17.229999999999997,roundabout,"LINESTRING (-53.3112112 -23.7616489, -53.3112804 -23.7616044, -53.3113555 -23.7615685)"
192915688,True,2,Praça Santos Dumont,secondary,40,False,28.037,roundabout,"LINESTRING (-53.3110106 -23.7623163, -53.3109901 -23.7622561, -53.3109766 -23.7621943, -53.3109705 -23.7621315, -53.3109716 -23.7620685)"
"[410409445, 190917759]",True,2,Avenida Presidente Castelo Branco,secondary,,False,144.828,,"LINESTRING (-53.311115 -23.7624848, -53.3109968 -23.7625381, -53.3098792 -23.7631302)"
192915688,True,2,Praça Santos Dumont,secondary,40,False,21.609,roundabout,"LINESTRING (-53.311115 -23.7624848, -53.311095 -23.7624597, -53.3110474 -23.7623907, -53.3110106 -23.7623163)"
207314232,True,2,Avenida Brasil,secondary,40,False,158.961,,"LINESTRING (-53.3119881 -23.7625945, -53.3127373 -23.7638489)"
192915688,True,2,Praça Santos Dumont,secondary,40,False,16.715,roundabout,"LINESTRING (-53.3119881 -23.7625945, -53.3119224 -23.7626318, -53.3118432 -23.7626646)"
192915688,True,2,Praça Santos Dumont,secondary,40,False,32.760999999999996,roundabout,"LINESTRING (-53.3118432 -23.7626646, -53.3117399 -23.7626912, -53.3116332 -23.7627018, -53.3115261 -23.7626961)"
192915688,True,2,Praça Santos Dumont,secondary,40,False,35.394999999999996,roundabout,"LINESTRING (-53.3113963 -23.7626665, -53.3113074 -23.7626298, -53.3112255 -23.7625813, -53.311115 -23.7624848)"
